day,cluster0,cluster1,cluster2,weighted_mean,max
0,6.604709362203483e-39,1.0,0.0,1.0,1
1,3.553913044375026e-06,0.00010163164881414976,0.9998948144381414,1.999891260525097,2
2,0.0441510136501084,0.060874172965752565,0.894974813384139,1.8508237997340304,2
3,7.457702613816708e-05,0.0013070029442294867,0.9986184200296324,1.9985438430034943,2
4,3.795482975060445e-99,0.9983056980919641,0.0016943019080358837,1.001694301908036,1
5,0.0,1.0,1.1719995166856055e-58,1.0,1
6,6.111297811683509e-05,1.5084103181927762e-08,0.99993887193778,1.999877758959663,2
7,9.026049467332211e-21,3.6058912334832295e-07,0.9999996394108767,1.9999996394108768,2
8,0.0,1.0,1.3652572236638505e-24,1.0,1
9,0.0004712805885146256,1.3270535500851817e-05,0.9995154488759846,1.9990441682874702,2
10,0.038176627775882814,8.051262504979417e-08,0.9618232917114922,1.9236466639356093,2
11,0.9999999642807551,3.571924497896927e-08,2.85435546229968e-17,3.571924503605638e-08,0
12,0.11368300716606494,3.9832745501521456e-08,0.8863169530011896,1.7726339458351248,2
13,1.2871671290955643e-78,0.0009237840371286291,0.9990762159628714,1.9990762159628714,2
14,0.18878591077555962,4.0769964828584296e-10,0.8112140888167407,1.6224281780411811,2
15,0.7207874549820052,0.27921254501799475,4.5292288439331335e-70,0.27921254501799475,0
16,0.3687275016923853,0.6312724983076147,4.204150690629872e-157,0.6312724983076147,1
17,0.9999961048113397,4.522878923453837e-07,3.4429007680011506e-06,7.338089428347685e-06,0
18,0.19503323877499273,2.5340146375052227e-08,0.8049667358848609,1.6099334971098682,2
19,9.503712344255476e-304,1.0,1.102882019213916e-37,1.0,1
20,3.3135661877277603e-06,0.9999966864338123,3.590917635001654e-234,0.9999966864338123,1
21,0.8757466392550505,1.0127217645490475e-09,0.1242533597322277,0.24850672047717717,0
22,0.9999999682793407,3.172065939438099e-08,4.094450206362861e-18,3.1720659402569895e-08,0
23,0.9999999069784017,9.302159835480322e-08,2.2519677209681887e-61,9.302159835480322e-08,0
24,0.9999999083914876,9.16085123675383e-08,1.8632865523242812e-17,9.160851240480403e-08,0
25,0.00012122357508997824,0.99987877642491,1.1195861869969186e-33,0.99987877642491,1
26,0.010729611526765307,0.9892703884732347,5.132801087015409e-41,0.9892703884732347,1
27,0.9766659413743516,0.023334058607119543,1.8528810680221027e-11,0.023334058644177164,0
28,0.9999995770273516,4.229726483841076e-07,5.834663730418291e-18,4.229726483957769e-07,0
29,0.00044726356958705964,0.999552736430413,8.942512489120045e-26,0.999552736430413,1
30,0.005909760847964457,0.9940902391520355,4.608391266098864e-30,0.9940902391520355,1
31,0.9999938221441715,6.177855826511912e-06,1.884185476783873e-15,6.177855830280283e-06,0
32,0.9999977375434361,2.2624565631473228e-06,8.77387556162514e-16,2.262456564902098e-06,0
33,0.9300698921252352,0.06993010787476486,4.705676237947783e-105,0.06993010787476486,0
34,0.0002756867110296147,0.0003466760584554092,0.999377637230515,1.9991019505194854,2
35,3.231270456022973e-18,1.0,9.868740944710743e-222,1.0,1
36,0.15763535880055632,3.903095286799699e-07,0.8423642508899151,1.6847288920893588,2
37,0.001994718165134952,0.00013798926954180344,0.9978672925653232,1.9958725744001884,2
38,0.17498073804461015,1.1602026551324123e-09,0.8250192607951872,1.650038522750577,2
39,0.2094713793894008,5.887535930805823e-07,0.7905280318570062,1.5810566524676053,2
40,0.056428365578033615,1.4481599868592107e-05,0.9435571528220977,1.887128787244064,2
41,0.015670862480261182,2.773889426734165e-05,0.9843013986254715,1.9686305361452103,2
42,0.18850562307470406,2.068539029036712e-05,0.8114736915350055,1.6229680684603014,2
43,0.06916117844636484,5.2727836780483275e-06,0.9308335487699572,1.8616723703235925,2
44,1.0542130298940406e-267,1.0,3.130819717178113e-47,1.0,1
45,0.0,1.0,1.6795880692607458e-256,1.0,1
46,0.22770944827322584,0.7722905517267741,3.9433116114871697e-106,0.7722905517267741,1
47,0.08873710172884339,0.01557620526554075,0.8956866930056159,1.8069495912767726,2
48,0.003192083201692287,0.00018405087486670607,0.996623865923441,1.9934317827217487,2
49,9.937583463324974e-05,0.00015298490235573378,0.999747639263011,1.9996482634283779,2
50,0.3278690864618473,0.0001381782567160737,0.6719927352814365,1.3441236488195891,2
51,7.030359375045749e-163,0.9999999799693028,2.0030697221121447e-08,1.0000000200306973,1
52,0.02884611437992122,4.057034132383748e-08,0.9711538450497375,1.9423077306698162,2
53,0.14708981419535483,6.2425260369648515e-09,0.8529101795621191,1.7058203653667643,2
54,0.24731784130321344,4.634184478776557e-08,0.7526821123549419,1.5053642710517285,2
55,1.585401962743205e-14,0.9170783695713473,0.08292163042863686,1.0829216304286209,1
56,0.0,1.0,3.3787971972407685e-88,1.0,1
57,0.46885980201932065,7.20549120884646e-05,0.5310681430685908,1.0622083410492702,2
58,0.36258464146466035,2.998785184309119e-08,0.6374153285474878,1.2748306870828274,2
59,0.3890036632887784,3.89270674127712e-07,0.6109959474405474,1.221992284151769,2
60,0.11474562376671228,1.0094670090815077e-09,0.8852543752238207,1.7705087514571083,2
61,0.05633637957470831,9.435346607755075e-07,0.943662676890631,1.8873262973159228,2
62,0.007188143727090285,0.000127083079906487,0.9926847731930032,1.9854966294659129,2
63,0.021184458249982347,3.552267629450654e-07,0.9788151865232546,1.9576307282732721,2
64,0.9997786520718361,0.00022061896114422468,7.289670195981319e-07,0.00022207689518342094,0
65,0.9999650783627639,3.4921637236151304e-05,3.070977708740581e-17,3.4921637236212724e-05,0
66,0.2143460032428498,1.154531887235269e-08,0.7856539852118312,1.5713079819689812,2
67,0.09952927143813009,1.1563123435139883e-09,0.9004707274055577,1.8009414559674277,2
68,0.29392144745554477,8.490549707562817e-09,0.7060785440539056,1.4121570965983608,2
69,0.25733106761713637,3.97910853058959e-08,0.7426688925917783,1.4853378249746418,2
70,0.34194276147328834,2.047851413322773e-08,0.6580572180481976,1.3161144565749094,2
71,0.18119549111184588,1.8109895807592255e-08,0.8188044907782583,1.6376089996664125,2
72,0.0756282795495349,1.7805123524109557e-05,0.924353915326941,1.848725635777406,2
73,0.5979759564306938,7.28574157288555e-07,0.40202331499514876,0.8040473585644549,0
74,0.0011405664885842598,0.0022202535856197655,0.9966391799257959,1.9954986134372115,2
75,0.9998689077500521,2.0485772131759777e-07,0.00013088739222654055,0.0002619796421743987,0
76,0.9984727847145461,2.3811134345264295e-07,0.0015269771741104599,0.0030541924595643725,0
77,0.991380131376524,1.5454748168820483e-07,0.008619714075994416,0.01723958269947052,0
78,0.9791425048329855,6.220336527301182e-07,0.0208568731333618,0.04171436830037633,0
79,0.9677190139033222,2.614356448968322e-07,0.032280724661032996,0.06456171075771089,0
80,0.965550853976766,1.4791498205572976e-07,0.03444899810825206,0.06889814413148618,0
81,0.8359177866958483,1.9638860594452522e-07,0.16408201691554583,0.3281642302196976,0
82,0.45706353026138047,9.600810984291667e-08,0.5429363737305096,1.0858728434691292,2
83,0.583275213575328,9.013536062840915e-08,0.4167246962893115,0.8334494827139837,0
84,0.6584804345738405,3.078858895887006e-07,0.3415192575402698,0.6830388229664291,0
85,0.9959694648547754,8.726291266372038e-07,0.004029662516097899,0.008060197661322434,0
86,0.6799044302665584,3.5843611437299483e-07,0.3200952112973272,0.6401907810307688,0
87,0.5155867910356144,1.2037463185331925e-06,0.48441200521806704,0.9688252141824526,0
88,0.0,1.0,3.9178014937240696e-69,1.0,1
89,0.0,1.0,0.0,1.0,1
90,1.3741578594268705e-10,0.004027551406844369,0.99597244845574,1.9959724483183243,2
91,0.0,1.0,0.0,1.0,1
92,0.0036275659963233846,5.939650413449964e-05,0.9963130374995421,1.9926854715032187,2
93,0.004175694787636543,0.00047173794076836925,0.9953525672715952,1.9911768724839587,2
94,0.06557995841768695,1.4749298974869911e-07,0.9344198940893232,1.8688399356716363,2
95,1.8835771608911503e-13,0.0008169998234798863,0.9991830001763318,1.9991830001761435,2
96,1.2961137849016356e-275,1.0,9.434043333442728e-19,1.0,1
97,0.00039564757723305053,0.0008621202894771887,0.9987422321332897,1.9983465845560566,2
98,5.9386648003838524e-18,0.0020905360843455245,0.9979094639156545,1.9979094639156545,2
99,1.2202331929025624e-89,0.9991951681511599,0.0008048318488400912,1.00080483184884,1
100,0.8627453617909729,1.4847855643124707e-07,0.1372544897304707,0.27450912793949783,0
101,0.5108024664389844,7.176349251801209e-07,0.4891968159260904,0.9783943494871059,0
