day,cluster,cluster0,cluster1,cluster2,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,11.8,13.0,0.0,0.0,10.0,1027.2,547.2,9.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,17.1,6.5,0.0,61.9,10.0,1017.2,463.5,9.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,23.0,15.6,0.0,36.5,10.0,1014.5,492.2,9.733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.03333333333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
1,0,0.38976684480929635,0.2905727907316521,0.31966036445905177,16.74824505723638,15.248587847435786,0.04925572175159959,8.74276765947048,9.914717112069557,1020.9618829140659,574.6282531282263,75.2555708780731,41.03363752289521,-0.2607624004365624,-27.653304402876074,0.8202834967766153,-34.0533044471577,-69.43473469881165,41.03363752289521,61.58663345321517,-0.20364581977979157,-30.55494291019171,0.9116889419844019,-17.922957048349176,-121.38562022070639,-0.2607624004365624,-0.20364581977979157,0.04844823694291308,0.05910056544235399,0.0008863149951597217,0.020101103914046826,-0.5661710025947463,-27.653304402876074,-30.55494291019171,0.05910056544235399,241.63304478864515,-2.099271110570257,7.8854336835400725,493.6959299925645,0.8202834967766153,0.9116889419844019,0.0008863149951597217,-2.099271110570257,0.12874737203585557,-0.4255188494579457,-5.186339246480997,-34.0533044471577,-17.922957048349176,0.020101103914046826,7.8854336835400725,-0.4255188494579457,37.51973295517677,-15.604852335719661,-69.43473469881165,-121.38562022070639,-0.5661710025947463,493.6959299925645,-5.186339246480997,-15.604852335719661,5593.260562458689
1,1,0.38976684480929635,0.2905727907316521,0.31966036445905177,12.391431149255508,11.503616959716377,4.973247346878777,69.85214738759457,9.053021690354136,1015.0927492304439,463.1471834345124,18.483790494109357,10.083844229087115,1.3126984894046636,-7.46851274872769,1.2730102987696976,3.6316631930049437,-10.235140715476087,10.083844229087115,38.00278055984359,15.832830229950492,-1.6981829641819581,2.023609388245858,-22.08118423531177,-81.626444574763,1.3126984894046636,15.832830229950492,132.84433381712432,38.13628820852285,-3.0351973955194986,-47.17119349594236,-30.917801380437542,-7.46851274872769,-1.6981829641819581,38.13628820852285,232.5955547860616,-9.80113926812043,-38.917732019918,257.02215044796907,1.2730102987696976,2.023609388245858,-3.0351973955194986,-9.80113926812043,2.3698521801580004,1.6894559865135992,-14.878794751060756,3.6316631930049437,-22.08118423531177,-47.17119349594236,-38.917732019918,1.6894559865135992,76.41993557468446,49.6413312014166,-10.235140715476087,-81.626444574763,-30.917801380437542,257.02215044796907,-14.878794751060756,49.6413312014166,3203.7749792106683
1,2,0.38976684480929635,0.2905727907316521,0.31966036445905177,21.011075789658808,17.863122744790385,1.0246462365682325,28.27536443557455,9.8968802693807,1014.6357129851833,506.45886336352453,46.00495519818064,16.959771904177586,-0.14865557374475286,-56.091057699567,0.9042027996191486,-9.81694103636475,-16.996218470202866,16.959771904177586,58.41289405318344,2.5897233684152483,-2.306228304899449,0.6199995373137432,-18.81586039847534,-63.61070965323902,-0.14865557374475286,2.5897233684152483,21.900274158085217,2.6369876529806335,0.012204973254275572,-4.299864225037005,3.362270992806004,-56.091057699567,-2.306228304899449,2.6369876529806335,208.39220201684802,-1.0678365449648988,-2.284794325705179,-17.762719744695303,0.9042027996191486,0.6199995373137432,0.012204973254275572,-1.0678365449648988,0.20101532393557522,-0.3093116620826545,-0.6318669737275645,-9.81694103636475,-18.81586039847534,-4.299864225037005,-2.284794325705179,-0.3093116620826545,27.659455933803496,33.304481192401504,-16.996218470202866,-63.61070965323902,3.362270992806004,-17.762719744695303,-0.6318669737275645,33.304481192401504,1276.6125984266953
2,0,0.5308316180043536,0.2636624886955058,0.20550589330014024,18.644033387324598,15.831653409045341,0.026551603685955636,11.87971343592047,9.954703720995804,1019.5195585003389,556.3199148761462,72.59129697354452,36.39803138881014,-0.05577180395633094,-19.93064837669484,0.4234733142448097,-34.89454094938477,-125.29872164238395,36.39803138881014,56.46566003448792,-0.05262565294878791,-27.60474740466009,0.47407118786679253,-18.047107819726104,-103.77234128260153,-0.05577180395633094,-0.05262565294878791,0.008547734635913245,0.028527026058940343,-0.0010137536625332492,-0.0337816544171086,-0.16095129294151583,-19.93064837669484,-27.60474740466009,0.028527026058940343,241.8854700051831,-1.0605505840183045,2.5069118571510005,224.48571331625485,0.4234733142448097,0.47407118786679253,-0.0010137536625332492,-1.0605505840183045,0.041996958181398585,-0.2688708348322598,-4.787443976647507,-34.89454094938477,-18.047107819726104,-0.0337816544171086,2.5069118571510005,-0.2688708348322598,36.96035098113102,48.68324849884822,-125.29872164238395,-103.77234128260153,-0.16095129294151583,224.48571331625485,-4.787443976647507,48.68324849884822,5479.734735884347
2,1,0.5308316180043536,0.2636624886955058,0.20550589330014024,12.151661067556457,11.166302467632908,5.889582728457756,70.43235695171653,8.858457750783215,1014.880389779598,466.85736039980844,18.574202148093978,10.528596726173417,8.78687173960547,-3.296388862309861,1.6931842089075864,1.37891900578935,7.533389688612719,10.528596726173417,35.95845712360698,20.418883225124528,1.5518687814873362,2.3127604233751033,-22.09232316065864,-89.61847751472754,8.78687173960547,20.418883225124528,158.46841423272292,14.45766974418591,-1.7758867720376794,-53.75480844470467,-10.788560697341044,-3.296388862309861,1.5518687814873362,14.45766974418591,270.8404790265207,-6.425832408797763,-36.08806024596152,67.82733646723199,1.6931842089075864,2.3127604233751033,-1.7758867720376794,-6.425832408797763,2.622925413924667,0.8355041430757353,-19.456622295676542,1.37891900578935,-22.09232316065864,-53.75480844470467,-36.08806024596152,0.8355041430757353,80.58027950593038,61.24230753670827,7.533389688612719,-89.61847751472754,-10.788560697341044,67.82733646723199,-19.456622295676542,61.24230753670827,3502.8107235982475
2,2,0.5308316180043536,0.2636624886955058,0.20550589330014024,18.219194781942726,17.751739534219077,1.094231038052935,38.2801170404684,9.920472861880965,1014.3511560883643,496.5252330590544,45.63858447888009,20.732148211094806,-0.8479798817925526,-36.48202606447864,0.25256280691673405,-11.225901156840505,-54.900124897152956,20.732148211094806,71.35040053718689,5.868207544968354,5.666879635504306,0.24642626501666806,-27.303157607563953,-89.85566105230336,-0.8479798817925526,5.868207544968354,9.561635522257886,1.677752253173547,-0.10524683836932679,-2.360776686532682,-16.80560629181665,-36.48202606447864,5.666879635504306,1.677752253173547,232.19056631613734,-0.4076215559837089,-14.84381980007156,-113.33812824888726,0.25256280691673405,0.24642626501666806,-0.10524683836932679,-0.4076215559837089,0.04880768069298032,-0.004895973138817766,-0.5176145634584656,-11.225901156840505,-27.303157607563953,-2.360776686532682,-14.84381980007156,-0.004895973138817766,37.81376583242134,58.60176333001686,-54.900124897152956,-89.85566105230336,-16.80560629181665,-113.33812824888726,-0.5176145634584656,58.60176333001686,1409.0745897224192
3,0,0.6285850799178976,0.2112853595629495,0.16012956051915264,18.830761595248454,15.808649240647684,0.015943810278280172,16.22430369490063,9.969235564854912,1018.9949061302942,542.4276347974265,66.76785530239152,33.04283777290103,0.005143964794965038,-21.824445325166526,0.289765653053737,-31.94884859974573,-81.12357321341317,33.04283777290103,54.534503381450705,0.00839741091126228,-31.22460772374156,0.31552256154750385,-17.606707067502,-79.19325048262391,0.005143964794965038,0.00839741091126228,0.002818328642950568,0.02538042295499571,0.00017237685053184327,-0.019343801394053017,-0.027416729097472985,-21.824445325166526,-31.22460772374156,0.02538042295499571,330.1862817708134,-0.6659610785432102,-5.31618009040154,-112.27463662705122,0.289765653053737,0.31552256154750385,0.00017237685053184327,-0.6659610785432102,0.022069014824643664,-0.19998670509665586,-4.146478010055996,-31.94884859974573,-17.606707067502,-0.019343801394053017,-5.31618009040154,-0.19998670509665586,35.850983075669006,70.77703726739841,-81.12357321341317,-79.19325048262391,-0.027416729097472985,-112.27463662705122,-4.146478010055996,70.77703726739841,6314.402929991244
3,1,0.6285850799178976,0.2112853595629495,0.16012956051915264,11.837882256479581,10.674992719872817,7.385840614920823,71.3587650643151,8.53708774510795,1014.4334742344224,476.02111891989784,16.66007457480333,10.721409534378486,14.78112820275835,-8.577975831686214,1.618485445223494,-1.6029497839699394,-12.902895967632508,10.721409534378486,33.38291279660324,29.114669660739263,3.0488275533531044,2.517532314442879,-24.507034154571304,-83.78731242740231,14.78112820275835,29.114669660739263,188.8547805570084,2.8590209411981657,0.20007192262011525,-63.73709388120018,-69.6490282882684,-8.577975831686214,3.0488275533531044,2.8590209411981657,318.7211725613175,-4.704878431533799,-36.71313413267442,-283.6509264524958,1.618485445223494,2.517532314442879,0.20007192262011525,-4.704878431533799,2.8298059961550335,0.05571448387896811,-15.778724257078085,-1.6029497839699394,-24.507034154571304,-63.73709388120018,-36.71313413267442,0.05571448387896811,87.93338758044834,110.62462572411575,-12.902895967632508,-83.78731242740231,-69.6490282882684,-283.6509264524958,-15.778724257078085,110.62462572411575,2980.040704429402
3,2,0.6285850799178976,0.2112853595629495,0.16012956051915264,15.65622554282334,17.50840789792571,1.381914527753015,46.63642414160284,9.919191333170925,1014.0183373186001,492.76113617782596,45.16690972839318,28.29091911889562,0.5605338574917635,-26.841844025720594,0.13284869140810074,-9.599410889681316,-49.82443779325335,28.29091911889562,82.50955093067205,7.920549304883085,-1.054417314511405,-0.11236490363922065,-32.31984149203949,-86.61355970331873,0.5605338574917635,7.920549304883085,8.79350324652845,-0.875717864593457,-0.14280812496856374,-2.523062489039926,-28.15177689268937,-26.841844025720594,-1.054417314511405,-0.875717864593457,418.6062460882293,-0.4046950253767404,-23.916905708804926,-377.734570451228,0.13284869140810074,-0.11236490363922065,-0.14280812496856374,-0.4046950253767404,0.0267234615596639,0.11161453261268818,0.9716744243698233,-9.599410889681316,-32.31984149203949,-2.523062489039926,-23.916905708804926,0.11161453261268818,51.218710067801226,76.48425718166261,-49.82443779325335,-86.61355970331873,-28.15177689268937,-377.734570451228,0.9716744243698233,76.48425718166261,1484.014208045149
4,0,0.681666496755039,0.16761681861201116,0.15071668463295007,18.555483251497066,15.576318837962363,0.010265498105532948,20.619381055634207,9.972811553046311,1018.8285695745426,535.5758177392654,63.39639020418229,32.201435983251116,-0.009624138850877172,-35.672837767756626,0.20173907232584393,-29.31984929844634,-46.83654853161065,32.201435983251116,55.23259332084448,-0.008570700167907992,-46.00359390491167,0.2517628393504543,-17.609963286279523,-52.47117989792647,-0.009624138850877172,-0.008570700167907992,0.0011995056017742624,0.06221264989545996,-0.00015770991632466352,-0.009713237939093096,0.053617135501526435,-35.672837767756626,-46.00359390491167,0.06221264989545996,490.289086864225,-0.8218486375679049,-3.9525698958096185,-332.048642713856,0.20173907232584393,0.2517628393504543,-0.00015770991632466352,-0.8218486375679049,0.013277817776416076,-0.12703845522624094,-2.4574533122678233,-29.31984929844634,-17.609963286279523,-0.009713237939093096,-3.9525698958096185,-0.12703845522624094,35.89417466236096,58.73093045177878,-46.83654853161065,-52.47117989792647,0.053617135501526435,-332.048642713856,-2.4574533122678233,58.73093045177878,6068.474637831051
4,1,0.681666496755039,0.16761681861201116,0.15071668463295007,11.513172970088988,10.485058617537007,9.063434987143957,67.92022515074041,8.162589082302608,1014.1614831278313,484.6779210038599,19.141914698688872,12.820390514720941,21.70957210104112,-2.016919470968313,1.704307980148153,-8.083460725885738,-56.03368078631149,12.820390514720941,30.07515867850802,35.47758899830114,11.719838709877324,3.1363264375497266,-26.80526712005972,-107.6101210049992,21.70957210104112,35.47758899830114,223.1790095939665,30.353095744424422,3.3936884878066524,-75.97899014056199,-151.65136541090519,-2.016919470968313,11.719838709877324,30.353095744424422,442.51709847184276,-9.986725608888706,-69.5767417461031,-648.629901126087,1.704307980148153,3.1363264375497266,3.3936884878066524,-9.986725608888706,2.916877236222091,-0.9368704502369157,-12.134446605849236,-8.083460725885738,-26.80526712005972,-75.97899014056199,-69.5767417461031,-0.9368704502369157,93.856658567466,201.7347615451615,-56.03368078631149,-107.6101210049992,-151.65136541090519,-648.629901126087,-12.134446605849236,201.7347615451615,4494.3569720181085
