day,cluster,cluster0,cluster1,cluster2,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,21.0,2.8,48.4,0.0,0.0,0.0,547.2,11.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5566666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,21.7,13.0,90.5,0.0,0.0,61.9,463.5,11.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5566666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,29.2,17.1,75.8,0.0,0.0,36.5,492.2,11.233333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.58666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5566666666666675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.433333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.63333333333333
1,0,0.33411832474078934,0.3122156623489435,0.35366601291026717,24.276434173644688,10.800909515012021,60.22599012256661,0.049809973171935425,0.8851982165067914,5.447991571854652,574.0367132432335,91.87948054650893,70.74903475559543,-34.19926903708645,-0.33918310201133106,-2.862826056086608,-6.365554198255731,-66.20778052743049,70.74903475559543,63.96088366156384,-31.209729273307165,-0.25664281623730784,-1.0238832682981658,4.963495951308013,-39.15080690655745,-34.19926903708645,-31.209729273307165,152.67398990972853,0.06412806666322732,2.44560797898402,26.02689696170682,332.4217022884018,-0.33918310201133106,-0.25664281623730784,0.06412806666322732,0.04403526625149125,0.21546003828339144,0.10705631054427209,-0.38566275748867446,-2.862826056086608,-1.0238832682981658,2.44560797898402,0.21546003828339144,4.5526471050349215,3.9558660352874293,2.580264161586729,-6.365554198255731,4.963495951308013,26.02689696170682,0.10705631054427209,3.9558660352874293,82.8437026021185,156.69145497331724,-66.20778052743049,-39.15080690655745,332.4217022884018,-0.38566275748867446,2.580264161586729,156.69145497331724,4999.168853865688
1,1,0.33411832474078934,0.3122156623489435,0.35366601291026717,15.807568683100651,9.473262435032689,90.00141082846132,4.762344599721509,6.474741401220612,68.48826982317388,467.0366526898669,24.23071617693636,19.147562124900244,-9.217213950752228,-2.2960366767689777,-6.6051125364576935,-22.106949773570886,-30.098412347243855,19.147562124900244,20.389083368033575,-1.8944201442717836,6.171123847317315,1.1667653285179904,4.999688268706184,-22.356592168108403,-9.217213950752228,-1.8944201442717836,69.28477783330875,20.16823545744604,18.016844002651013,63.77788401885869,170.9780381452885,-2.2960366767689777,6.171123847317315,20.16823545744604,126.05089741847567,32.83245290744667,38.07230874330192,-52.620789343811026,-6.6051125364576935,1.1667653285179904,18.016844002651013,32.83245290744667,30.603700075903987,36.26335282333029,-18.202847550028622,-22.106949773570886,4.999688268706184,63.77788401885869,38.07230874330192,36.26335282333029,259.4455051520457,244.9876062716301,-30.098412347243855,-22.356592168108403,170.9780381452885,-52.620789343811026,-18.202847550028622,244.9876062716301,3747.317180813895
1,2,0.33411832474078934,0.3122156623489435,0.35366601291026717,25.81571299525675,14.806429820461709,74.38875915858142,0.8151939638199471,2.3251875726090945,26.974328829521898,516.9608786623451,62.5296172534251,49.36498419002495,-36.05698861068821,0.939601851953703,1.1674612284786556,-65.17739907143574,-101.43248703265898,49.36498419002495,45.60957870785626,-30.18917933970561,0.8234493777498038,3.644806141251876,-38.62413635420472,-96.04637174646204,-36.05698861068821,-30.18917933970561,100.92667667698308,4.719181759068085,-0.8628378519497577,49.85572991133957,136.17535726240558,0.939601851953703,0.8234493777498038,4.719181759068085,18.257820561262758,4.819127102626142,1.9660129830456263,4.55558153379772,1.1674612284786556,3.644806141251876,-0.8628378519497577,4.819127102626142,10.664684274868856,7.416397365323527,-17.879300684676707,-65.17739907143574,-38.62413635420472,49.85572991133957,1.9660129830456263,7.416397365323527,257.62985205578735,298.45786460885915,-101.43248703265898,-96.04637174646204,136.17535726240558,4.55558153379772,-17.879300684676707,298.45786460885915,2785.3634595859235
2,0,0.4384818755456293,0.29253004046033826,0.26898808399403307,25.373694468234003,12.138533803055145,62.56080620684181,0.02311860422183241,0.9025680506529432,7.492585510593915,558.0159304896829,90.63834536419306,70.78337664962127,-27.60093486071422,-0.0898372487070585,-1.4276596650592894,-6.501915645690819,-59.08008937883126,70.78337664962127,64.57281103840575,-23.508592319205285,-0.04300252906036975,0.21052166781166223,6.602022653427998,-63.24221231551073,-27.60093486071422,-23.508592319205285,154.61283721944002,0.02647811470453811,2.003741663488228,30.48421409953651,149.76039224921442,-0.0898372487070585,-0.04300252906036975,0.02647811470453811,0.007583981457505014,0.11303779997147508,-0.00909179912338537,-0.15733288015792682,-1.4276596650592894,0.21052166781166223,2.003741663488228,0.11303779997147508,4.128270097246774,3.25155935296349,-5.560224685093978,-6.501915645690819,6.602022653427998,30.48421409953651,-0.00909179912338537,3.25155935296349,81.5320502616951,-66.08828209326931,-59.08008937883126,-63.24221231551073,149.76039224921442,-0.15733288015792682,-5.560224685093978,-66.08828209326931,4499.38651752815
2,1,0.4384818755456293,0.29253004046033826,0.26898808399403307,16.319822938780444,10.037888917064624,90.41714807550103,5.700890408852206,7.084732160131236,68.99679527006003,465.9327162838398,27.212261757776968,19.94461473129475,-14.22816267667932,3.475269677795126,-7.011479496505571,-42.98137312808853,-11.843216383966315,19.94461473129475,19.453223110403968,-5.05925700431798,8.01289315352248,-0.30052772615787826,-11.111714248704814,-0.7827676275431268,-14.22816267667932,-5.05925700431798,54.264421947763786,13.971032340537406,15.614257205674162,69.18255885405883,141.80620814105504,3.475269677795126,8.01289315352248,13.971032340537406,146.78726409214127,33.53581050749647,11.094176099464905,-5.380285970605415,-7.011479496505571,-0.30052772615787826,15.614257205674162,33.53581050749647,30.460496373506018,27.58302465099082,7.178251066258292,-42.98137312808853,-11.111714248704814,69.18255885405883,11.094176099464905,27.58302465099082,270.2440201132095,169.01676815502364,-11.843216383966315,-0.7827676275431268,141.80620814105504,-5.380285970605415,7.178251066258292,169.01676815502364,3437.233072448741
2,2,0.4384818755456293,0.29253004046033826,0.26898808399403307,23.33474639852954,13.175686173986138,76.76816364517121,0.423842590596417,2.4958716061910833,34.47843961773056,518.4789058825726,61.78528298012583,52.332523067742436,-31.49992651809244,-0.9597737030271433,3.364829062851997,-64.46341197776128,-164.15252103729435,52.332523067742436,50.61551021531643,-27.453145247683402,-0.08929609136032426,5.10997310784185,-41.93639669895675,-155.45280839301765,-31.49992651809244,-27.453145247683402,110.6774353502304,-0.05385123293611969,-7.702598554909344,51.98615868939484,160.72670701129383,-0.9597737030271433,-0.08929609136032426,-0.05385123293611969,2.397854688689114,1.3786251271042063,0.023253300525175265,-7.716885171897736,3.364829062851997,5.10997310784185,-7.702598554909344,1.3786251271042063,9.940256869899464,-4.062789851176644,-23.641814527019694,-64.46341197776128,-41.93639669895675,51.98615868939484,0.023253300525175265,-4.062789851176644,296.47847492056417,487.99836307879696,-164.15252103729435,-155.45280839301765,160.72670701129383,-7.716885171897736,-23.641814527019694,487.99836307879696,4506.5054552232605
3,0,0.505410043069826,0.24975582241282618,0.24483413451734756,25.44990790687524,12.491563143272742,64.21803818892901,0.012480943990235796,0.7648392056427927,9.569134825221765,546.5187486790087,86.02153576802655,67.51165369278644,-23.393511461528156,-0.03787863733513418,-0.5454111841574638,-11.472344551141031,-37.59076522467139,67.51165369278644,62.089469187079494,-17.74341174031593,-0.012174067806726857,0.525463492414198,4.666953460389921,-72.00955580847871,-23.393511461528156,-17.74341174031593,164.65174372804472,-0.056077878289939244,0.24373088360884576,45.05803081745263,30.87697043815423,-0.03787863733513418,-0.012174067806726857,-0.056077878289939244,0.002106398082880515,0.05706478727568856,-0.011945544598763158,-0.20777852050478757,-0.5454111841574638,0.525463492414198,0.24373088360884576,0.05706478727568856,3.1937027087867933,1.150581431733235,-14.89767453733862,-11.472344551141031,4.666953460389921,45.05803081745263,-0.011945544598763158,1.150581431733235,103.45623225381156,-244.23075841544681,-37.59076522467139,-72.00955580847871,30.87697043815423,-0.20777852050478757,-14.89767453733862,-244.23075841544681,4657.139959442399
