day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
21,1.6212636599630246e-06,1.1854342797500802e-37,0.0,0.99999837873634,1.212897436143613e-27,3.275338184181329e-214,1.2211138442738233e-132,2.9999951362090203,3
22,1.0524346415413898e-12,1.3555785542923334e-80,0.0,2.937777201085586e-10,0.99999999970517,4.888044322482046e-81,8.512277457862534e-108,3.999999999702013,4
23,1.8084401957937854e-12,2.1969222308499874e-78,0.0,5.060923870045552e-10,0.9999999994920992,3.838248287616359e-52,1.4163716619986075e-92,3.9999999994866737,4
24,2.336230884519772e-12,7.201980537623109e-69,0.0,1.1979317812511755e-09,0.999999998799732,1.7247328699218683e-101,3.148305571298557e-130,3.9999999987927235,4
25,6.913839073038535e-20,2.325732388610086e-71,0.0,1.0558986857632381e-16,1.0,0.0,3.2014912343365657e-35,4.0,4
26,1.3821115081244973e-18,2.8467075965691344e-61,0.0,1.858680251600911e-15,0.9999999999999981,0.0,4.374042361940537e-31,3.9999999999999982,4
27,1.0323801198717792e-07,7.834093597287216e-29,0.0,0.004095267065568044,0.99590462969642,0.0,5.9499149532022736e-58,3.995904319982384,4
28,1.0994671740780561e-11,1.4536100846704174e-50,0.0,1.5183686952719096e-08,0.9999999848053184,2.521395680044045e-96,1.1137267643684321e-154,3.999999984772334,4
29,4.5148504389178e-19,5.708954683695199e-66,0.0,9.908154831585054e-16,0.999999999999999,0.0,7.082683546520396e-35,3.999999999999999,4
30,6.547220641725477e-19,9.506826196942595e-74,0.0,3.630081217175592e-15,0.9999999999999964,0.0,2.583741212008403e-36,3.999999999999997,4
31,3.949336137310937e-13,4.6890874728291245e-49,0.0,4.2103854820725926e-07,0.9999995789610568,2.6907322010402076e-192,0.0,3.999999578959872,4
32,4.263222168767449e-11,7.367532923191234e-59,0.0,2.318854719759372e-08,0.9999999767688206,2.2022054848919607e-33,9.930070775002852e-107,3.999999976640924,4
33,8.437722939949442e-06,5.656299680972954e-27,0.0,0.9999915622575346,1.9525378643870668e-11,4.5593974630087543e-94,1.4727118980180216e-34,2.9999746868507056,3
34,0.07635195647428814,0.0002376832495545462,0.0,0.0,2.8362024098566375e-107,0.0,0.9234103602761572,5.540699844906499,6
