day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,weighted_mean,max
14,1.167181789375439e-06,4.312143731931938e-48,3.626577634175427e-19,2.837797866659034e-14,3.917633478714334e-14,0.9999988328181431,2.5739552384136673e-151,4.999994164090957,5
15,8.360390647509298e-06,2.4729561112815454e-62,3.738687203251186e-10,1.6569885202810535e-09,3.361615871867677e-59,0.9999916375784952,1.3525746894978938e-22,4.999958193611179,5
16,1.1386218033581569e-06,2.6533262026371095e-46,3.4204232805074925e-12,1.2723747586965754e-11,5.050696757291872e-15,0.9999988613620474,2.953865393856733e-75,4.999994306855269,5
17,0.8026298660989969,3.3168903418474306e-34,4.48443531056266e-09,1.8030846406779465e-06,0.19736832633192714,0.0,8.474699081750956e-90,0.7894787235505012,0
18,3.0255076344486247e-06,1.353359541935047e-57,5.526077734919195e-17,4.0023208822404606e-11,5.854767941574324e-10,0.9999969738668655,1.8200060252857495e-117,4.999984871796305,5
19,2.783560216736911e-05,0.0,0.0,0.999930178036634,2.0593558090063717e-165,0.0,4.1986361198642875e-05,3.000042452277094,3
20,2.6893256489081677e-07,8.60918540021568e-51,2.38662601031418e-07,4.379695779378956e-09,5.387570593461112e-19,0.9999994880251383,4.9237324149141795e-85,4.999997930589981,5
21,2.4594952420391237e-05,2.274872045779269e-64,8.956080244330297e-21,2.253089947723706e-12,3.7100309131039316e-06,0.9999716950144134,2.704893434396639e-206,4.999873315202478,5
22,4.6299181437101425e-05,6.028653824550472e-62,1.2058526108172945e-34,5.213812022800391e-17,0.9999537008185608,2.0642961167690178e-15,1.207721123206848e-194,3.9998148032742535,4
23,5.676289499475808e-05,2.8191310374638636e-59,3.627558837008697e-37,8.089866439716873e-16,0.9999432371050019,2.508213739815358e-15,3.7714046449926205e-186,3.999772948420022,4
24,7.07728650772084e-05,1.6951596970905275e-59,5.903014855085925e-32,1.924944326018995e-18,0.99992922713491,1.2907900532989948e-14,1.4483204121818145e-210,3.999716908539704,4
25,1.0,2.576275068726653e-72,1.1987362037234641e-23,4.5752982197673015e-22,1.3513459748765736e-143,1.0207674579938756e-23,4.982187270001148e-32,1.4476025632032848e-21,0
26,0.999999999999999,5.648001516280802e-67,3.6804949352393474e-24,9.381566244650147e-16,3.67919044884029e-106,7.893108644786057e-22,6.114376840071443e-39,2.814473827310356e-15,0
27,0.999999957808698,1.3071527145671633e-43,7.130515643313725e-14,3.8532738932174017e-16,2.577936630013671e-32,4.2191230366449506e-08,9.37745641154597e-81,2.1095629559854256e-07,0
28,0.01049651972353042,4.2522785704982235e-67,1.0436011302632246e-29,1.8913649372371702e-21,0.989503480274151,2.318494833012002e-12,6.325416344447231e-219,3.9580139211081966,4
29,1.0,4.7910491169044835e-64,7.477963703907795e-23,9.235909607028648e-20,1.0899703863575838e-119,2.7771130236079143e-22,3.48780281909633e-35,2.7861540399674174e-19,0
30,1.0,1.6360762469417055e-39,7.52759713876229e-17,4.801333287099637e-18,2.8224114608210964e-85,9.49046097410807e-21,1.2103895152630028e-29,1.6500339494148787e-16,0
31,1.2145631028416534e-06,6.3410848933028494e-74,5.906529003287057e-24,7.81930124987579e-62,0.9999987853881559,4.8741333984716525e-11,0.0,3.9999951417963304,4
32,0.00019872902011949253,1.3457656567299486e-57,3.146754720850481e-39,8.131926725633384e-16,0.9998012709796834,1.9623703311627903e-13,1.1677097737091695e-211,3.999205083919717,4
33,0.9569556857169523,6.382700215370785e-36,5.799480861570034e-16,2.4690658991472816e-05,2.1327908252242717e-09,0.0430196214912648,6.725494918774396e-76,0.21517218796446289,0
34,0.004756038433040061,1.0981588014713916e-49,6.350490212609481e-09,4.191041237323157e-05,1.1725861195411592e-99,0.0,0.9952020448040965,5.971338012762679,6
35,0.9974840320059637,3.1041949221706715e-51,3.0945005520503e-31,0.002504148229018145,6.881374535009516e-67,0.0,1.1819765018104363e-05,0.007583363277163062,0
36,4.158896021497561e-06,2.7061688332056894e-40,1.4816207197177575e-15,3.7600096354039404e-11,3.6508024508103806e-10,0.9999958407012967,3.3781585175946087e-93,4.999979205079607,5
37,0.999915498997507,1.8556502375887648e-47,8.450100104571519e-05,1.447280828562945e-12,5.602758331565937e-36,0.0,2.1746809053637207e-58,0.00016900200643327285,0
38,5.094027323187522e-07,2.643318743148766e-69,4.6240035914854195e-18,4.3004771691915694e-20,1.9637479823523273e-08,0.9999994709597878,1.518677901510849e-220,4.999997433348859,5
39,6.019587080949881e-06,3.12629589415565e-54,6.177654459121635e-19,8.54974993548698e-12,1.970925098135581e-10,0.9999939802072769,4.4784835941053626e-98,4.999969901850403,5
40,9.374337712428069e-06,8.630012245934179e-41,9.687936444651226e-10,3.6001700942461814e-08,5.65893269865003e-21,0.999990588691793,1.197739313958445e-59,4.999953053401655,5
41,1.347929034228781e-05,1.2232827490668699e-54,1.1369120008237273e-10,1.768836624865976e-09,1.8580004285089428e-35,0.9999865188271299,2.231594265970127e-41,4.999932599669542,5
42,2.4563005335635383e-09,1.6589414700860431e-47,2.0495751176488344e-05,1.1948254927536082e-20,6.133087971787563e-16,0.9999795017925224,2.730498307784722e-134,4.999938500464967,5
43,4.609482689541921e-06,1.172663111335783e-65,4.012273456093608e-10,5.840545426641281e-16,2.7381362843394247e-22,0.9999953901160826,7.707433370563376e-98,4.99997695138287,5
44,0.013305113226498735,0.0,0.0,0.002889822123599509,6.187419898393388e-178,0.0,0.9838050646499017,5.911499854270208,6
45,1.7172419963313934e-16,0.0,0.0,0.5375780183563571,0.0,0.0,0.4624219816436428,4.3872659449309275,3
46,0.7549826021140255,1.543269625466866e-33,8.642002342189477e-05,0.24493097786255255,7.391335473859301e-18,0.0,3.0543189324132176e-40,0.7349657736345014,0
47,0.9977610015870688,2.5541675193003436e-45,5.8755516700708874e-05,0.0014174610465891673,5.639770440195701e-69,0.0,0.0007627818496414562,0.008946585271017656,0
48,3.4481418472027356e-06,1.0626260591062232e-52,7.112933454859473e-09,5.788697851967354e-10,6.264704598523746e-55,0.9999965441663496,3.2736289844569597e-18,4.999982736794225,5
49,3.5127640182719065e-07,6.452367110468359e-43,1.6374261417035076e-10,2.8630840985874953e-09,5.812753220908824e-93,0.9997049071309756,0.00029473856579585126,5.000292975966391,5
50,3.721330392614149e-05,2.415718438398466e-22,1.836709542792843e-08,2.1636362042908596e-06,5.824661650891378e-17,0.999960604692774,1.2678229718771744e-54,4.999809551106674,5
51,0.9858255809172553,0.0,0.0,0.001483229613980582,2.019806550061234e-127,0.0,0.012691189468764344,0.0805968256545278,0
52,1.6639240845844703e-06,3.3735730664325106e-54,2.970787965580866e-20,2.7592952520093777e-19,1.5422408534300838e-07,0.9999981818518301,1.0034288156371779e-199,4.999991526155491,5
53,0.07556780907040275,2.9485053571527775e-47,2.1133359333521438e-18,1.3661873921785739e-09,0.9244321895634099,0.0,4.9831875801867947e-163,3.697728762352202,4
54,5.227923666801424e-06,6.552434069145326e-41,4.505171026533572e-18,6.364514330201778e-11,3.0459239223629476e-09,0.9999947689667642,7.148786181474973e-131,4.999973857208452,5
55,0.013496818195660149,2.0049249019060934e-65,3.664001460796067e-44,0.002005683803285,2.829595975262822e-103,0.0,0.9844974980010548,5.913002039416184,6
56,1.0,0.0,0.0,1.0992974341509602e-26,0.0,0.0,1.6207217100850673e-98,3.297892302452881e-26,0
57,8.027492223458248e-10,1.5397338086307822e-77,0.9999999991972506,3.475785581408943e-36,9.560809217036056e-17,0.0,9.845865207529422e-176,1.9999999983945016,2
58,1.8598794039671121e-09,5.900256453587023e-55,1.2460072571151787e-10,2.2130424016175884e-25,4.4708528037094566e-08,0.9999999533069919,8.015084610714227e-241,4.999999945618272,5
59,3.7157031898524416e-10,2.1007800831476636e-83,5.653703929426704e-07,2.640042404247692e-37,2.9870130949459095e-10,0.9999994339593353,6.43532649534676e-229,4.999998301732268,5
60,1.6272489696586544e-06,3.9496739110365376e-73,7.004042357837075e-22,1.3361321193168434e-16,8.621639122892385e-08,0.999998286534639,4.6676305633936574e-212,4.99999177753876,5
61,1.460960266476843e-06,6.507976474347627e-45,1.8101673763216886e-10,3.250733888641213e-10,1.4358805822997955e-10,0.9999985383900554,4.002605582913714e-119,4.999992693861883,5
62,9.656257284200026e-08,2.3074973058732425e-48,2.468909663618632e-05,1.5871389018614607e-17,5.260823790104498e-32,0.9999752143407911,1.8296524652930566e-82,4.999925449897227,5
63,1.2195477316994544e-11,1.3891283234760373e-72,2.957929054765583e-06,1.83105027304122e-36,6.002297056450567e-08,0.9999969820357791,2.777573318674498e-242,4.999991066128887,5
64,5.95190324860031e-14,1.5251320420521529e-92,0.9999997214514758,2.3301467500493855e-29,7.108111455236058e-29,2.785484646102435e-07,9.491293438647863e-146,2.0000008356452748,2
65,4.544840888902893e-15,9.853200739623867e-90,0.9999999999999948,2.0094844631602945e-29,4.862871050092852e-30,5.035968323604375e-16,3.10107072970634e-136,1.999999999999992,2
