day,cluster,cluster0,cluster1,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.5561643835616439,0.4438356164383562,10.260591133004926,3.6088669950738907,84.32167487684733,2.607960591133004,29.803152709359612,74.76945812807882,56.20197044334974,42.70967846829578,30.787245989953643,-6.094170448203055,5.051297461719527,5.457227692979687,10.291505739037595,153.83544711106796,30.787245989953643,29.328394282802307,-0.24797544225775844,8.00317424106384,43.811252833118935,43.17352204615496,78.60771651823632,-6.094170448203055,-0.24797544225775844,55.33795384503386,6.606075731029631,54.02655235506809,37.10263243466234,-126.96501807857506,5.051297461719527,8.00317424106384,6.606075731029631,17.692955298939555,85.09022500109191,37.56024411657648,-20.913910267174643,5.457227692979687,43.811252833118935,54.02655235506809,85.09022500109191,769.7224225727391,346.68036229949763,-275.1215530102648,10.291505739037595,43.17352204615496,37.10263243466234,37.56024411657648,346.68036229949763,572.362416947754,-305.14885607512934,153.83544711106796,78.60771651823632,-126.96501807857506,-20.913910267174643,-275.1215530102648,-305.14885607512934,1329.467680846417
0,1,0.5561643835616439,0.4438356164383562,23.053086419753093,9.243827160493822,60.00061728395062,0.5006913580246914,6.3014814814814795,39.829012345679,213.80864197530855,48.574218869074826,38.20717954580093,-15.868674744703542,1.6800528044505396,7.555483081847269,9.125188233501005,173.46244246303917,38.20717954580093,42.451844612101844,-0.3995949550373446,2.1379511812223733,25.504348651120253,73.3261976070721,80.52659655540312,-15.868674744703542,-0.3995949550373446,90.42499961896056,3.495431672001218,49.13236328303614,121.57677221460142,-224.88623990245392,1.6800528044505396,2.1379511812223733,3.495431672001218,3.139525410912971,10.207380642432538,17.013002781588167,-2.6913639993903398,7.555483081847269,25.504348651120253,49.13236328303614,10.207380642432538,134.0108126200275,180.26133973479654,-132.17196959304985,9.125188233501005,73.3261976070721,121.57677221460142,17.013002781588167,180.26133973479654,837.1873681603412,-401.8077815881724,173.46244246303917,80.52659655540312,-224.88623990245392,-2.6913639993903398,-132.17196959304985,-401.8077815881724,2283.679678402682
1,0,0.5364073675682273,0.4635926324317728,10.425155118464293,3.8016483199329465,84.87890915073977,2.758412454797574,31.22147941235241,75.32496133429619,55.80318303121559,46.76492680123648,33.44551627080552,-9.024321499168785,5.9574124494363625,10.741261630481048,5.530892170582627,183.15300577889641,33.44551627080552,30.95476442662579,-3.294844582436698,8.750891624213715,48.46196737238479,38.861765429531935,101.23816007488097,-9.024321499168785,-3.294844582436698,43.997175353747814,4.848056116144367,34.48938633492871,28.58245179549026,-124.58964120891343,5.9574124494363625,8.750891624213715,4.848056116144367,18.61364799343274,85.60067036720346,37.82154933630867,-14.10171533646518,10.741261630481048,48.46196737238479,34.48938633492871,85.60067036720346,781.7347415273033,343.8792286153531,-206.81355405717477,5.530892170582627,38.861765429531935,28.58245179549026,37.82154933630867,343.8792286153531,572.6736593890605,-309.39881601658277,183.15300577889641,101.23816007488097,-124.58964120891343,-14.10171533646518,-206.81355405717477,-309.39881601658277,1481.8358913653462
1,1,0.5364073675682273,0.4635926324317728,22.317494772353523,8.78062022821794,60.392355506600126,0.4164144876435806,5.661958809976274,40.67532202829657,207.55331171056227,54.905557848962815,41.43626249382335,-21.521995102412454,1.3615129656660439,4.31769512137327,-2.2794700754929242,244.20959770715643,41.43626249382335,43.62027056224524,-4.443048052987665,1.4550022036916157,18.65213274343067,64.73550507359701,121.85573946599023,-21.521995102412454,-4.443048052987665,95.38529734137316,2.189774161849725,40.576050389733425,125.20048970379304,-271.2722592151049,1.3615129656660439,1.4550022036916157,2.189774161849725,2.1167223358759077,7.068372470148161,13.261814737767153,2.447064523942632,4.31769512137327,18.65213274343067,40.576050389733425,7.068372470148161,90.86901078349202,152.7733471978384,-109.00967123307734,-2.2794700754929242,64.73550507359701,125.20048970379304,13.261814737767153,152.7733471978384,831.5801791820542,-504.4824074306896,244.20959770715643,121.85573946599023,-271.2722592151049,2.447064523942632,-109.00967123307734,-504.4824074306896,2940.5589396268115
2,0,0.5250839924996644,0.474916007500336,10.718851862450752,4.055907721683313,85.00660359325131,2.926561350825202,32.30216747413966,75.93212215046123,57.03184603587361,51.32822922392317,35.76139829059349,-15.21007260702885,7.230815298255621,10.80610861712947,2.1210121178334393,228.26947435814245,35.76139829059349,31.847711868374574,-7.571631424686452,9.251010716758573,47.20183833278138,35.00047425060877,128.41741018288454,-15.21007260702885,-7.571631424686452,44.06239650177151,2.064930361352919,22.87473276490694,21.56107246438173,-163.18279313050178,7.230815298255621,9.251010716758573,2.064930361352919,19.264890475703382,83.88813431155386,36.985593729135545,1.3453256064818508,10.80610861712947,47.20183833278138,22.87473276490694,83.88813431155386,768.7251485142922,331.4919328311294,-175.49790027401318,2.1210121178334393,35.00047425060877,21.56107246438173,36.985593729135545,331.4919328311294,558.3849476554938,-296.4289337392503,228.26947435814245,128.41741018288454,-163.18279313050178,1.3453256064818508,-175.49790027401318,-296.4289337392503,1845.9435422612419
2,1,0.5250839924996644,0.474916007500336,21.709225359029766,8.38078887872425,60.83500245897699,0.286343124932866,5.076524839788616,40.83017138112855,202.57669508291653,60.29619649665876,44.73115954557637,-27.372464289782787,0.7158087867200261,2.354582816321428,-11.51913750778741,297.9055168650363,44.73115954557637,45.4901004891236,-8.63356041368616,0.9659749897940121,15.947865495816744,57.76737485919401,156.41676634191657,-27.372464289782787,-8.63356041368616,101.25578079244255,1.8484628737187214,35.43522199957521,129.40542631049664,-323.51111910206305,0.7158087867200261,0.9659749897940121,1.8484628737187214,1.0018097792334257,4.4342993631374785,8.599809955056958,0.6548100615593705,2.354582816321428,15.947865495816744,35.43522199957521,4.4342993631374785,74.58800139890647,132.94774435363897,-96.22858043985183,-11.51913750778741,57.76737485919401,129.40542631049664,8.599809955056958,132.94774435363897,822.8788608417616,-584.7935150884155,297.9055168650363,156.41676634191657,-323.51111910206305,0.6548100615593705,-96.22858043985183,-584.7935150884155,3438.1203112009507
3,0,0.512600184160177,0.4873998158398233,11.07807412910769,4.368577892497479,84.87087215315992,3.095010001316881,33.30932852263655,76.80328528103969,59.537773680267975,55.25618346533966,37.21110560482485,-20.93445875153908,8.099819419147918,5.846157260533285,-1.7491271303208284,280.9652591968876,37.21110560482485,31.6811002831478,-10.651999125253898,9.443491736073053,42.14450599959109,29.04867807670744,157.00777176237733,-20.93445875153908,-10.651999125253898,49.559825668349816,0.8072742901549999,23.430804138978065,21.80544264218149,-219.57224294496564,8.099819419147918,9.443491736073053,0.8072742901549999,19.580366094600198,81.69928704764877,35.23773567215786,12.181496391242579,5.846157260533285,42.14450599959109,23.430804138978065,81.69928704764877,756.013338901588,315.50676783903214,-199.90064707842154,-1.7491271303208284,29.04867807670744,21.80544264218149,35.23773567215786,315.50676783903214,527.5926490373245,-292.58815397300856,280.9652591968876,157.00777176237733,-219.57224294496564,12.181496391242579,-199.90064707842154,-292.58815397300856,2390.1454221420863
3,1,0.512600184160177,0.4873998158398233,21.04993270870371,7.941178998636176,61.596860762854625,0.17680916693347995,4.71462229358449,40.813034822701205,196.21335051134048,66.76306082952466,49.03419384020551,-37.99205033335522,0.03924609931496813,0.8600731089953052,-20.5129687699604,360.48124365210475,49.03419384020551,48.343267520987006,-16.230621445739708,0.4777245535209519,14.189307769097615,51.68108241727364,197.39074783688167,-37.99205033335522,-16.230621445739708,115.27522527136188,1.0134621205447756,30.086853113844924,131.120168529964,-429.4825847959158,0.03924609931496813,0.4777245535209519,1.0134621205447756,0.3390273389897506,2.774563942005771,4.745037333196666,-2.881066297952593,0.8600731089953052,14.189307769097615,30.086853113844924,2.774563942005771,65.84686933227371,116.26799213923843,-96.63167811695277,-20.5129687699604,51.68108241727364,131.120168529964,4.745037333196666,116.26799213923843,814.9281479793137,-673.8687838811934,360.48124365210475,197.39074783688167,-429.4825847959158,-2.881066297952593,-96.63167811695277,-673.8687838811934,4087.6386394823007
4,0,0.4675150346062527,0.5324849653937468,11.397484293187611,4.824281582468452,84.54927117250116,3.4513514638983804,36.40517213556221,78.82773972858399,61.65786219911068,57.085632621755515,37.828487790371064,-26.999820151356957,8.689081687483005,0.22094680490880367,-7.025174864224448,322.81858308719654,37.828487790371064,30.982119562446794,-14.363176194799966,9.360490495469618,33.50625767812616,17.880123828663,183.7919581822867,-26.999820151356957,-14.363176194799966,60.320091993817115,0.509118090037887,29.79350013346824,23.23508724938408,-293.1599696722513,8.689081687483005,9.360490495469618,0.509118090037887,20.331269160126215,78.30868594224263,31.43301611345997,16.599233544818887,0.22094680490880367,33.50625767812616,29.79350013346824,78.30868594224263,724.0804232701239,275.6642347843864,-237.86535253944834,-7.025174864224448,17.880123828663,23.23508724938408,31.43301611345997,275.6642347843864,448.7263715129973,-302.17592227557566,322.81858308719654,183.7919581822867,-293.1599696722513,16.599233544818887,-237.86535253944834,-302.17592227557566,2912.5812578345103
4,1,0.4675150346062527,0.5324849653937468,19.925183977324615,7.238587177518552,63.849817476790655,0.11102802297579288,4.417605781713221,42.08286022104837,182.77970910559043,76.8402375676668,54.581090773474244,-57.59137021265556,-0.13196858099194014,-0.038393935875197384,-36.18699895209879,473.5853733375427,54.581090773474244,50.809711139442854,-28.149230019536596,0.1883655681971152,12.313514360939411,40.71648840399032,262.84597490264713,-57.59137021265556,-28.149230019536596,154.1041737820648,0.7995975864148229,26.64151684200913,158.03631433162354,-667.4831360583074,-0.13196858099194014,0.1883655681971152,0.7995975864148229,0.08812162177565691,1.6328715080552352,2.5630603071171527,-3.4727190311879865,-0.038393935875197384,12.313514360939411,26.64151684200913,1.6328715080552352,57.599739438207315,101.47788729528554,-94.42710576560583,-36.18699895209879,40.71648840399032,158.03631433162354,2.5630603071171527,101.47788729528554,836.3630507654327,-860.4247879979181,473.5853733375427,262.84597490264713,-667.4831360583074,-3.4727190311879865,-94.42710576560583,-860.4247879979181,5391.271989721787
