day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,7.041025641025643,-0.37179487179487186,84.31794871794874,0.16276923076923078,4.594102564102564,44.87179487179486,46.8051282051282,40.923957922419454,27.24063773833005,-2.9612491781722556,-0.18131360946745564,0.049267587113741025,45.96064431295201,78.36030243261014,27.24063773833005,25.14869165023011,-1.5240959894806059,0.10727061143984223,5.704653517422748,48.93284681130835,31.190880999342543,-2.9612491781722556,-1.5240959894806059,63.50506245890861,-0.517157396449704,1.786234056541752,-29.2530834976989,-46.18598948060485,-0.18131360946745564,0.10727061143984223,-0.517157396449704,0.12770192110453646,1.668403510848127,0.9662704142011839,-0.655416765285996,0.049267587113741025,5.704653517422748,1.786234056541752,1.668403510848127,67.4789831689678,17.192269559500332,-12.060918474687703,45.96064431295201,48.93284681130835,-29.2530834976989,0.9662704142011839,17.192269559500332,442.89228139382,-71.94523997370152,78.36030243261014,31.190880999342543,-46.18598948060485,-0.655416765285996,-12.060918474687703,-71.94523997370152,409.7522813938198
0,1,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,27.03559322033898,11.057627118644065,54.31525423728815,0.4239491525423729,3.1072881355932203,28.294915254237296,267.6355932203389,26.909750071818436,17.969982763573675,-19.592576845733984,0.05310180982476284,-4.496259408216029,-29.374564780235566,47.5389026141913,17.969982763573675,19.91972996265441,-9.958675667911516,0.15242665900603297,3.754393565067509,9.5857167480609,22.76930479747198,-19.592576845733984,-9.958675667911516,59.6707842573973,1.8883973858086753,20.80100746911807,72.18075553002011,-46.84800057454753,0.05310180982476284,0.15242665900603297,1.8883973858086753,2.94993242114335,6.062320031600116,13.480986182131572,-2.637316834243031,-4.496259408216029,3.754393565067509,20.80100746911807,6.062320031600116,42.12913162884226,83.87190146509626,-21.95325940821603,-29.374564780235566,9.5857167480609,72.18075553002011,13.480986182131572,83.87190146509626,488.8116690606148,-86.8445647802355,47.5389026141913,22.76930479747198,-46.84800057454753,-2.637316834243031,-21.95325940821603,-86.8445647802355,619.5114449870728
0,2,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,22.48510638297872,10.414893617021276,63.49574468085107,0.6351914893617022,8.33340425531915,60.45744680851063,200.08510638297875,35.69488456315076,27.277881394296067,-4.757722951561795,2.540264554096877,11.661774105930284,13.436813037573563,10.344246265278422,27.277881394296067,30.031054775916708,-2.264404708012678,2.031558850158443,20.23350248981439,29.715101856043464,-11.635097329108186,-4.757722951561795,-2.264404708012678,49.12764146672702,2.8863986871887737,21.05512086917156,16.421095518334084,-27.733893164327753,2.540264554096877,2.031558850158443,2.8863986871887737,3.3448380271616127,10.096071475780896,14.674329425079222,6.386462426437304,11.661774105930284,20.23350248981439,21.05512086917156,10.096071475780896,95.30674160253507,93.51988954277954,-22.2741620642825,13.436813037573563,29.715101856043464,16.421095518334084,14.674329425079222,93.51988954277954,358.8071253961069,-97.10425079221369,10.344246265278422,-11.635097329108186,-27.733893164327753,6.386462426437304,-22.2741620642825,-97.10425079221369,382.7038207333636
0,3,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,15.241304347826087,6.643478260869566,82.36304347826086,2.113,23.098043478260873,81.71521739130432,79.58260869565218,26.72677221172023,21.930812854442348,6.60696124763705,3.20243043478261,25.631341682419656,6.565893194706993,42.3791965973535,21.930812854442348,25.31289224952741,5.301606805293011,6.555656521739131,55.82575897920605,17.727164461247632,30.28162570888469,6.60696124763705,5.301606805293011,50.96146030245746,-1.3555652173913033,-1.1459636105860025,13.00186672967865,-19.84151228733458,3.20243043478261,6.555656521739131,-1.3555652173913033,14.45725000000001,72.33077978260869,13.83435217391304,1.288660869565214,25.631341682419656,55.82575897920605,-1.1459636105860025,72.33077978260869,632.2944026937618,71.14155151228734,57.16637901701322,6.565893194706993,17.727164461247632,13.00186672967865,13.83435217391304,71.14155151228734,118.82476843100184,-10.137778827977325,42.3791965973535,30.28162570888469,-19.84151228733458,1.288660869565214,57.16637901701322,-10.137778827977325,272.6653497164462
0,4,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,17.69722222222222,3.0777777777777775,59.52777777777778,0.0020833333333333333,1.6205555555555557,12.094444444444443,176.55,58.02193672839506,51.50354938271605,10.744799382716046,0.017591898148148148,13.502362654320986,41.08220679012345,98.61291666666669,51.50354938271605,54.545061728395055,13.988395061728395,0.017946296296296297,14.239456790123459,54.55070987654321,67.17333333333335,10.744799382716046,13.988395061728395,98.19811728395062,0.026281018518518506,19.342901234567897,18.697376543209884,-51.74722222222224,0.017591898148148148,0.017946296296296297,0.026281018518518506,9.496527777777775e-05,0.0675785648148148,0.025211574074074077,-0.0007069444444444414,13.502362654320986,14.239456790123459,19.342901234567897,0.0675785648148148,48.500344135802465,20.171003086419756,-0.6786388888888888,41.08220679012345,54.55070987654321,18.697376543209884,0.025211574074074077,20.171003086419756,144.77608024691355,-15.522222222222199,98.61291666666669,67.17333333333335,-51.74722222222224,-0.0007069444444444414,-0.6786388888888888,-15.522222222222199,369.1908333333334
0,5,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,7.512643678160916,3.0954022988505754,87.50459770114944,4.323264367816091,48.08459770114944,91.38620689655167,26.568965517241384,26.276506804069214,22.095230545646714,0.5978729026291502,14.11803688730347,39.993505086537176,6.331898533491877,43.93269124058661,22.095230545646714,21.5356110450522,1.4684119434535643,12.585582824679614,39.07980274805126,7.8936147443519555,34.20319064605628,0.5978729026291502,1.4684119434535643,31.199289205971716,7.296296485665221,26.509082309420027,0.990293301625054,-27.291351565596482,14.11803688730347,12.585582824679614,7.296296485665221,24.913456516316565,84.37340924428591,8.137382956797461,15.462158779231077,39.993505086537176,39.07980274805126,26.509082309420027,84.37340924428591,630.1150846082706,17.60251169242964,36.95294728497819,6.331898533491877,7.8936147443519555,0.990293301625054,8.137382956797461,17.60251169242964,95.56785572730875,-12.72307173999207,43.93269124058661,34.20319064605628,-27.291351565596482,15.462158779231077,36.95294728497819,-12.72307173999207,233.31179548156965
0,6,0.10684931506849316,0.16164383561643836,0.12876712328767123,0.12602739726027398,0.09863013698630137,0.23835616438356164,0.13972602739726028,17.631372549019613,8.176470588235293,74.81372549019609,1.4885490196078428,19.852941176470587,63.22941176470588,131.33333333333334,39.10019223375625,34.35211072664361,-7.318861976163016,1.3483906189926957,19.253495963091115,41.16005767012688,83.72013071895427,34.35211072664361,35.61356401384082,-8.506539792387546,2.1463442906574386,37.53281430219145,59.49931949250288,76.14058823529412,-7.318861976163016,-8.506539792387546,68.65334102268359,4.381700307574013,46.27756747404846,-42.32550173010381,-55.742026143790845,1.3483906189926957,2.1463442906574386,4.381700307574013,7.407285541714719,28.531451522491352,8.117293656286044,4.212064052287577,19.253495963091115,37.53281430219145,46.27756747404846,28.531451522491352,370.7594246828143,123.42918800461361,63.14882352941169,41.16005767012688,59.49931949250288,-42.32550173010381,8.117293656286044,123.42918800461361,416.710311418685,238.9292156862746,83.72013071895427,76.14058823529412,-55.742026143790845,4.212064052287577,63.14882352941169,238.9292156862746,439.4210457516341
1,0,0.13885424943758293,0.14458446002065783,0.11512187897943749,0.10761747724110947,0.13680877781520911,0.22948017634753662,0.12753298015846673,8.79087392071628,0.7705624252300385,83.95128140854379,0.14014654776183888,4.4310883947127495,51.51581780436528,51.36540634489002,48.6818599603152,32.979430209409124,-1.6829222224976228,-0.2984749021900878,1.1347581278069296,63.82353709328048,102.7136375803755,32.979430209409124,29.055931573669707,0.47189841572346924,-0.016940956578026446,5.559317049091387,64.95729955306581,44.80485668681236,-1.6829222224976228,0.47189841572346924,61.78064096594915,-0.33450459138143723,2.0295825886526986,-7.159974855748306,-64.87275976154667,-0.2984749021900878,-0.016940956578026446,-0.33450459138143723,0.10548357462352992,1.4505512523710309,0.4277989725531515,-1.0950371854628087,1.1347581278069296,5.559317049091387,2.0295825886526986,1.4505512523710309,51.22414943627452,27.19573265187562,-19.068182484073677,63.82353709328048,64.95729955306581,-7.159974855748306,0.4277989725531515,27.19573265187562,615.6963822168682,-96.42763909136909,102.7136375803755,44.80485668681236,-64.87275976154667,-1.0950371854628087,-19.068182484073677,-96.42763909136909,561.3620346579143
1,1,0.13885424943758293,0.14458446002065783,0.11512187897943749,0.10761747724110947,0.13680877781520911,0.22948017634753662,0.12753298015846673,26.79590663631958,10.98928888110475,54.54156954363274,0.4569952821350395,3.2482677879357946,30.62889686872389,270.4240680845278,29.44236662162744,19.72279566305267,-23.299851459926778,0.21727676459864081,-3.421668549021143,-31.3740944138837,63.28316470874588,19.72279566305267,22.11054794190183,-11.478306752702883,0.391568172107264,5.975133857275458,14.306574407755777,28.58784423364168,-23.299851459926778,-11.478306752702883,63.07889386087593,2.0912841119583856,22.60592711251913,79.26416130891668,-63.62703609704115,0.21727676459864081,0.391568172107264,2.0912841119583856,3.122011201607323,6.57113170502143,14.05304875525109,-4.5507200775693,-3.421668549021143,5.975133857275458,22.60592711251913,6.57113170502143,43.914552615131996,84.61521055502114,-32.798649926664545,-31.3740944138837,14.306574407755777,79.26416130891668,14.05304875525109,84.61521055502114,517.0997530709946,-187.1457299177721,63.28316470874588,28.58784423364168,-63.62703609704115,-4.5507200775693,-32.798649926664545,-187.1457299177721,625.028933924263
1,2,0.13885424943758293,0.14458446002065783,0.11512187897943749,0.10761747724110947,0.13680877781520911,0.22948017634753662,0.12753298015846673,21.663165749769483,9.84948679640678,63.6697396118477,0.6679504530226703,9.221567891548668,62.49267316109589,199.0161683848431,36.00849380544103,27.90049594042901,-4.0784299104465065,3.129366247559853,16.667178826721447,20.000587633717366,20.063698043707802,27.90049594042901,31.88630975532054,-1.2570087556487044,2.1026212807620452,22.001156411251632,33.76908740665704,-15.321624402361614,-4.0784299104465065,-1.2570087556487044,48.385625847932275,2.5674535327257764,18.50440379290809,12.505148439830183,-38.291751212655434,3.129366247559853,2.1026212807620452,2.5674535327257764,3.5499865218345277,9.452765456039595,12.55689680213239,9.557881024067209,16.667178826721447,22.001156411251632,18.50440379290809,9.452765456039595,89.36291571128756,63.0273228061025,-7.515566607011148,20.000587633717366,33.76908740665704,12.505148439830183,12.55689680213239,63.0273228061025,366.8954403035637,-152.59219349106095,20.063698043707802,-15.321624402361614,-38.291751212655434,9.557881024067209,-7.515566607011148,-152.59219349106095,604.0462922013917
