day,cluster0,cluster1,cluster2,weighted_mean,max
0,0.0,1.0,0.0,1.0,1
1,0.00012028718145647515,0.000589022293200058,0.9992906905253435,1.999170403343887,2
2,0.7075170154932765,0.29248298450651095,2.12515694758048e-13,0.292482984506936,0
3,0.004283358316537508,0.011636093440815353,0.9840805482426472,1.9797971899261098,2
4,0.00012942363339099561,0.003190450522434129,0.9966801258441749,1.9965507022107838,2
5,0.41828988343590373,0.5816911469463548,1.896961774145903e-05,0.5817290861818377,1
6,0.1393302642479584,7.530628611567144e-05,0.8605944294659259,1.7212641652179674,2
7,0.24492271097165705,0.0011201858856932753,0.7539571031426496,1.5090343921709926,2
8,9.28825850744301e-05,0.9999071174149257,4.0856405356819683e-20,0.9999071174149257,1
9,0.000948575925667746,0.0004474896593460072,0.9986039344149863,1.9976553584893186,2
10,0.11978760738781613,2.6989499944847784e-05,0.880185403112239,1.760397795724423,2
11,0.9999714619993092,2.853800039229263e-05,2.985636894725541e-13,2.853800098942001e-05,0
12,0.8227561400961242,6.512695832643543e-05,0.17717873294554937,0.3544225928494252,0
13,0.9753607024946577,0.0001122990295271239,0.024526998475815246,0.04916629598115762,0
14,0.8314805048787697,6.78485446597422e-05,0.16845164657657058,0.3369711416978009,0
15,4.036624581042737e-40,1.0,6.289004388663141e-282,1.0,1
16,2.6947744350441194e-99,1.0,0.0,1.0,1
17,0.3327924178483504,0.6672075821516495,2.795660780436229e-23,0.6672075821516495,1
18,0.3506354484056002,0.00012667127350229253,0.6492378803208975,1.2986024319152971,2
19,1.4730051989030218e-15,0.9999999999999986,1.7283151032295842e-118,0.9999999999999986,1
20,1.8591386731555567e-148,1.0,0.0,1.0,1
21,0.9262921680457082,9.302191274478886e-05,0.07361481004154681,0.14732264199583842,0
22,0.9993678801155131,0.0006321198844848729,2.0227690500801815e-15,0.0006321198844889185,0
23,7.247113653177045e-24,1.0,7.175419366504928e-180,1.0,1
24,0.9990707461495885,0.0009292538503492827,6.228184223673199e-14,0.0009292538504738464,0
25,0.002451324689706928,0.9975486753102931,3.746807996374071e-61,0.9975486753102931,1
26,3.604240338705715e-07,0.9999996395759662,1.8562148129464734e-96,0.9999996395759662,1
27,0.8495520124161592,0.15044798682570484,7.581359406411101e-10,0.15044798834197673,0
28,0.9987185791708011,0.0012814208291741793,2.478285691422772e-14,0.0012814208292237451,0
29,0.029884236503535104,0.9701157634964649,4.785152762003649e-25,0.9701157634964649,1
30,0.004243611298287231,0.9957563887017129,1.9121728417414027e-48,0.9957563887017129,1
31,0.9980378308797757,0.0019621691197174193,5.070252597241061e-13,0.0019621691207314697,0
32,0.9947050041749621,0.0052949958248896915,1.4823199822467468e-13,0.005294995825186156,0
33,5.317676805296944e-60,1.0,0.0,1.0,1
34,0.10121087568400298,0.014457451494242553,0.8843316728217545,1.7831207971377516,2
35,3.269073296924211e-138,1.0,0.0,1.0,1
36,0.06812059051806309,6.749103253438619e-05,0.9318119184494024,1.8636913279313392,2
37,0.0039008118726347597,0.0003197203138459831,0.9957794678135192,1.9918786559408845,2
38,0.5699152560895704,6.25282135844651e-05,0.4300222156968452,0.8601069596072748,0
39,0.2858122678259874,0.00031698259970935736,0.7138707495743032,1.4280584817483157,2
40,0.03909716657739255,0.00048807194057772565,0.9604147614820298,1.9213175949046373,2
41,0.010844924190408464,0.00035219306553818165,0.9888028827440533,1.9779579585536446,2
42,0.060622294672839826,0.0002947813870526856,0.9390829239401075,1.8784606292672676,2
43,0.038102597992043026,0.0002451839546850479,0.9616522180532718,1.9235496200612288,2
44,2.9080766268780624e-24,1.0,1.1409404050929749e-175,1.0,1
45,0.0014347795149841126,0.9985652204850158,1.6286112411362375e-34,0.9985652204850158,1
46,9.403257385394707e-66,1.0,0.0,1.0,1
47,0.7834072162615805,0.21659216567706216,6.180613573060887e-07,0.21659340179977676,0
48,0.002179236970453784,0.00026319904966862337,0.9975575639798776,1.9953783270094239,2
49,0.00024483928946888946,0.00011482520082272023,0.9996403355097083,1.9993954962202394,2
50,0.053920613595132776,0.0004793868398307259,0.9455999995650365,1.8916793859699037,2
51,0.011801544269574001,0.007745643965406857,0.9804528117650192,1.9686512674954453,2
52,0.02408320607405092,2.2041048597799343e-05,0.9758947528773512,1.9518115468033002,2
53,0.17973769215896898,3.223714794871312e-05,0.8202300706930823,1.6404923785341132,2
54,0.2204807059235841,6.681778025347302e-05,0.7794524762961624,1.5589717703725783,2
55,0.20190442601227584,0.7980955739877242,4.2986663470630866e-19,0.7980955739877242,1
56,0.9473601785676736,0.05263982129909392,1.3323247035849204e-10,0.05263982156555886,0
57,0.46970813783660625,0.0006608565995730943,0.5296310055638206,1.0599228677272143,2
58,0.17817597218495507,1.0464535529403629e-05,0.8218135632795156,1.6436375910945606,2
59,0.2040298004851976,7.050311762623696e-05,0.7958996963971762,1.5918698959119786,2
60,0.1895539846053769,2.497034528994388e-05,0.8104210450493331,1.6208670604439561,2
61,0.025529004058756626,0.0001065121723284176,0.9743644837689149,1.9488354797101584,2
62,0.002687468616091018,0.0004808498187441749,0.9968316815651648,1.9941442129490736,2
63,0.011900456122236228,3.962998224755074e-05,0.9880599138955162,1.97615945777328,2
64,0.992323628635547,0.007674990862662658,1.3805017904061884e-06,0.00767775186624347,0
65,0.9987743349410348,0.0012256650589649956,1.459448383708577e-16,0.0012256650589652874,0
66,0.09569073757246002,3.6416407301488564e-06,0.9043056207868098,1.8086148832143496,2
67,0.23598812021898388,3.465986889424047e-05,0.7639772199121219,1.527989099693138,2
68,0.19653867969451888,3.730340557377992e-05,0.8034240168999074,1.6068853372053886,2
69,0.2144786768801973,5.301716944660911e-05,0.785468305950356,1.5709896290701586,2
70,0.31076720207489095,2.6526553602662308e-05,0.6892062713715064,1.3784390692966153,2
71,0.15927767349075792,4.357150770449548e-05,0.8406787550015375,1.6814010815107796,2
72,0.04991279597475171,0.00035932149281970205,0.9497278825324286,1.8998150865576768,2
73,0.8581012554650959,0.0003285016518062958,0.1415702428830978,0.2834689874180019,0
74,0.00428220328052357,0.00669673510574503,0.9890210616137314,1.9847388583332077,2
75,0.9981542369747991,3.2196533973678265e-14,0.0018457630251687454,0.0036915260503696872,0
76,0.9908698545284648,2.851230624322085e-11,0.009130145443022935,0.018260290914558178,0
77,0.8993994091116986,1.0535303172110927e-11,0.10060059087776616,0.2012011817660676,0
78,0.7940369379831916,1.041486308759709e-09,0.20596306097532208,0.41192612299213044,0
