day,cluster,cluster0,cluster1,cluster2,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.0547945205479452,0.3506849315068493,0.5945205479452055,12.59,9.530000000000001,0.015349999999999999,27.03,9.655000000000001,1021.8950000000001,746.8599999999999,86.86489999999999,64.09129999999999,0.2044085,-45.55669999999999,1.8970499999999995,-44.95304999999992,-39.461900000000014,64.09129999999999,62.63610000000001,0.22409949999999998,-28.50739999999999,1.9363499999999996,-42.18934999999995,-9.128300000000007,0.2044085,0.22409949999999998,0.004415827500000001,0.4232545000000001,0.0052957499999999975,-0.14418324999999976,0.2170490000000001,-45.55669999999999,-28.50739999999999,0.4232545000000001,964.9640999999999,-4.633149999999998,2.475149999999953,69.28770000000002,1.8970499999999995,1.9363499999999996,0.0052957499999999975,-4.633149999999998,0.3644749999999998,-1.0787250000000077,8.197200000000004,-44.95304999999992,-42.18934999999995,-0.14418324999999976,2.475149999999953,-1.0787250000000077,57.48747499999987,37.396300000000004,-39.461900000000014,-9.128300000000007,0.2170490000000001,69.28770000000002,8.197200000000004,37.396300000000004,979.1574000000003
0,1,0.0547945205479452,0.3506849315068493,0.5945205479452055,14.89531249999999,14.34453125,3.8723671874999983,59.10781250000001,9.268749999999997,1014.3125000000003,456.1945312500002,39.47982177734375,23.343724365234372,-6.051385778808597,-84.69004150390623,2.7436035156250016,-2.576972656250026,-3.6433850097656464,23.343724365234372,62.641063842773434,7.75651880493164,-74.10917602539062,3.6060009765625005,-21.22930664062506,-44.21131896972657,-6.051385778808597,7.75651880493164,107.95809702923586,60.371620568847625,-3.1161463378906267,-36.831035839843814,-40.73363861694337,-84.69004150390623,-74.10917602539062,60.371620568847625,578.4400952148438,-15.895302734375003,-25.797832031249982,197.15191772460938,2.7436035156250016,3.6060009765625005,-3.1161463378906267,-15.895302734375003,2.046054687499997,0.7700000000000062,-13.372983398437503,-2.576972656250026,-21.22930664062506,-36.831035839843814,-25.797832031249982,0.7700000000000062,66.74718750000005,22.118193359375113,-3.6433850097656464,-44.21131896972657,-40.73363861694337,197.15191772460938,-13.372983398437503,22.118193359375113,2373.3589544677734
0,2,0.0547945205479452,0.3506849315068493,0.5945205479452055,18.38709677419354,15.884331797235026,0.7283271889400921,17.718433179723494,9.888940092165903,1018.5281105990783,537.4741935483869,64.55688419800806,31.017862345770794,-1.2555105247510039,-35.79496952579159,0.8836360933551352,-25.08889995540362,24.717961944403147,31.017862345770794,54.26463930004881,-1.6510202191594643,-29.36358215294443,0.7017621949924603,-15.905965087387731,32.70185372379962,-1.2555105247510039,-1.6510202191594643,16.333040155620203,22.139409637070234,-0.24840605873983285,-4.406988460149942,-0.8604399435112255,-35.79496952579159,-29.36358215294443,22.139409637070234,376.6646371764109,-3.0017776975514456,-24.010379918877117,-166.84150587185977,0.8836360933551352,0.7017621949924603,-0.24840605873983285,-3.0017776975514456,0.2203385079317885,-0.015864214572405045,1.763401218968338,-25.08889995540362,-15.905965087387731,-4.406988460149942,-24.010379918877117,-0.015864214572405045,38.42026970205356,-2.6511178831573456,24.717961944403147,32.70185372379962,-0.8604399435112255,-166.84150587185977,1.763401218968338,-2.6511178831573456,613.695463059313
1,0,0.05479678096919418,0.3325929551122027,0.6126102639186035,12.590712230541936,9.530294040633642,0.01534936781917868,27.029106288671294,9.655015461740328,1021.8947668534224,746.8543945172069,86.87338176960498,64.09358978856885,0.20438912602860035,-45.56993946345809,1.8972110834383398,-44.95517054335625,-39.55657068309955,64.09358978856885,62.6355258970527,0.2240857314980239,-28.512412293017924,1.9363639986544092,-42.18923952100713,-9.167601624838719,0.20438912602860035,0.2240857314980239,0.004415655087975712,0.42325076548293117,0.005295291499360234,-0.14417372739269252,0.2171258215812635,-45.56993946345809,-28.512412293017924,0.42325076548293117,964.9433137002256,-4.633262500806133,2.480021637860737,69.40574544041199,1.8972110834383398,1.9363639986544092,0.005295291499360234,-4.633262500806133,0.36446288712083685,-1.0787611981192862,8.194808843973899,-44.95517054335625,-42.18923952100713,-0.14417372739269252,2.480021637860737,-1.0787611981192862,57.48641169012441,37.42632546132875,-39.55657068309955,-9.167601624838719,0.2171258215812635,69.40574544041199,8.194808843973899,37.42632546132875,979.8779984095584
1,1,0.05479678096919418,0.3325929551122027,0.6126102639186035,14.246958587917902,14.012937868396332,5.077922534384826,62.20546201709037,9.108811433394028,1013.9761608286254,460.59515733276527,34.73201699497817,23.78421109160939,-0.3219838734900197,-66.4421826847369,3.0403813886799123,-3.099666711880993,-20.13307401843021,23.78421109160939,66.52384529698352,8.927456683564447,-57.7562964621607,4.072093402274225,-26.30558413146073,-56.985789383475144,-0.3219838734900197,8.927456683564447,132.9941282639566,39.917970935286036,-2.25110391121892,-40.96768114485201,19.252025252281555,-66.4421826847369,-57.7562964621607,39.917970935286036,493.64463790111233,-12.539865544566489,-22.11549764729167,218.9968878320154,3.0403813886799123,4.072093402274225,-2.25110391121892,-12.539865544566489,2.2843351733371655,0.06074354114718569,-18.522036012008837,-3.099666711880993,-26.30558413146073,-40.96768114485201,-22.11549764729167,0.06074354114718569,70.87076639529958,14.527826540230924,-20.13307401843021,-56.985789383475144,19.252025252281555,218.9968878320154,-18.522036012008837,14.527826540230924,2991.7270743824015
1,2,0.05479678096919418,0.3325929551122027,0.6126102639186035,18.63593155518245,16.018880373011964,0.16667210098448734,17.259066392593695,9.957456178196349,1018.5862233645173,532.684373208417,64.00543643918238,29.390141459458125,-0.8756768145970536,-29.767725511276875,0.24654294799509666,-25.959916199964365,23.684386443050414,29.390141459458125,51.84203244960801,-0.28546034881060095,-30.785265057658716,0.279324896655135,-14.224020748601555,31.54490389480517,-0.8756768145970536,-0.28546034881060095,0.5185017202163043,3.5534717773897615,-0.03823668284117493,0.07586941033321733,-2.035396210526362,-29.767725511276875,-30.785265057658716,3.5534717773897615,334.6190444124011,-1.024954832659994,-15.975702140882888,-239.0944729576538,0.24654294799509666,0.279324896655135,-0.03823668284117493,-1.024954832659994,0.02996427582508862,-0.04286608397788848,0.7348433586581488,-25.959916199964365,-14.224020748601555,0.07586941033321733,-15.975702140882888,-0.04286608397788848,35.938704855734734,8.632834796340292,23.684386443050414,31.54490389480517,-2.035396210526362,-239.0944729576538,0.7348433586581488,8.632834796340292,879.952377481736
2,0,0.05479386250881946,0.2596774603976148,0.6855286770935659,12.590026611401376,9.53003993983893,0.015350176466369927,27.030022971243106,9.655018544008254,1021.895025600863,746.8610435404526,86.86541142347595,64.09150734337233,0.20441043273355441,-45.55630578587107,1.896964213324018,-44.9533217433389,-39.46714873329242,64.09150734337233,62.63628633654546,0.22410145376657212,-28.50693418851389,1.9362479533984114,-42.18966295636215,-9.133654435773511,0.20441043273355441,0.22410145376657212,0.004415875445637389,0.42325900456159504,0.005295525068377894,-0.14418529833870936,0.21703537155677163,-45.55630578587107,-28.50693418851389,0.42325900456159504,964.973709208383,-4.633109979706901,2.4745557948815993,69.28991165254864,1.896964213324018,1.9362479533984114,0.005295525068377894,-4.633109979706901,0.36444142224097786,-1.0787357699725193,8.195400885663219,-44.9533217433389,-42.18966295636215,-0.14418529833870936,2.4745557948815993,-1.0787357699725193,57.487937622887145,37.39544290920858,-39.46714873329242,-9.133654435773511,0.21703537155677163,69.28991165254864,8.195400885663219,37.39544290920858,979.0772399511509
2,1,0.05479386250881946,0.2596774603976148,0.6855286770935659,12.97611051904289,13.24907382022826,6.6749703640917355,65.47947802054499,8.817288529446339,1013.7335847365326,460.9094775048912,25.952237290891535,20.24521193592197,7.511962321805192,-42.72014378686647,2.3987883349653436,-3.3355628394016295,-21.07105618651394,20.24521193592197,61.5899930494678,16.11467186908064,-35.07715171305743,4.502297492117248,-29.148557440692315,-74.70398208848438,7.511962321805192,16.11467186908064,159.85300392763145,26.49167922437601,-0.8743428212644294,-49.609555044503765,33.0825522288754,-42.72014378686647,-35.07715171305743,26.49167922437601,451.6421977821257,-11.384663800495671,-40.24012937128584,192.19578485973602,2.3987883349653436,4.502297492117248,-0.8743428212644294,-11.384663800495671,2.595032345712272,-0.34851353054933604,-26.00228729250256,-3.3355628394016295,-29.148557440692315,-49.609555044503765,-40.24012937128584,-0.34851353054933604,84.35927418176189,21.16831011117267,-21.07105618651394,-74.70398208848438,33.0825522288754,192.19578485973602,-26.00228729250256,21.16831011117267,3816.15490119937
2,2,0.05479386250881946,0.2596774603976148,0.6855286770935659,18.6505281566112,16.0948640251139,0.08409122966118919,20.799514629865236,9.977618025325294,1018.1877601375686,524.8980002082616,61.429035990887805,28.466439928593122,-0.28755994704393434,-35.03252134950973,0.14909791866574193,-24.02046954434497,19.118492787553297,28.466439928593122,54.312832635725705,0.02706226721313449,-35.66326677814589,0.14791084845619235,-15.006680157604,24.282353908767927,-0.28755994704393434,0.02706226721313449,0.085360947360387,1.0163389192053207,-0.004672868708575309,-0.070323883886405,-0.4749963932881678,-35.03252134950973,-35.66326677814589,1.0163389192053207,454.23772787356165,-0.43841718914319966,-20.243197195991492,-413.6237646612881,0.14909791866574193,0.14791084845619235,-0.004672868708575309,-0.43841718914319966,0.008634789799562358,-0.06651281759712575,0.3591122766790824,-24.02046954434497,-15.006680157604,-0.070323883886405,-20.243197195991492,-0.06651281759712575,35.77690327003235,32.943479313524044,19.118492787553297,24.282353908767927,-0.4749963932881678,-413.6237646612881,0.3591122766790824,32.943479313524044,1301.5678561197894
3,0,0.054783678997924364,0.2409039075267407,0.7043124134753346,12.58860611965925,9.52926161210206,0.015353017278979047,27.033272198532096,9.655085417327046,1021.8962097803561,746.8749233979397,86.85711828209227,64.08657291527076,0.20447007454502603,-45.51732119719647,1.8961469915414546,-44.94619672560519,-39.39435746837722,64.08657291527076,62.63590305849427,0.22415488121316196,-28.48045087263425,1.9355363983286276,-42.18736781940133,-9.098404862353204,0.20447007454502603,0.22415488121316196,0.004416649074674373,0.42328745216328645,0.0052954788188924375,-0.14423016381100842,0.2168624790868632,-45.51732119719647,-28.48045087263425,0.42328745216328645,965.0583079433594,-4.632343332944238,2.443540079486143,69.10377009962762,1.8961469915414546,1.9355363983286276,0.0052954788188924375,-4.632343332944238,0.3642761301170388,-1.0785665378804932,8.18866912581633,-44.94619672560519,-42.18736781940133,-0.14423016381100842,2.443540079486143,-1.0785665378804932,57.48800615430128,37.3265445541851,-39.39435746837722,-9.098404862353204,0.2168624790868632,69.10377009962762,8.18866912581633,37.3265445541851,978.167108555573
3,1,0.054783678997924364,0.2409039075267407,0.7043124134753346,12.508027971896794,13.049964106031727,7.283456940090574,63.34756599055568,8.694738987525515,1013.8993367892273,466.2939395425568,23.705731397531416,19.035657986136734,11.75304753992594,-27.645166857768213,2.0153401771291897,-6.400925614425431,5.727970906549054,19.035657986136734,58.53752790161265,19.355753641419206,-17.260773349508742,4.717402242889735,-27.455893598770704,-70.69562699859655,11.75304753992594,19.355753641419206,167.46186903791022,41.7214573555079,0.03986543893802431,-54.23155660306675,1.7598226716497087,-27.645166857768213,-17.260773349508742,41.7214573555079,494.2844030748757,-14.055825608494482,-76.44627037891179,-64.2942216875419,2.0153401771291897,4.717402242889735,0.03986543893802431,-14.055825608494482,2.619495087147082,-0.4655459016990442,-22.590374634856772,-6.400925614425431,-27.455893598770704,-54.23155660306675,-76.44627037891179,-0.4655459016990442,89.98085228620533,60.326991139492485,5.727970906549054,-70.69562699859655,1.7598226716497087,-64.2942216875419,-22.590374634856772,60.326991139492485,4193.837719550801
