day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.2,0.2,0.2,0.2,0.2,27.9,19.4,74.0,0.199,4.17,42.0,509.7,6.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,1,0.2,0.2,0.2,0.2,0.2,21.0,2.8,48.4,0.0,0.0,0.0,547.2,6.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,2,0.2,0.2,0.2,0.2,0.2,14.8,9.2,81.4,0.0,0.0,78.1,427.0,6.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,3,0.2,0.2,0.2,0.2,0.2,21.9,10.8,85.8,0.0,0.0,39.0,530.9,6.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
0,4,0.2,0.2,0.2,0.2,0.2,21.3,8.4,76.3,0.0,0.0,21.8,546.7,6.739999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0600000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3340000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.38
1,0,0.17908337107310154,0.20712875558887525,0.2174266238749917,0.158432954401575,0.23792829506145646,29.404600650319342,18.92334233310775,71.66967685436984,1.2292216982484734,3.4669972098588584,30.001980777925944,490.6064809185556,34.651641270489456,19.35683669080149,-19.724247302636734,-3.2531430475392296,-7.631182154853018,-64.36259602910542,51.698584811668596,19.35683669080149,14.449309242681041,-8.45923361530512,-2.859672256286949,-2.6032291375709984,-32.502313878598514,22.472951956557747,-19.724247302636734,-8.45923361530512,92.89781271523646,12.623099407693768,7.6500097185582705,60.236649867555634,-95.09661905760439,-3.2531430475392296,-2.859672256286949,12.623099407693768,23.23675890599934,4.2250085293705535,2.997281573884911,-2.543649370813187,-7.631182154853018,-2.6032291375709984,7.6500097185582705,4.2250085293705535,14.885425145246385,16.602314282631024,-4.603773458397946,-64.36259602910542,-32.502313878598514,60.236649867555634,2.997281573884911,16.602314282631024,279.00978861013016,-42.79760973727187,51.698584811668596,22.472951956557747,-95.09661905760439,-2.543649370813187,-4.603773458397946,-42.79760973727187,1166.7517673701343
1,1,0.17908337107310154,0.20712875558887525,0.2174266238749917,0.158432954401575,0.23792829506145646,25.351987785346225,11.620079465023732,52.70804938861526,0.06280239362863271,0.8069690567144027,3.235242381548811,559.2327681023248,100.44241187916805,74.02587449462979,-7.533949019888223,-0.4951410952750503,-5.044786831821675,3.6547304883740463,37.82097712821371,74.02587449462979,65.71415695895973,-11.28018724324309,-0.40291708147234095,-2.916622407183466,7.6171091233355295,25.096355321682285,-7.533949019888223,-11.28018724324309,46.93667963750783,0.2958172421177748,2.110484452741452,-0.9304561503248927,-10.868777067020241,-0.4951410952750503,-0.40291708147234095,0.2958172421177748,0.06243683932690204,0.2353621599754291,0.201517739332643,-0.4742980261909876,-5.044786831821675,-2.916622407183466,2.110484452741452,0.2353621599754291,3.630572481448824,0.41834877498964224,-14.315155938487356,3.6547304883740463,7.6171091233355295,-0.9304561503248927,0.201517739332643,0.41834877498964224,20.222022867042966,-29.587591711211083,37.82097712821371,25.096355321682285,-10.868777067020241,-0.4742980261909876,-14.315155938487356,-29.587591711211083,2821.4466831458017
1,2,0.17908337107310154,0.20712875558887525,0.2174266238749917,0.158432954401575,0.23792829506145646,15.064593252980819,9.425095538383417,90.25213376094226,5.738789641746372,7.424660642739936,72.88057910028569,448.036054431171,22.72597377246855,18.07908373469578,-7.294190038343796,-0.3895137367846745,-3.691790174093669,-22.287934026913135,-59.249521177978735,18.07908373469578,18.661617471195516,1.5019133864677343,7.379619251498035,2.2783272347135264,0.9120999524289936,-6.3563077688899075,-7.294190038343796,1.5019133864677343,83.1347818030862,25.92898495767498,21.420467353080245,91.90498349463866,265.7053958958155,-0.3895137367846745,7.379619251498035,25.92898495767498,161.42211854587407,38.82490911513935,35.45156446010658,-8.544818672721355,-3.691790174093669,2.2783272347135264,21.420467353080245,38.82490911513935,29.91693464938272,31.676348172109915,38.82839681361885,-22.287934026913135,0.9120999524289936,91.90498349463866,35.45156446010658,31.676348172109915,243.15572576011357,520.7160902736554,-59.249521177978735,-6.3563077688899075,265.7053958958155,-8.544818672721355,38.82839681361885,520.7160902736554,3403.756989971855
1,3,0.17908337107310154,0.20712875558887525,0.2174266238749917,0.158432954401575,0.23792829506145646,17.301343279442058,8.419629003650634,87.09315764699416,1.5899138506253896,2.911702895341189,49.98859634585137,534.0258339571521,24.040464106264437,17.866641890381384,-1.6594010095661231,-1.3114948062524512,-5.637243380536424,-24.5320694733026,-94.5268342346608,17.866641890381384,18.613476439582882,-0.05787919185614496,3.0031271232219034,-1.1992466427552826,-2.4301256629664065,-69.69292550661734,-1.6594010095661231,-0.05787919185614496,57.78070858764421,4.039469644257638,4.582395984087427,32.05193607419229,58.84579008575522,-1.3114948062524512,3.0031271232219034,4.039469644257638,24.351828699578718,11.60427711203729,18.078753690314613,-4.806350494069788,-5.637243380536424,-1.1992466427552826,4.582395984087427,11.60427711203729,18.29794300203755,19.05417700507907,-30.506852346339368,-24.5320694733026,-2.4301256629664065,32.05193607419229,18.078753690314613,19.05417700507907,265.15202917551653,509.08559221747265,-94.5268342346608,-69.69292550661734,58.84579008575522,-4.806350494069788,-30.506852346339368,509.08559221747265,4291.218148827063
1,4,0.17908337107310154,0.20712875558887525,0.2174266238749917,0.158432954401575,0.23792829506145646,23.71792331040507,11.028918443312293,72.95218856889821,0.24808165230594117,1.15984441829142,12.332710660094396,566.2585380063229,70.05101312200239,59.710497522220116,-35.50682068554123,1.986516657278239,2.2118655203100683,-18.513555487917845,-94.4590398065308,59.710497522220116,57.201587469244004,-31.033065883365975,1.3979651338121726,3.206047024041938,-1.6219327651559152,-66.51609258613142,-35.50682068554123,-31.033065883365975,77.37248412919725,1.4190568189134263,2.3466311614319837,0.06216002657807205,204.20072003175773,1.986516657278239,1.3979651338121726,1.4190568189134263,9.106838641062382,1.7405381641455517,1.1097240617429014,-4.244013823216539,2.2118655203100683,3.206047024041938,2.3466311614319837,1.7405381641455517,5.68460817129078,5.294414054750416,17.156028537064177,-18.513555487917845,-1.6219327651559152,0.06216002657807205,1.1097240617429014,5.294414054750416,135.22796444129426,68.6560445116721,-94.4590398065308,-66.51609258613142,204.20072003175773,-4.244013823216539,17.156028537064177,68.6560445116721,5576.974911408722
