day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,weighted_mean,max
24,0.0,4.198947623914337e-09,0.9999999958007671,0.0,2.690323377435065e-13,1.6241834864342925e-14,1.9999999958016392,2
25,0.0,6.910968804413493e-21,1.0,0.0,3.4472322246860865e-30,1.4637436717390094e-23,2.0,2
26,0.0,3.7909254477569432e-25,1.0,0.0,4.5364664033495856e-35,1.0302168283208074e-20,2.0,2
27,1.1280571675324878e-234,0.0003244576452501981,0.9996750498813262,0.0,4.3262621436485447e-07,5.984720936277759e-08,1.9996765871488067,2
28,0.0,2.5745507842621177e-09,0.9999999974249021,0.0,5.257312566080901e-13,2.135666211989522e-14,1.9999999974265648,2
29,0.0,4.632121153199917e-16,0.9999999999999996,0.0,1.5131025260718054e-19,1.902061397105939e-20,1.9999999999999996,2
30,3.1544933082021314e-186,7.77784053590718e-19,1.0,0.0,3.157687165061814e-25,5.536825846384473e-17,2.0000000000000004,2
31,0.0,9.280912218372906e-10,0.9999999990612342,0.0,5.340263708323598e-12,5.3345722207358585e-12,1.9999999990985935,2
32,0.0,5.543961665632416e-10,0.9999999993501455,0.0,3.1357571939312545e-12,9.232255563785774e-11,1.999999999728843,2
33,0.0,9.275780761145303e-69,1.3596068031289927e-19,0.0,3.649230933471707e-57,1.0,5.0,5
34,0.0,0.999483250824726,5.207239879319958e-107,1.1003938449880079e-194,0.00039235097373572104,0.00012439820153830664,1.0016746457273604,1
35,0.0,1.8937131740427813e-196,1.1998167814439542e-140,1.2864018032114035e-274,5.868850684275917e-101,1.0,5.0,5
36,4.3393262126405134e-117,0.9996540859310635,3.1339608085980834e-59,0.0,2.384969105175565e-06,0.00034352909983123727,1.0013812713066403,1
37,1.766679178745525e-31,0.0863208310273322,6.324445140162123e-67,0.0,0.3616784881445892,0.5520006808280785,4.293038187746081,5
38,1.4786776149671846e-251,0.9993131008617216,2.6842816835030156e-55,0.0,4.837895635146144e-09,0.0006868943003827924,1.0027475917152182,1
39,1.5450018044297245e-201,0.9992870319377246,3.9343135012964716e-55,0.0,2.6065351813408865e-07,0.0007127074087572762,1.0028516115955834,1
40,1.3489231033328517e-143,0.9991264155086685,2.1529937408807791e-57,0.0,6.817732579125545e-06,0.0008667667587523808,1.003487520232747,1
41,7.464434345780319e-191,0.9992004339540552,6.774428741687339e-64,0.0,1.2213569371830008e-05,0.0007873524765730436,1.0031860506144077,1
42,9.122805866392801e-113,0.9996183523256532,6.572677338984932e-49,0.0,1.738859668582358e-05,0.0003642590776608915,1.001509202100701,1
43,3.2081613148683637e-101,0.9994011434857588,2.8036905071716396e-62,0.0,5.122294988864986e-06,0.0005937342192522702,1.0023903037619757,1
44,3.0861265743147674e-96,0.0,0.0,5.9482936134676505e-201,2.90503616158159e-18,1.0,5.0,5
45,5.672537348341008e-265,0.0,0.0,4.636964837202979e-153,0.394073909704009,0.605926090295991,4.605926090295991,5
46,0.0,3.4969486998143016e-76,4.517632500093338e-66,0.0,9.266468812651827e-52,1.0,5.0,5
47,1.6017044980316875e-199,0.9843401792330918,1.0584378348853818e-88,0.0,0.009111932284166223,0.006547888482742078,1.053527350783467,1
48,2.938238520472663e-259,0.9996419266922879,8.763118154656411e-85,0.0,0.00015373612321805213,0.00020433718449406712,1.0012785571076304,1
49,0.0,0.9997188094059835,1.3134643362003763e-88,5.711646261278468e-82,0.0002587848928575278,2.240570115908303e-05,1.000865977483209,1
50,4.655417260013653e-43,0.9996426964309841,6.912756012548548e-41,0.0,0.00026863642306932555,8.866714594665089e-05,1.0011605778529948,1
51,1.898178661834861e-158,0.0,0.0,8.236599247561462e-163,0.8826936983091894,0.11730630169081056,4.11730630169081,4
52,2.955832317354227e-284,0.9998452810915592,1.7767587384009992e-50,0.0,5.079713010652504e-06,0.00014963919543019372,1.0006137959207528,1
53,1.5681479202666094e-180,0.9998306338072798,3.4401441245372215e-51,0.0,1.5063811946899572e-07,0.00016921555460066334,1.000677314132761,1
54,1.180099707275317e-148,0.999850809781492,2.2809200411367683e-61,0.0,3.084768602250693e-07,0.00014888174164769146,1.0005964523971713,1
55,2.9243564725928626e-133,9.924863105707299e-56,1.1494576187065552e-126,1.3014552704324682e-37,0.030937061406401373,0.9690629385935987,4.9690629385935985,5
56,1.9958545711258912e-35,0.0,0.0,0.0,0.33862693303579766,0.6613730669642023,4.661373066964202,5
