day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,23.2,11.6,81.3,0.0,0.0,65.3,520.5,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,32.3,17.6,65.2,0.0,0.0,4.4,545.2,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,2,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,29.5,20.5,74.5,0.014,4.17,40.4,374.4,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,3,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,18.3,10.3,89.2,1.081,4.17,60.4,462.6,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,20.5,2.6,40.7,0.0,0.0,0.0,573.2,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,23.3,12.1,90.0,0.0,0.0,17.1,508.6,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
0,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,14.8,9.2,81.4,0.0,0.0,78.1,427.0,4.814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.328571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.822857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.471428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.98571428571428
1,0,0.11444591591808669,0.3065359770724165,0.047154007692207664,0.20570300774554162,0.13043620708093065,0.1497287408124455,0.045996143678371446,18.949943145850632,10.993207121661158,82.9296364056705,1.7183500037901487,2.9397366736691186,59.13723232921004,546.2855999404418,30.944424194550237,23.900225705179132,-12.20309199395851,-2.9609645614674047,0.024671763244303875,-38.069014240366926,-209.7405805381603,23.900225705179132,24.199387776953067,-7.229414700768767,0.5805410993787778,3.3758110786384776,-18.303528911978194,-217.11733054505393,-12.20309199395851,-7.229414700768767,111.15350905348822,9.25841791784716,2.3896327681283944,67.35754118113445,202.3767630209731,-2.9609645614674047,0.5805410993787778,9.25841791784716,30.154821169980114,11.645049588693043,3.152188908686883,-21.28005366152553,0.024671763244303875,3.3758110786384776,2.3896327681283944,11.645049588693043,17.127743884428963,-1.0548007630300669,-60.67084828047845,-38.069014240366926,-18.303528911978194,67.35754118113445,3.152188908686883,-1.0548007630300669,217.09697557843563,358.43877376669656,-209.7405805381603,-217.11733054505393,202.3767630209731,-21.28005366152553,-60.67084828047845,358.43877376669656,6019.538235425987
1,1,0.11444591591808669,0.3065359770724165,0.047154007692207664,0.20570300774554162,0.13043620708093065,0.1497287408124455,0.045996143678371446,32.03285661437544,18.20720681093141,62.874373087439544,0.4191862249315246,1.2344180741729125,10.321498363758002,550.0236731437461,24.043151589149172,17.672559222299398,-19.15342669964879,0.41971456309335503,1.033772019612302,-10.152281678055783,-14.078809113551687,17.672559222299398,19.42101190067436,-10.478089440785332,-0.19818173724599486,2.8345666586901914,4.130932688047643,-11.968434475140077,-19.15342669964879,-10.478089440785332,97.80027388859284,5.974601303416448,4.969887474378885,26.21565750454861,119.88015973480965,0.41971456309335503,-0.19818173724599486,5.974601303416448,14.903129787558646,2.780084002815439,2.989410369305477,-1.643010623977346,1.033772019612302,2.8345666586901914,4.969887474378885,2.780084002815439,5.500908115961301,7.573495742751598,15.31258433662421,-10.152281678055783,4.130932688047643,26.21565750454861,2.989410369305477,7.573495742751598,109.04181532479487,53.52519671738559,-14.078809113551687,-11.968434475140077,119.88015973480965,-1.643010623977346,15.31258433662421,53.52519671738559,2769.7164166072694
1,2,0.11444591591808669,0.3065359770724165,0.047154007692207664,0.20570300774554162,0.13043620708093065,0.1497287408124455,0.045996143678371446,24.446009726678742,15.048285218536625,72.48918314276412,0.3153128536937498,3.2160095285290535,34.044586251019275,386.9063311653706,60.799303268202834,49.306551400332424,11.14607252636315,0.0005168605526263209,6.290728262644529,-24.100124218860476,373.2522570184812,49.306551400332424,43.6278997968944,13.380056271194091,0.6222607183992315,7.422819022885191,-7.355345854659769,335.95769652167644,11.14607252636315,13.380056271194091,125.07826831576764,4.354832545609448,12.148177504191603,29.85145454760943,-121.62549626420268,0.0005168605526263209,0.6222607183992315,4.354832545609448,1.134869065668347,2.045987716144493,3.7288327093352382,3.107365574580194,6.290728262644529,7.422819022885191,12.148177504191603,2.045987716144493,13.241865937124006,19.230731814818945,25.700706339342354,-24.100124218860476,-7.355345854659769,29.85145454760943,3.7288327093352382,19.230731814818945,174.85184692034724,-52.70750125859638,373.2522570184812,335.95769652167644,-121.62549626420268,3.107365574580194,25.700706339342354,-52.70750125859638,4251.689257094036
