day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,weighted_mean,max
0,3.894180346753e-193,7.448791327084038e-06,0.29863020365570236,1.2560358286445822e-06,3.590639546454641e-08,0.7013610556107465,4.104077045889532,5
1,1.8525240548321962e-190,2.0902842039341966e-06,0.28296011099498664,2.5659722186740293e-06,4.430572952402172e-06,0.7170308021756383,4.151101743360834,5
2,4.936692340724127e-236,0.9970431465565849,0.0,0.0029568534433875066,2.7597603317344315e-14,0.0,1.0059137068868578,1
3,0.0,0.9999999987955935,0.0,1.2044063573402703e-09,1.00335572419412e-30,0.0,1.0000000024088127,1
4,5.868372431329436e-128,0.006828077386962212,0.0,0.9931719225957151,1.7322697318304742e-11,0.0,2.986343845243398,3
5,1.912243078723904e-68,4.022301690676882e-12,0.0,0.9994745198734709,4.3889412444947245e-13,0.0005254801220679733,3.0010509602365305,3
6,5.586842278056968e-44,0.6495009508554505,0.0,0.3504989169405697,1.322039798182828e-07,6.641489605133496e-144,1.7009982304930789,1
7,2.7263457258589356e-81,0.0021150610094059392,0.0,0.997884938990594,5.68842103727997e-29,0.0,2.995769877981188,3
8,2.906415605119194e-147,0.9332730827577674,0.0,0.06672691724223258,2.982155525402897e-17,0.0,1.1334538344844654,1
9,5.800736450920212e-219,0.00010458623582125344,0.0,1.6650661269871534e-05,1.9393756593303897e-24,0.9998787631029088,4.999548353734175,5
10,8.199627153585211e-166,6.589713411859736e-13,0.41497899146706363,3.768921276070293e-05,1.5337830635422443e-22,0.5849833193195166,3.7549876471706516,5
11,4.53166383435206e-136,4.353783111603169e-12,0.8129759022609371,0.00017034482880824952,9.040291656977837e-16,0.18685375290589995,2.5607316035421563,2
12,2.967033392796436e-162,5.109781976473977e-29,0.474857463569096,3.32503281432978e-05,1.5527342085118893e-41,0.5251092861027606,3.575361108636425,5
13,1.5295940988076153e-176,1.8199171470690385e-26,0.5121534892249106,1.5828598084012113e-05,4.188753793136142e-18,0.48783068217700554,3.4635078751291006,2
14,2.4229060333208576e-202,8.51239157933411e-16,0.3645897708460577,1.5385702493462303e-05,6.653135720642086e-16,0.6353948434514475,3.9061999160568366,5
15,3.6309676202302677e-178,0.0020937736094401973,0.0,1.0194502522700492e-05,1.1316217889895454e-30,0.9978960318880371,4.991604516557194,5
16,6.718651248789843e-47,0.9937527573832927,0.0,0.0062472426167072305,4.784735753017597e-23,8.361897070058919e-52,1.0124944852334143,1
17,2.0346570219148009e-44,0.0001611936304167428,0.0,0.5400447857122453,1.514903661525661e-26,0.4597940206573379,3.9192656540538415,3
18,6.669696170009922e-127,1.2683820092551012e-10,0.8201143995634367,0.0001406440364174778,4.087207246167469e-33,0.17974495627330772,2.5393755127295026,2
19,1.734180709610741e-61,0.9783432627895869,0.0,0.02165673705747828,1.5293475737680448e-10,2.7524309194330444e-274,1.043313474573761,1
20,5.2780486610432584e-151,0.9846856551797558,0.0,0.015314344820244146,3.2499317335811184e-20,7.151921387220926e-80,1.0306286896404881,1
21,2.3280925055755185e-170,0.9996620359776337,0.0,0.00033796402236632196,1.8068903984261165e-19,0.0,1.0006759280447326,1
22,1.1290236867142659e-66,0.13664854648619915,0.0,0.0011176206357095789,2.046981365897549e-22,0.8622338328780912,4.451170572783784,5
23,1.2051592964153738e-169,1.0859457262916337e-13,0.5150667552485426,3.590746067307421e-05,5.0482179908700956e-36,0.4848973372906757,3.4547279193325915,2
24,3.2595420296091216e-268,3.694135222242457e-30,0.23036211726333247,2.936916550430051e-06,7.881764237465831e-60,0.769634945820117,4.308907774376902,5
25,1.2493288240448554e-230,2.6209870570296634e-11,0.33750052218174115,1.3327262846220358e-05,2.5517752233429093e-68,0.6624861505292028,3.987471778824245,5
26,3.2450136080539016e-95,0.10869315859540024,0.0,0.0035434740774987726,4.735045306914577e-11,0.8877633672797505,4.558140417416051,5
27,2.1215270374937509e-23,0.9724579175306491,0.0,0.02752894254482628,4.2365980882959425e-12,1.3139920287973535e-05,1.0551104447835142,1
28,2.5321614473322948e-135,0.0038218411555940674,0.0,7.265709945696472e-06,3.1929484022990084e-23,0.9961708931344602,4.984698103957732,5
29,2.0661040692764858e-39,5.470843001406408e-05,0.0,0.9999452915699859,2.3531606734910568e-17,1.1583531344948033e-92,2.999890583139972,3
30,2.7198826908028192e-123,0.996724411272013,0.0,0.003275588727220249,7.667804435215794e-13,0.0,1.0065511774567408,1
31,3.78028821865963e-162,0.9993105555282832,0.0,0.0006894444432935564,2.842334371474979e-11,0.0,1.0013788889718571,1
32,8.643502253698502e-117,0.9670285374126031,0.0,0.03297146219258086,3.948161291662666e-10,1.0662752405727467e-36,1.0659429255696102,1
33,2.563572816772447e-173,3.1764469301515184e-07,0.0,2.921379056040341e-05,8.064885666178452e-13,0.99997046856394,4.999940301839301,5
34,1.6146675826036464e-22,0.8178735967948684,0.0,0.008791138775159722,1.9618575637588106e-17,0.17333526442997188,1.7109233352702071,1
35,1.5488540034051992e-39,1.9329067799150305e-06,0.0,0.9999980670932035,1.6505187687081717e-14,4.745431935362676e-148,2.9999961341864565,3
36,3.580995415081533e-198,0.9986101578850116,0.0,0.0013898421149882542,8.735907998324911e-21,0.0,1.0027796842299763,1
37,2.5704509788627333e-73,0.00023320600307535292,0.0,0.9997667939961572,7.674064756859761e-13,0.0,2.9995335879946166,3
38,2.2678369290638747e-32,0.9795540142209114,0.0,0.02044598338876882,2.390318209372236e-09,1.5011375368390507e-15,1.0408919739484983,1
39,6.020275418511437e-116,7.519368955059514e-11,0.6828844227890409,7.62410092924139e-05,2.6428241437520863e-05,0.3170129078850355,2.9511678210720804,2
40,5.569266720714925e-114,8.071523427422026e-10,0.7810460737190964,0.00010143716749977521,8.411720285633308e-13,0.21885248830541018,2.65665890127826,2
41,8.387081136872892e-103,0.9880314122406494,0.0,0.011968587072181847,6.871686948022606e-10,8.899150289974144e-63,1.0239371762058698,1
42,4.323982867275696e-80,2.614735649352746e-15,0.9989487910283905,0.00021508566694383868,4.674677362658043e-27,0.0008361233046630202,2.0027234555809303,2
43,1.0486331106731705e-49,1.1423909665451967e-22,0.9998539646820567,0.0001357297787283123,2.697023027162501e-66,1.0305539215094745e-05,2.0001666463963734,2
44,8.538683254883031e-42,2.2838882875862275e-09,0.9998445629327024,0.00015543475650812167,8.447157530135516e-27,2.6901244294776778e-11,2.0001554325533237,2
45,6.00297612591327e-57,0.9495501742627533,0.0,0.05043635707565178,1.3468661595019863e-05,9.892362540683241e-250,1.1009131201360887,1
46,5.07108729499738e-272,0.9993108046076055,0.0,0.0006891953923945332,1.1550834044083467e-20,0.0,1.001378390784789,1
47,0.0,0.9998306387883215,0.0,0.00016936121167823148,3.808892423952944e-16,0.0,1.0003387224233578,1
48,3.267370806523287e-60,0.28992995065621685,0.0,0.7100700493437831,2.680287114465828e-17,1.0508125539997321e-65,2.420140098687566,3
49,2.128579274672165e-23,9.310196014588367e-11,0.9999020283978951,9.797125287083956e-05,3.451982004594081e-11,2.2161212083459275e-10,2.000097971893645,2
50,2.724677951655096e-136,0.9907671281463474,0.0,0.009232871853652564,7.084572104524445e-17,1.0718655346519955e-77,1.0184657437073052,1
51,4.642175117594774e-279,0.9939204721580229,0.0,0.006079527723431044,1.185460205581187e-10,0.0,1.0121590558025,1
52,8.363496839648613e-38,0.7888072687570905,0.0,0.2109630545648173,6.334293449235981e-05,0.00016633374359973607,1.4227814729075106,1
53,1.202296885306251e-26,1.4909912121068562e-15,0.0,0.9999999999999984,2.615159927084958e-27,1.8280122234515963e-109,2.999999999999997,3
54,9.479935145398236e-24,1.4907942907749898e-10,0.0,0.9999999998509205,9.941203402529771e-88,4.513605884658745e-81,2.9999999997018407,3
55,2.2246179550449696e-21,0.0021388759016147812,0.0,0.9964733906028344,0.001387733495550874,9.714907070894074e-68,2.9971099816923212,3
56,5.218201247651816e-118,1.520211590068013e-07,0.760928086288085,0.00013511518893246708,7.978754777370941e-06,0.23892866774704624,2.7169369239184666,2
57,4.661285505428429e-44,8.500205366923753e-27,0.9998659250091227,0.0001289457617831043,1.362865998060738e-25,5.129229094072937e-06,2.0001443334490654,2
58,1.3512015542982801e-48,1.9520792378708538e-32,0.9999885799022906,1.1420051669817177e-05,1.0129302783062e-85,4.603953625441813e-11,2.0000114201897885,2
59,4.34174270461592e-51,8.4206412924604e-29,0.9999959620874271,4.037912565841467e-06,3.527611883431084e-94,6.953524999450728e-15,2.0000040379125865,2
60,2.9380847056784996e-32,1.0761352533849225e-10,0.9998033837553034,0.00019610963374848447,2.4265948786205756e-62,5.065033344620307e-07,2.0001976290361383,2
61,2.674463149936154e-49,4.731392744216103e-33,0.9999951027498187,4.8972500523283525e-06,9.822117693340229e-150,1.2890236881511408e-13,2.000004897250439,2
62,3.851372619312048e-42,1.6641195548988482e-30,0.999957933034411,4.206493736043817e-05,5.3513021102479585e-71,2.028228641395913e-09,2.0000420710220466,2
63,7.226276877423421e-39,4.1601810247395564e-11,0.9998168033568688,0.00018233017840956034,4.782567300350602e-27,8.664231197824349e-07,2.000184929406167,2
64,9.335509017245808e-36,1.3811214872987085e-12,0.9999367385653619,6.325952628295184e-05,1.7139663171700455e-10,1.7355774231542847e-09,2.0000632650744277,2
65,4.217195660294687e-43,8.830347489693862e-29,0.9999900649447903,9.935055148030362e-06,1.089222673499264e-46,6.174277728469805e-14,2.000009935055333,2
66,2.637627208284588e-41,9.390899115706034e-36,0.9999953535460298,4.646453934346245e-06,2.8191013790949935e-171,3.589309061153744e-14,2.000004646454042,2
67,1.6303261705277352e-53,2.9746125487833588e-36,0.9999965744823189,3.4255176780438636e-06,2.054769558035554e-226,3.0227132600448996e-15,2.0000034255176873,2
68,6.728658936716462e-62,4.677327247973351e-38,0.9999975130107055,2.4869892910371774e-06,4.456177300209373e-210,3.3140191382295874e-15,2.0000024869893007,2
69,1.4674504805571201e-164,1.6346616187674757e-37,0.9999999880334384,1.1966561598848493e-08,6.956336547452726e-134,3.256685909852142e-25,2.0000000119665615,2
70,8.27940163810505e-162,3.958813807058084e-27,0.9999999897750221,1.0224977954016544e-08,2.112893822291138e-199,6.715025903013444e-28,2.000000010224978,2
71,3.15523759625829e-180,5.012868960732165e-37,0.9999999682765456,3.172345442797202e-08,5.182186784944343e-237,1.4943580380215198e-24,2.0000000317234545,2
72,6.802694974537595e-60,6.351769070478857e-07,0.0,0.9999993648230929,7.174434146007419e-58,1.7657270571664794e-114,2.999998729646186,3
73,3.0205955666602514e-39,1.0614788050745968e-05,0.0,0.9999893852119494,4.458550517828537e-37,0.0,2.999978770423899,3
74,3.265805197096561e-96,2.3626632518847e-17,0.999318077475663,0.00014035852084952482,1.3869951188047052e-44,0.0005415640034874613,2.0017650505313123,2
75,3.844795911081076e-47,0.00042063871815056113,0.9928001998941466,0.00023998281810493457,2.2051187136044512e-07,0.006538958057726312,2.0194366592968755,2
76,5.338946098722774e-71,3.622713012971068e-10,0.9973026551053639,0.0003774814307082866,1.6454763773119933e-05,0.002303408337883477,2.0073206156096335,2
77,7.47130756427637e-34,8.625978799376022e-12,0.0,0.999999999991374,1.953015294435855e-21,2.1093005127428358e-23,2.999999999982748,3
78,3.714399120199399e-83,5.020762661617018e-31,0.9999955286214308,4.471378568809435e-06,9.105488894896462e-61,3.1644556359916827e-16,2.0000044713785696,2
79,2.712088235759311e-84,4.4980267168715225e-35,0.9999983436967032,1.656303296701252e-06,4.159634739965337e-164,1.3256292773663798e-16,2.0000016563032967,2
80,2.6809264967908724e-97,4.708650436551936e-40,0.9999989522384829,1.0477615171028794e-06,1.8471496629168176e-253,1.169913219292028e-17,2.000001047761517,2
81,2.977394879517353e-91,2.402682340805423e-41,0.9999978625891218,2.1374108778527174e-06,9.785873141449236e-274,3.2512428553796775e-16,2.000002137410879,2
82,1.530424288394957e-77,4.013441799145459e-41,0.999995371622027,4.6283779504291106e-06,1.0496416446111846e-258,2.2415945260573914e-14,2.0000046283780173,2
83,3.1707240780183315e-82,1.7742324178678292e-37,0.9999960315489388,3.968451055155315e-06,2.8469900229617274e-193,6.213181266152316e-15,2.000003968451074,2
84,1.808074896565908e-57,3.059033294796892e-38,0.9999921062834564,7.893716290031573e-06,1.711631927210468e-192,2.536388928087934e-13,2.000007893717051,2
85,9.297129773312356e-30,7.046716017579209e-35,0.9999509847559995,4.8948791751602383e-05,8.96785271189997e-157,6.645224879402713e-08,2.0000491481484977,2
86,9.983916677368864e-35,1.198123598585678e-35,0.9999548186926422,4.517861887486275e-05,8.972586974599385e-150,2.6884828369166396e-09,2.000045186684323,2
