day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
1,4,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,15.595047245261773,11.1276691765146,0.43705122837989985,36.19479393899885,9.674100151997468,1019.1735914013466,517.7567689936275,44.71753576306561,19.147656399903834,0.15850434789550452,-34.13065480765588,2.26355212269757,-19.544849985268993,-18.380346553667984,19.147656399903834,29.69801294458587,1.396828973998857,-28.06771130173384,1.5812331609737775,-18.495533701635036,-5.38877034048386,0.15850434789550452,1.396828973998857,2.1187780149961544,0.015052742781740033,0.03523450688925791,-0.12180839724723726,-5.486690751572902,-34.13065480765588,-28.06771130173384,0.015052742781740033,124.20496252790004,-2.023572778711275,22.861117854932374,41.35124703635998,2.26355212269757,1.5812331609737775,0.03523450688925791,-2.023572778711275,0.6481484605572065,-1.088776608579454,2.81540719783718,-19.544849985268993,-18.495533701635036,-0.12180839724723726,22.861117854932374,-1.088776608579454,40.02859737610743,19.343137425056383,-18.380346553667984,-5.38877034048386,-5.486690751572902,41.35124703635998,2.81540719783718,19.343137425056383,1105.9812582920645
1,5,0.04944866153445439,0.11198350334306033,0.45791212672116416,0.06361144885147489,0.17299199485692737,0.14405226469291907,14.581181883336084,19.00238776230958,7.303289399066526,61.349139803181004,9.508743093761398,1008.6436151704261,462.32574122089864,36.971119362243144,26.49152731285689,-7.667473637878821,-51.596440217945,1.1045973842660215,8.27794918762815,-8.027584731550666,26.49152731285689,83.72386327518494,-8.273878840854488,-60.34017246277323,2.0861828396645246,1.0293785106574889,4.342768412892652,-7.667473637878821,-8.273878840854488,226.43970424443006,90.92278472990594,-6.523645533986879,-42.35713628200612,-141.3277627181002,-51.596440217945,-60.34017246277323,90.92278472990594,302.41878363740585,-7.477461334038036,-55.36527772905393,-121.66757594828202,1.1045973842660215,2.0861828396645246,-6.523645533986879,-7.477461334038036,0.8951724848796443,3.3561193663826345,2.183534794614023,8.27794918762815,1.0293785106574889,-42.35713628200612,-55.36527772905393,3.3561193663826345,48.074498988588836,29.501808785916904,-8.027584731550666,4.342768412892652,-141.3277627181002,-121.66757594828202,2.183534794614023,29.501808785916904,682.6809775962989
2,0,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,19.56306802266475,16.85850532461383,0.49779278202993604,34.4657691422029,9.874426863806715,1015.1201311771831,387.9396529298923,57.72398445271421,29.906385474830483,-2.915938520591967,-56.19711198915653,1.1035959568049651,-22.5464856044638,466.66253503064905,29.906385474830483,39.95347742298718,-2.568468022405294,3.451965765137478,0.9641311557843757,-21.445746011654855,267.2850914323365,-2.915938520591967,-2.568468022405294,1.5389356969546617,14.263861635430901,-0.4672272800082051,0.360062036025602,-31.434821205288262,-56.19711198915653,3.451965765137478,14.263861635430901,297.4376498153024,-4.1897679859710815,0.38892773277533016,-471.0963919815171,1.1035959568049651,0.9641311557843757,-0.4672272800082051,-4.1897679859710815,0.15450252784375135,-0.2762385851421405,11.378989041958267,-22.5464856044638,-21.445746011654855,0.360062036025602,0.38892773277533016,-0.2762385851421405,26.871824147629972,-297.4072009425117,466.66253503064905,267.2850914323365,-31.434821205288262,-471.0963919815171,11.378989041958267,-297.4072009425117,5649.909520697169
2,1,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,13.94350163431747,12.091508451504959,3.8580794763725597,68.82918857568995,8.895284012532553,1015.8074077630735,550.9762758445884,30.24991564942558,30.67906078276226,-4.497896560884841,-44.9247749012119,2.7680701419118727,-6.063041300043331,-63.87858581017395,30.67906078276226,47.54962241047201,2.312646223791592,-55.54056944957126,2.4992119397230566,-15.261068511486023,-18.461262753610175,-4.497896560884841,2.312646223791592,47.96228927713674,16.958052065008005,-2.254190407720868,-22.700940329594626,-121.57796694596945,-44.9247749012119,-55.54056944957126,16.958052065008005,186.857454624886,-8.300740205017886,3.7941545901265785,-115.25708595326361,2.7680701419118727,2.4992119397230566,-2.254190407720868,-8.300740205017886,2.252831231796295,4.733014104682016,34.990493520006375,-6.063041300043331,-15.261068511486023,-22.700940329594626,3.7941545901265785,4.733014104682016,56.312420807735826,188.65155179229401,-63.87858581017395,-18.461262753610175,-121.57796694596945,-115.25708595326361,34.990493520006375,188.65155179229401,10807.933423548966
2,2,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,19.38205964083977,16.757017431527142,0.09249276352761454,6.643850326885709,9.979038911320808,1019.2387457586246,554.8602586009955,75.502316954308,33.942999024483456,-0.17008545288048457,8.8601994002293,0.2152721911994281,-35.94368990414978,-113.59390116536399,33.942999024483456,53.111927474571324,-0.3399790942515983,4.9030224487211145,0.23096471096068122,-14.871508407479029,-110.88526014949558,-0.17008545288048457,-0.3399790942515983,0.37640013055210675,0.9636010312330344,-0.0023861375559532647,-0.053530424816486157,-4.032909073814913,8.8601994002293,4.9030224487211145,0.9636010312330344,50.44902866424525,-0.04341454107159027,-9.350254424835779,-93.6208222008306,0.2152721911994281,0.23096471096068122,-0.0023861375559532647,-0.04341454107159027,0.017373103842436097,-0.1775440532587897,-2.5608948299447825,-35.94368990414978,-14.871508407479029,-0.053530424816486157,-9.350254424835779,-0.1775440532587897,36.30541910707379,59.32486403189458,-113.59390116536399,-110.88526014949558,-4.032909073814913,-93.6208222008306,-2.5608948299447825,59.32486403189458,3930.037246286907
2,3,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,11.902962443037298,8.479669404835384,1.9098492196698775,81.80568776810296,8.527040419847282,1019.2164837574369,464.7746000725346,6.966401246614878,4.905590507170959,0.08153848638175341,-6.923618805369946,1.2223832878949117,2.7525407051437227,-5.932275397314583,4.905590507170959,12.89924676095267,4.240593009830936,-7.804237360141461,2.0632870177045572,-6.557858385988627,-41.02692518589395,0.08153848638175341,4.240593009830936,11.058715598311014,4.131813440428913,-0.506698214032233,-12.077815274631373,-50.56003422795027,-6.923618805369946,-7.804237360141461,4.131813440428913,54.19939723098894,-8.268210699939,-11.372539352742162,-7.1536681761103305,1.2223832878949117,2.0632870177045572,-0.506698214032233,-8.268210699939,4.57947828697267,-0.11628734913594911,-17.938880270842418,2.7525407051437227,-6.557858385988627,-12.077815274631373,-11.372539352742162,-0.11628734913594911,54.094589080662644,182.4136319414084,-5.932275397314583,-41.02692518589395,-50.56003422795027,-7.1536681761103305,-17.938880270842418,182.4136319414084,1468.4384880473472
2,4,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,15.119889047019685,11.335636804191559,0.2271949151882116,37.62486428190308,9.704734467655513,1018.7082673341158,515.2301448685207,41.51568670051101,17.179293870612906,-0.2745288427102268,-18.670746201260922,2.0148171789325895,-16.930628839209753,-5.037151875403474,17.179293870612906,28.870125090534213,0.9427936294420228,-23.20431041251776,1.5098782354938338,-21.2568686168269,-9.878272977694424,-0.2745288427102268,0.9427936294420228,0.6138931714305043,0.932536721149442,0.00474071339863254,0.15398403904216543,1.0027200173731674,-18.670746201260922,-23.20431041251776,0.932536721149442,149.43443978539267,-0.4619849008972057,9.82880128155039,-73.22811454731895,2.0148171789325895,1.5098782354938338,0.00474071339863254,-0.4619849008972057,0.5375918892417527,-1.3238459863753989,-2.7491265022204754,-16.930628839209753,-21.2568686168269,0.15398403904216543,9.82880128155039,-1.3238459863753989,41.08557069049722,18.320713747174498,-5.037151875403474,-9.878272977694424,1.0027200173731674,-73.22811454731895,-2.7491265022204754,18.320713747174498,972.1189779440824
2,5,0.05067185654502826,0.09718000446676016,0.45476954081855153,0.07360018471494027,0.19891763103769725,0.12486078241702217,14.42055572801292,19.76053129225494,9.321212700149673,62.32092089865125,9.591749695816105,1008.3851865452367,466.22273067232095,36.112794732466604,29.3967438910882,3.018555859677349,-64.1733010839534,1.0071970585366612,9.463661217462514,18.94776585641914,29.3967438910882,91.2531190284132,-21.53879338962729,-69.34641186500784,1.5131052364049984,2.127006946952842,-13.769470955295503,3.018555859677349,-21.53879338962729,277.9692337120782,50.72736634068267,-7.1090012507241145,-43.40295584968018,-112.86135292450629,-64.1733010839534,-69.34641186500784,50.72736634068267,335.6842072169254,-6.286260359845292,-59.25875534557472,-250.12086932028336,1.0071970585366612,1.5131052364049984,-7.1090012507241145,-6.286260359845292,0.5909233390761124,3.097417451598468,4.737563971343776,9.463661217462514,2.127006946952842,-43.40295584968018,-59.25875534557472,3.097417451598468,50.68901265465016,48.680252077333186,18.94776585641914,-13.769470955295503,-112.86135292450629,-250.12086932028336,4.737563971343776,48.680252077333186,1081.4705083192675
3,0,0.05065851770101523,0.07379150762509391,0.4698755894477081,0.07966793107539821,0.21041263344494684,0.11559382070583765,19.082575765656504,17.299746228972175,0.399780896374851,37.128894521439044,9.884509289247912,1014.9107934840666,394.9167322879206,53.25030326429259,27.65841594774843,-2.893532820477474,-39.68646977648179,0.984881111752425,-19.841903380728787,448.01855155011395,27.65841594774843,45.01115784094698,-2.9293465764677182,17.702829740982576,0.9553841018904353,-25.143846452134255,313.73867163481606,-2.893532820477474,-2.9293465764677182,1.363472265531863,10.783760179293916,-0.43543649076655494,0.8324729495981611,-32.951423753295146,-39.68646977648179,17.702829740982576,10.783760179293916,232.29329934781293,-3.477030889418337,-11.559268685445508,-202.4563948415202,0.984881111752425,0.9553841018904353,-0.43543649076655494,-3.477030889418337,0.1426931497334255,-0.28962092954465957,11.098350402609677,-19.841903380728787,-25.143846452134255,0.8324729495981611,-11.559268685445508,-0.28962092954465957,29.8840965763886,-341.58656397146217,448.01855155011395,313.73867163481606,-32.951423753295146,-202.4563948415202,11.098350402609677,-341.58656397146217,6449.005366770949
3,1,0.05065851770101523,0.07379150762509391,0.4698755894477081,0.07966793107539821,0.21041263344494684,0.11559382070583765,13.405600816579597,11.8750566047315,4.342481228402898,69.57563377935791,8.704282718677264,1014.8017196661489,562.4776392921276,34.31180660615493,35.63743705841647,-6.038340835935995,-45.416423630113876,2.7218907509786043,-8.277336842121047,-65.99151439737847,35.63743705841647,47.63202892985905,0.5887535690207172,-49.86302196973051,2.4512954667543005,-14.527957145957934,-43.90339892644048,-6.038340835935995,0.5887535690207172,44.830012332485374,26.815516282055917,-3.0043334859872473,-25.5762698874372,-210.42152510293016,-45.416423630113876,-49.86302196973051,26.815516282055917,199.1289034471472,-7.230049804049704,-8.41736286774851,-241.7231000320075,2.7218907509786043,2.4512954667543005,-3.0043334859872473,-7.230049804049704,2.1556217299417906,6.1150406746969965,56.81159648466041,-8.277336842121047,-14.527957145957934,-25.5762698874372,-8.41736286774851,6.1150406746969965,67.64612760708081,351.8607089919868,-65.99151439737847,-43.90339892644048,-210.42152510293016,-241.7231000320075,56.81159648466041,351.8607089919868,14147.266836960978
