day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
27,0.004174677114951986,0.9958193630589971,5.902334538648366e-06,5.7491512184976385e-08,0.9958313402026109,1
28,6.462591130241115e-08,0.9999999353733198,7.522559361120734e-13,1.650669549341191e-14,0.9999999353748737,1
29,9.194691099064623e-15,0.9999999999958142,4.17655149841051e-12,1.0671323096053329e-20,1.0000000000041673,1
30,1.2508243724144218e-26,0.9999999985842439,1.4157560532807036e-09,1.9500309381806635e-18,1.000000001415756,1
31,1.273577364057106e-08,0.9999999868363445,4.274159258947143e-10,4.659612312114926e-13,0.9999999876925743,1
32,7.482998174864793e-09,0.9999999925076265,8.362982620927573e-12,1.0123600080177596e-12,0.9999999925273896,1
33,2.8799469698582533e-222,3.625958426467607e-19,2.9271663825372988e-06,0.9999970728336174,2.9999970728336174,3
34,0.12005157073750969,1.0045781025574142e-104,0.027569714250956393,0.852378715011534,2.6122755735365146,3
35,0.0,2.789797751719642e-141,1.0052802151730574e-09,0.9999999989947198,2.99999999899472,3
36,0.999835092354412,2.448490992962587e-60,1.4272733393515934e-07,0.00016476491825396277,0.0004945802094297587,0
37,8.416274954542689e-60,1.893586189681894e-67,0.02058984456716069,0.9794101554328394,2.979410155432839,3
38,0.9997773492893641,2.4961180772742196e-56,5.927049829086847e-09,0.00022264478358594578,0.0006679462048574954,0
39,0.9996652387119068,3.8844538120663567e-56,4.432426917100148e-08,0.0003347169638240307,0.0010042395400104342,0
40,0.9997469100602451,1.9332647621665446e-58,3.5082194410457e-07,0.0002527391178107886,0.000758918997320575,0
41,0.999767355990866,5.527451792642043e-65,4.132145630879741e-07,0.00023223079457092286,0.0006975188128389445,0
42,0.9998596257069726,6.506983733605627e-50,3.871556212300771e-07,0.00013998713740623418,0.0004207357234611627,0
43,0.9998375198935479,2.2181028585528962e-63,3.3700295293495717e-07,0.00016214310349917539,0.00048710331640339607,0
44,0.0,0.0,0.004136901888337146,0.995863098111663,2.995863098111663,3
45,0.0,0.0,0.5047571070055923,0.49524289299440766,2.4952428929944075,2
46,7.397405160378761e-256,2.740111463493075e-66,1.0352783010082025e-06,0.9999989647216989,2.999998964721699,3
47,4.033509598351746e-06,8.352369045026383e-88,0.023260622598204217,0.9767353438921974,2.9767272768730004,3
48,0.9997750562545503,5.4222729786715616e-86,5.523960496513591e-06,0.00021941978495319938,0.0006693072758526253,0
49,0.9999233595905416,9.384939812280877e-90,4.969999441007178e-06,7.167041001740375e-05,0.00022495122893422562,0
50,0.9999703470776083,7.85760632541699e-42,3.0605354602900207e-06,2.659238693126592e-05,8.58982317143778e-05,0
51,0.0,0.0,0.07901922923751935,0.9209807707624806,2.9209807707624806,3
52,0.9998675188800725,1.4650345015857948e-51,1.935161411698098e-07,0.00013228760378635392,0.0003972498436414014,0
53,0.9918689975109033,5.21975632085617e-50,4.27343525703553e-06,0.008126729053839763,0.02438873403203336,0
54,0.9999364849013309,1.6579102633856122e-62,1.1082720794328327e-07,6.340427146116972e-05,0.00019043446879939575,0
55,0.0,2.461385614711155e-127,0.029299906562858028,0.970700093437142,2.9707000934371424,3
56,0.0,0.0,0.027738232908111154,0.9722617670918889,2.9722617670918887,3
57,6.644346444800407e-30,8.353206853618082e-93,0.044284194641357695,0.9557158053586423,2.955715805358642,3
58,0.9999634758486002,2.0262251142835364e-49,2.5855415328301787e-08,3.649829598430853e-05,0.00010954659878358219,0
59,0.9998846662087885,2.853391723233192e-54,3.054977436911659e-08,0.00011530324143719029,0.00034597082386030904,0
60,0.9997735979685658,5.634562681347382e-48,2.0088215592480995e-09,0.0002264000226126891,0.0006792040854811857,0
61,0.9996611682580302,7.668977522711859e-56,3.6069284996476343e-07,0.000338471049119793,0.0010161345330593084,0
62,0.9988328942176273,1.9518461051411266e-60,1.3520441840168195e-05,0.0011535853405325574,0.0034877969052780084,0
63,0.9996362548273533,6.137240905811682e-51,3.053407502345292e-07,0.00036343983189638594,0.0010909301771896268,0
