day,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,weighted_mean,max
0,0.0,0.0,0.0003123545842753885,0.9996821335689987,5.511846725738984e-06,6.363935891023065e-87,2.99969315726245,3
1,0.0,0.0,0.00044180603957434477,6.418508988625748e-09,0.9995581875419166,5.084225953864923e-85,3.999116381502342,4
2,0.0,0.0,0.003476881459611705,0.9965231185403872,1.1038933710699737e-15,4.422740566342497e-27,2.9965231185403898,3
3,0.0,0.0,0.9999999999853887,1.4559806930584494e-11,5.144165162345245e-14,5.3297037589950806e-30,2.0000000000146625,2
4,0.0,0.0,0.00039935808645129447,0.9995998017030719,8.402104768067558e-07,0.0,2.9996014821240258,3
5,0.0,5.592453100181621e-94,1.0,0.0,5.1566976455040755e-28,5.206342923639245e-20,2.0,2
6,0.0,0.0,0.999999999987624,0.0,1.237610618209985e-11,0.0,2.0000000000247526,2
7,0.0,0.0,0.9999999999951903,0.0,4.809673064506218e-12,0.0,2.0000000000096194,2
8,0.0,9.650779893507845e-190,1.0,8.911987083141828e-291,2.8316760751712662e-18,9.384511237745725e-34,2.0,2
9,9.08190012989654e-205,0.9996781139799877,0.000292891799229913,0.0,2.899422078231941e-05,3.3409746855275265e-122,1.0003798744615768,1
10,0.0,0.0,0.9999999999955449,0.0,4.4549957196097654e-12,0.0,2.0000000000089098,2
11,0.0,0.9999999974826382,2.517361349991847e-09,0.0,5.786719512582837e-16,0.0,1.0000000025173632,1
12,0.0,0.0,0.666410226339877,0.0,0.33358977366012316,3.475770745946625e-239,2.667179547320247,2
13,0.0,0.0,0.9661342303802469,0.0,0.033865769619753044,9.360212544266446e-100,2.067731539239506,2
14,0.0,5.864729647044447e-297,0.00027978622215927825,1.1537714468570224e-215,0.9997202137778407,5.511586351626657e-208,3.9994404275556814,4
15,0.0,0.0,0.001616634557887347,1.6283577063824796e-25,0.9983833654421126,5.6124071865160906e-157,3.996766730884225,4
16,0.0,3.265151467392967e-229,0.00024885046960876903,4.859701504808416e-61,0.9997511495303912,1.3464736842915098e-128,3.9995022990607825,4
17,0.0,3.66892547683623e-24,0.7655268744965711,6.138851134376621e-166,0.23447312550342891,7.167217452178626e-151,2.468946251006858,2
18,0.0,1.900592780776621e-128,0.0005253248636284045,1.1852804054201101e-251,0.9994746751363716,6.846311655808958e-84,3.998949350272743,4
19,0.0,0.0,1.0,4.097644713783567e-58,2.9361222788597646e-29,4.0019852004107395e-29,2.0,2
20,0.0,3.519499816386677e-308,0.0004198416498574949,0.0,0.9995801583501425,1.1579049783708886e-27,3.999160316700285,4
21,0.0,0.0,0.006711350818573095,0.0,0.993288649181427,0.0,3.986577298362854,4
22,0.0,0.9999931321766646,6.867823284059526e-06,0.0,5.118200718843264e-14,0.0,1.0000068678234375,1
23,0.0,0.9999994314593352,5.685406587800966e-07,0.0,6.008164708377338e-15,0.0,1.0000005685406768,1
24,0.0,0.9999988392070548,1.160792929541421e-06,0.0,1.552627008767445e-14,0.0,1.000001160792976,1
25,0.0,0.0,0.9999999999999999,0.0,1.0358854058016141e-16,1.1541928661504407e-50,2.0,2
26,0.0,0.0,0.9999999999999987,0.0,1.369150665982042e-15,9.208783053965762e-49,2.0000000000000027,2
27,0.0,0.0,0.9999953796615861,0.0,4.620338413916944e-06,7.152120197660326e-30,2.0000092406768277,2
28,0.0,0.9999454775860778,5.452241236702081e-05,0.0,1.555215841835663e-12,9.987509866605721e-285,1.0000545224170325,1
29,0.0,0.0,0.9999999999999991,0.0,9.043766772425692e-16,8.779702773295539e-73,2.0000000000000018,2
30,0.0,0.0,0.9999999999999981,0.0,1.8629897853661143e-15,9.50905642631852e-102,2.0000000000000036,2
31,4.465782575822887e-120,0.9999992916403311,7.083567697986545e-07,0.0,2.899184785253011e-12,5.862545227033621e-217,1.0000007083654674,1
32,0.0,0.9999818691312511,1.8130866975019375e-05,0.0,1.7737993377346616e-12,2.9188891553818704e-287,1.0000181308722964,1
33,0.0,0.0,0.9361391742281326,5.0979979567082325e-211,0.06386082577186739,6.855989706902149e-60,2.1277216515437347,2
34,0.0,0.0,0.001690161280218185,0.9981642313592041,0.00014560736057784253,1.2176000700261677e-158,2.9984554460803605,3
35,0.0,0.0,0.8649217478936362,0.0012202174394827046,0.1338580346668811,3.612424335041165e-133,2.2689362867732448,2
36,0.0,5.7406002794449954e-176,0.00045396419471389757,5.95033718613863e-98,0.9995460358052861,1.0168614760387803e-63,3.9990920716105722,4
37,0.0,0.0,0.8726758038921293,0.0,0.12732419610787069,1.3072600928722277e-169,2.254648392215741,2
38,3.7062595655337733e-239,0.0,0.00047966394132010825,0.0,0.9995203360586798,4.9284098873637944e-43,3.9990406721173595,4
39,0.0,2.6585387568274835e-115,0.0008502773563369184,2.7305759886876436e-208,0.9991497226436631,8.814682945145613e-115,3.9982994452873264,4
40,0.0,0.0,0.0010014473069874497,2.1144783006641747e-188,0.9989985526930126,1.5663198999828653e-66,3.9979971053860255,4
41,0.0,0.0,0.0014740332617762955,6.661483560046357e-85,0.9985259667382237,3.232265897677516e-144,3.997051933476447,4
42,0.0,0.0,0.0005600478815634389,0.0,0.9994399521184365,1.940734139019547e-56,3.998879904236873,4
43,0.0,3.3616386681151684e-209,0.0008830883889097039,0.0,0.9991169116110903,1.815989434207132e-128,3.9982338232221806,4
44,0.0,0.0,0.007025396102245261,0.9929746038977546,1.302949955183474e-16,6.853682195103293e-29,2.9929746038977547,3
45,0.0,0.0,0.0015218304655736823,6.228849575248742e-06,3.1238433282089633e-131,0.998471940684851,4.9954220509041285,5
46,0.0,1.4874098510512257e-247,0.9999999999991483,1.0250287410276023e-187,8.51682653443922e-13,2.106666428835256e-79,2.0000000000017035,2
47,0.0,0.0,0.9263041137713316,0.011929129496897516,0.0617667567317709,3.091058349932558e-155,2.135462642960439,2
48,0.0,0.0,0.0010030642146542793,6.438591722532376e-11,0.9989969357209597,6.426191653707731e-239,3.997993871506305,4
49,0.0,0.0,0.00012543737823350186,0.7290862005046644,0.27078836211710205,0.0,3.2706629247388683,3
50,0.0,0.0,0.003709155460102649,4.610759932310576e-174,0.9962908445398974,1.0788919289927897e-36,3.992581689079795,4
51,0.0,0.0,0.9997766994958126,0.00022330050293095177,1.2565183383388248e-12,2.240298067590887e-212,2.000223300505444,2
52,0.0,3.0311081353557895e-150,0.0004776578377573654,0.0,0.9995223421622427,3.057641322740187e-102,3.9990446843244856,4
53,0.0,0.0,0.755063935088305,0.0,0.24493606491169503,2.599027408222913e-36,2.4898721298233903,2
54,3.42280253498033e-99,1.7425426923109763e-120,0.0007205610942307534,0.0,0.9992794389057693,1.2957209254538867e-77,3.9985588778115386,4
55,0.0,0.0,0.003687074037796151,0.9963129259621273,7.652992213191782e-14,8.741448457645818e-105,2.9963129259622803,3
56,0.0,1.0701313111616811e-27,1.0,0.0,4.4095580341308796e-38,2.6534273848067237e-66,2.0,2
57,0.0,0.9999934711386481,5.1604106578251284e-06,0.0,1.3684506940103543e-06,2.542931382041842e-114,1.0000092657627397,1
58,0.9988807225747824,1.1445852029015808e-101,5.437100801944268e-07,0.0,0.0011187337151372745,5.661839091518334e-95,0.0044760222807094865,0
59,1.1365707619960694e-191,3.230560214134441e-123,0.0001970582373358593,0.0,0.9998029417626642,6.372427758839546e-81,3.9996058835253283,4
60,3.889800696208117e-80,0.0,0.000595189575656741,0.0,0.9994048104243433,2.961977030923944e-48,3.9988096208486867,4
61,0.0,1.9480154021417322e-182,0.0007484425918517212,0.0,0.9992515574081482,2.6617358000209697e-25,3.9985031148162964,4
62,0.0,0.0,0.0006025871849579701,0.0,0.999397412815042,7.851594097904444e-50,3.998794825630084,4
63,0.0,2.4665174164217454e-81,0.0002437732473747159,0.0,0.9997562267526252,1.6041064484481348e-160,3.9995124535052504,4
64,0.0,9.505338159728401e-284,0.43770141414362196,0.0,0.562298585856378,1.8474094165491497e-87,3.124597171712756,4
65,0.9999999999420857,0.0,5.79139060482153e-11,0.0,2.6185581775502157e-16,1.6140203873798578e-252,1.1582885951970163e-10,0
66,0.0,0.0,0.8798337842196424,0.0,0.12016621578035759,8.860940239071019e-226,2.240332431560715,2
67,0.0,0.0,0.0003476618562628015,0.0,0.9996523381437372,1.7949862493260129e-82,3.9993046762874744,4
68,0.0,0.0,0.8374139592825648,0.0,0.16258604071743524,2.1041753292416868e-43,2.3251720814348706,2
69,1.1105128398101092e-93,4.9821867127841694e-141,0.0006572060246392402,0.0,0.9993427939753607,1.30913274801388e-84,3.9986855879507215,4
70,4.006280041563543e-58,6.319412732333784e-154,0.0003964983453259606,0.0,0.999603501654674,1.8674159469084873e-60,3.999207003309348,4
71,6.231867600806226e-122,2.306413897821292e-171,0.0004910707340308154,0.0,0.9995089292659692,1.0014399174994453e-53,3.9990178585319387,4
72,0.0,0.0,0.0004313791438444282,0.0,0.9995686208561556,1.4303863410676727e-250,3.999137241712311,4
73,2.225133349817761e-07,2.3952186907564943e-188,0.001130257912110007,0.0,0.9988695195745549,2.8286737253464408e-52,3.9977385941224397,4
74,0.0,0.0,0.0007891703713734673,2.9291506028842803e-121,0.9992108296286265,0.0,3.998421659257253,4
75,9.858509680384802e-11,6.284634530911693e-219,0.0029285594798494122,0.0,0.9970714404215656,1.615229461571148e-53,3.994142880645961,4
76,1.2205007434070967e-66,1.2311871525119327e-255,0.0003777064254166622,0.0,0.9996222935745833,1.754716148721819e-162,3.9992445871491666,4
77,5.359602774813248e-49,3.0151387778352503e-145,0.0003486204516323238,0.0,0.9996513795483676,1.312455830159735e-103,3.999302759096735,4
78,0.9996902500368368,1.353136242195104e-155,1.5609499791083894e-07,0.0,0.00030959386816532955,1.9222424731749452e-104,0.00123868766265714,0
79,0.0,1.041771734783359e-80,0.00019377003353782208,0.0,0.9998062299664622,5.431688415468941e-121,3.9996124599329246,4
80,0.0,2.3988315787584406e-254,6.841552020394427e-05,0.0,0.9999315844797961,6.65490421350491e-209,3.9998631689595925,4
81,0.0,7.33285156742965e-87,7.505005845360235e-05,0.0,0.9999249499415465,0.0,3.999849899883093,4
82,0.0,7.057702187018942e-96,0.00015393165147790228,0.0,0.9998460683485221,0.0,3.999692136697044,4
83,0.0,1.448428572033994e-106,0.0002897159752254781,0.0,0.9997102840247745,1.509542384119239e-283,3.999420568049549,4
84,0.0,3.473907763488353e-120,0.00019322470698793164,0.0,0.999806775293012,0.0,3.999613550586024,4
85,0.0,1.0827664524416553e-198,0.0011158873929261366,0.0,0.9988841126070739,0.0,3.997768225214148,4
86,0.0,9.078335996715734e-137,0.00011678410489903351,0.0,0.999883215895101,0.0,3.999766431790202,4
87,2.6594076108386355e-305,1.2475398940922175e-181,0.0010637174146397414,0.0,0.9989362825853603,1.1942191341208973e-158,3.9978725651707205,4
88,0.0,0.0,0.0006051933258178592,0.999394806674169,1.3178839378406417e-14,0.0,2.9993948066741956,3
89,0.0,0.0,1.1601207392347592e-12,1.1589660939210717e-72,0.0,0.9999999999988399,4.999999999996519,5
90,0.0,0.0,0.9724291992595715,9.239589280144446e-193,0.02757080074042847,0.0,2.055141601480857,2
91,0.0,0.0,1.0,1.282573810057588e-177,1.782494152853825e-169,1.213103700285379e-25,2.0,2
92,0.0,5.504950598223382e-38,0.9001212305888862,2.6423033288220243e-288,0.09987876941111384,3.721641397579113e-50,2.1997575388222277,2
93,0.0,0.0,0.999999999997892,0.0,2.10801068821188e-12,3.8869246876909356e-52,2.000000000004216,2
94,9.061321558126922e-53,8.733767686326542e-81,0.002074167885422524,0.0,0.9979258321145774,9.16242653490413e-35,3.995851664229155,4
95,0.0,2.3548813567714237e-24,0.7608491954257876,2.607919508229969e-275,0.2391508045742125,5.996695822522846e-199,2.478301609148425,2
96,0.0,0.0,0.0024382755465052943,0.9975617244534947,5.2552514945625234e-18,0.0,2.9975617244534947,3
97,0.0,0.0,0.0003942613956616699,7.286089634281204e-211,0.9996057386043383,0.0,3.9992114772086764,4
98,0.0,0.0,0.8792828274532377,0.0,0.12071717254676234,2.6331977013092005e-166,2.241434345093525,2
99,0.0,5.160749545062862e-42,0.9978251305191947,0.0,0.002174869480805308,1.5255813687390389e-77,2.0043497389616105,2
