day,cluster,cluster0,cluster1,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
5,0,0.26129965271866784,0.738700347281332,13.076803985758936,13.812599549841556,6.812793594810761,58.24129533742568,8.783504776911164,1013.4645060642142,487.4284725690265,34.57013301355067,24.837887784440454,7.16261536958266,-44.62167486141695,2.8155135915080365,-7.895659525789174,-31.279812138334098,24.837887784440454,65.83788621040823,12.853031168429368,-20.762131594425558,5.467221243610933,-28.664876075252927,-98.20007076528219,7.16261536958266,12.853031168429368,156.96151600994529,69.80457704348896,-0.4415396734090123,-46.80775066913869,-136.8949268738783,-44.62167486141695,-20.762131594425558,69.80457704348896,694.1773276042734,-17.580953839364966,-81.23099497564193,-784.5991199119594,2.8155135915080365,5.467221243610933,-0.4415396734090123,-17.580953839364966,2.570455756529486,-1.164692182619233,-3.1302720643306023,-7.895659525789174,-28.664876075252927,-46.80775066913869,-81.23099497564193,-1.164692182619233,83.46903116474061,193.20075740814812,-31.279812138334098,-98.20007076528219,-136.8949268738783,-784.5991199119594,-3.1302720643306023,193.20075740814812,3775.3093152976007
5,1,0.26129965271866784,0.738700347281332,18.177827066306218,15.414825456565444,0.01576660541059968,23.72390576256747,9.968187257833087,1018.5677126959727,532.1223232879544,63.176258868024185,33.309120495770934,-0.026911483541600455,-51.8475178989542,0.22722659750254476,-25.91991288342713,-24.128669616539778,33.309120495770934,57.150374063222316,-0.014244950238381845,-55.7131041437952,0.2771259059395019,-18.067111944458983,-39.07621403311777,-0.026911483541600455,-0.014244950238381845,0.002239762132781704,0.1663591003179073,-0.00034549792529000396,-0.028973965890758624,-0.08269639426014501,-51.8475178989542,-55.7131041437952,0.1663591003179073,606.5403807431823,-1.064795340159393,-10.815810346207162,-460.9373129856198,0.22722659750254476,0.2771259059395019,-0.00034549792529000396,-1.064795340159393,0.014578505356797902,-0.11563384041718226,-2.061791079087202,-25.91991288342713,-18.067111944458983,-0.028973965890758624,-10.815810346207162,-0.11563384041718226,37.55357288903009,68.32975885091545,-24.128669616539778,-39.07621403311777,-0.08269639426014501,-460.9373129856198,-2.061791079087202,68.32975885091545,5831.595929989628
6,0,0.27754358323262146,0.7224564167673787,13.141250929986294,13.691731135529897,6.422797058785143,56.937746179398935,8.83263069420345,1013.911568733441,491.978679687918,37.00476952590811,27.323877679450778,6.36272771460515,-50.63648030179036,2.794505933261872,-8.712715439556707,-33.245861004117664,27.323877679450778,67.5987403622063,12.89791203754417,-21.994481165845354,5.178706954915235,-30.5573601248156,-114.12856321239241,6.36272771460515,12.89791203754417,150.22246417722377,73.82403739264193,-0.7213298938402092,-46.90181108902425,-157.72684883998298,-50.63648030179036,-21.994481165845354,73.82403739264193,725.4185520372899,-17.856658214377617,-85.21878977757227,-749.6163386986893,2.794505933261872,5.178706954915235,-0.7213298938402092,-17.856658214377617,2.4673456140262857,-0.8479417527332691,-0.6826854033520916,-8.712715439556707,-30.5573601248156,-46.90181108902425,-85.21878977757227,-0.8479417527332691,84.27793663652409,231.25032857516786,-33.245861004117664,-114.12856321239241,-157.72684883998298,-749.6163386986893,-0.6826854033520916,231.25032857516786,4464.562966349823
6,1,0.27754358323262146,0.7224564167673787,18.267761666004244,15.497283993470333,0.012763797199509002,23.448586215364223,9.975951486451066,1018.5107082313892,531.3791961313697,62.54199250326017,32.15917834945111,-0.024313038953378125,-49.092447042718575,0.16491193807772064,-25.60010390047229,-18.36115856377623,32.15917834945111,56.05965405110756,-0.01823816261945316,-54.01946023872539,0.20545950002754163,-17.221966524405794,-32.2397404974712,-0.024313038953378125,-0.01823816261945316,0.001543054667757528,0.16048667659422894,-0.000275721807140306,-0.02628321497673443,-0.07139387334707228,-49.092447042718575,-54.01946023872539,0.16048667659422894,599.6218048937491,-0.8860500330657256,-12.015639909679042,-513.0577559648992,0.16491193807772064,0.20545950002754163,-0.000275721807140306,-0.8860500330657256,0.008895248964980137,-0.05788338948061337,-1.3342961282133037,-25.60010390047229,-17.221966524405794,-0.02628321497673443,-12.015639909679042,-0.05788338948061337,37.29777387053926,61.54924998646211,-18.36115856377623,-32.2397404974712,-0.07139387334707228,-513.0577559648992,-1.3342961282133037,61.54924998646211,5715.875478049079
7,0,0.300932388573969,0.6990676114260312,13.199103132764785,13.415051896608286,5.933415472366965,57.22695952727684,8.90132881964355,1014.2291567656208,498.6488271047829,38.414519705680696,27.749517197365133,5.568698340491061,-56.06380605599863,2.7195093335190332,-9.081095786785282,-28.02755614467252,27.749517197365133,66.20085882281703,13.545034524938298,-27.102170563820064,4.652087616503296,-30.98883037614242,-119.40316677277038,5.568698340491061,13.545034524938298,141.3898602955227,66.29818149499629,-1.062089790318973,-45.13312571729434,-184.4106486712838,-56.06380605599863,-27.102170563820064,66.29818149499629,716.469032417128,-16.575872457633416,-74.59243955046558,-624.6186889508564,2.7195093335190332,4.652087616503296,-1.062089790318973,-16.575872457633416,2.3373759628098134,-0.606187371015439,3.8055908866643273,-9.081095786785282,-30.98883037614242,-45.13312571729434,-74.59243955046558,-0.606187371015439,82.00832856138062,251.55057380030448,-28.02755614467252,-119.40316677277038,-184.4106486712838,-624.6186889508564,3.8055908866643273,251.55057380030448,5928.734254995211
7,1,0.300932388573969,0.6990676114260312,18.41437603984079,15.676796627891207,0.008969814445197939,22.2036349505601,9.984630784954065,1018.5278680213062,529.8260811434809,62.14264438235189,31.24298915261089,-0.023635901177370203,-40.980884161501415,0.09021294040525096,-25.990386313194037,-11.10463034762996,31.24298915261089,55.670998263539126,-0.01624230739659433,-46.397733817435814,0.12054542734912894,-17.134077599529487,-28.044662638328536,-0.023635901177370203,-0.01624230739659433,0.00076566822859832,0.06672146035164986,-0.00018254194633333807,-0.011263445725380215,-0.16656953617836343,-40.980884161501415,-46.397733817435814,0.06672146035164986,551.8178947436717,-0.4343526644459214,-13.011787216836765,-608.8229195349709,0.09021294040525096,0.12054542734912894,-0.00018254194633333807,-0.4343526644459214,0.0043726509859160385,-0.028669921637904317,-0.5310738295600044,-25.990386313194037,-17.134077599529487,-0.011263445725380215,-13.011787216836765,-0.028669921637904317,37.209099948361605,58.77710449532375,-11.10463034762996,-28.044662638328536,-0.16656953617836343,-608.8229195349709,-0.5310738295600044,58.77710449532375,5280.210554704807
8,0,0.3204862522779566,0.679513747722044,13.079581974113314,13.150185928504653,5.576691842773959,56.48095919155729,8.953175911913439,1014.6301472175371,500.91379823442776,37.607651806021366,26.741630683598846,5.885374761847392,-52.60275638007517,2.4537065774147333,-9.26834192361515,-22.76741400840719,26.741630683598846,63.78983035391392,14.18328964139449,-24.407779601229347,4.185772432616418,-30.43524056890333,-126.88412395788717,5.885374761847392,14.18328964139449,134.7219073108435,66.30626315784475,-1.2811155137501407,-44.581591680995125,-185.82174046371975,-52.60275638007517,-24.407779601229347,66.30626315784475,741.5623140896414,-16.387219523958052,-83.10968905535854,-658.2293744293604,2.4537065774147333,4.185772432616418,-1.2811155137501407,-16.387219523958052,2.2389494641250773,-0.22685186711409477,4.68193805428914,-9.26834192361515,-30.43524056890333,-44.581591680995125,-83.10968905535854,-0.22685186711409477,82.94570634525205,255.4947580706494,-22.76741400840719,-126.88412395788717,-185.82174046371975,-658.2293744293604,4.68193805428914,255.4947580706494,6252.940043697302
8,1,0.3204862522779566,0.679513747722044,18.620823112145764,15.866802716973341,0.006731767349713408,21.547638710697274,9.991350970825447,1018.4624454845471,529.6549936075627,61.78597664465119,30.64629092748366,-0.007927532339177989,-36.69034962945536,0.04533585269580782,-26.253675416772104,-13.80077467738382,30.64629092748366,55.7236514364349,-0.0064966071759887025,-42.333456707141444,0.06475060589417787,-17.32299456982007,-25.07968652528138,-0.007927532339177989,-0.0064966071759887025,0.0004726645367547834,0.036133888251676405,-3.246251768599326e-05,-0.01646290226636241,-0.07752450633477984,-36.69034962945536,-42.333456707141444,0.036133888251676405,523.8996126465236,-0.18197605126760463,-10.928267434836812,-608.7931145369197,0.04533585269580782,0.06475060589417787,-3.246251768599326e-05,-0.18197605126760463,0.00155668598229675,-0.02433741336717923,-0.1757008806205928,-26.253675416772104,-17.32299456982007,-0.01646290226636241,-10.928267434836812,-0.02433741336717923,36.49194290670221,57.561819056130226,-13.80077467738382,-25.07968652528138,-0.07752450633477984,-608.7931145369197,-0.1757008806205928,57.561819056130226,5144.830245890524
9,0,0.33939914838813573,0.6606008516118647,13.080849560507378,12.954588858898484,5.269018838026484,55.90698469700397,9.002346967376297,1014.8690539769256,501.1677224574276,37.128054259945834,25.91249110239029,5.542330732947601,-53.73427671655635,2.3083041226738916,-8.773556424944754,-15.75093057768202,25.91249110239029,62.01533879136258,14.412289397990078,-28.041445832885465,3.7981314577646494,-29.476291020077166,-114.88319242852447,5.542330732947601,14.412289397990078,128.81885102535958,65.59243187954931,-1.4657395613591053,-43.34496815849972,-176.8028587246536,-53.73427671655635,-28.041445832885465,65.59243187954931,770.4569747655355,-16.039682756368133,-82.15358303991306,-670.6184531780342,2.3083041226738916,3.7981314577646494,-1.4657395613591053,-16.039682756368133,2.1559368096200147,-0.02002497495731377,4.661901097798772,-8.773556424944754,-29.476291020077166,-43.34496815849972,-82.15358303991306,-0.02002497495731377,80.39172285471781,240.9693867990097,-15.75093057768202,-114.88319242852447,-176.8028587246536,-670.6184531780342,4.661901097798772,240.9693867990097,5993.686042617961
9,1,0.33939914838813573,0.6606008516118647,18.778816702326193,16.04507159091695,0.005338913482226493,20.842396195109476,9.995810975193836,1018.4494196283556,530.3473898949991,61.82776802295657,30.169971015637937,0.004106194800162146,-31.656468890987156,0.02631397966949462,-26.917592796247455,-21.076520383620316,30.169971015637937,55.595680733598385,0.002451027410993139,-35.48532938108695,0.03362727819091624,-17.763676642059547,-33.19796854636361,0.004106194800162146,0.002451027410993139,0.0003247621698514122,0.007749690483306488,1.1899388561038997e-05,-0.016508866732887213,-0.03887777175728397,-31.656468890987156,-35.48532938108695,0.007749690483306488,487.82115129559946,-0.029279728621399118,-10.876834975672372,-584.7372665055559,0.02631397966949462,0.03362727819091624,1.1899388561038997e-05,-0.029279728621399118,0.0004850189484223004,-0.020441338106130344,-0.306728813785262,-26.917592796247455,-17.763676642059547,-0.016508866732887213,-10.876834975672372,-0.020441338106130344,36.96496424631893,60.20997013653856,-21.076520383620316,-33.19796854636361,-0.03887777175728397,-584.7372665055559,-0.306728813785262,60.20997013653856,5229.639777258196
10,0,0.35256026385502415,0.6474397361449757,13.253135555773763,12.951524732511187,5.075038974814138,54.56348144657068,9.037413725437363,1014.9556235072589,502.9422250567363,38.496333213042796,25.952654624865236,4.470786685571138,-61.01517077863717,2.3720725354282926,-8.63961887978899,-7.195082965006977,25.952654624865236,60.275144617771836,13.890386672188813,-30.22915852838349,3.652396681650542,-28.54890218811192,-111.53024268389451,4.470786685571138,13.890386672188813,124.9804745357517,69.85241801049186,-1.586301254899819,-42.164736124034505,-179.10573938356868,-61.01517077863717,-30.22915852838349,69.85241801049186,812.0347117082252,-16.67691522211252,-79.60521234321519,-701.2034564036029,2.3720725354282926,3.652396681650542,-1.586301254899819,-16.67691522211252,2.1074139187293324,0.056867151345475146,6.096691382036944,-8.63961887978899,-28.54890218811192,-42.164736124034505,-79.60521234321519,0.056867151345475146,77.92599071449088,237.20398116032126,-7.195082965006977,-111.53024268389451,-179.10573938356868,-701.2034564036029,6.096691382036944,237.20398116032126,5966.7417608079595
