day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
35,0.07999877853022655,0.0,2.567054061829677e-08,0.9200011957992329,2.424482295819316e-50,2.76000363873878,3
36,1.9928927980589218e-10,0.99996945033895,9.197943750691343e-33,3.05494617606825e-05,1.4070537189948605e-22,1.000061098724232,1
37,1.6868506501978329e-16,0.0,5.967459252072324e-08,0.9999999403254073,1.6689398101511105e-25,2.999999940325407,3
38,3.5755748529525268e-28,0.9999494849111802,8.702146788057243e-30,5.0515088819803705e-05,5.709996888394374e-22,1.0001010301776396,1
39,9.034498997808003e-10,0.9999256865227562,4.295219847588501e-40,7.431257379393656e-05,2.156561599536167e-21,1.000148624244138,1
40,4.4683301529889285e-07,0.9999168580614958,4.576821749523144e-19,8.269510548904261e-05,8.111903480972754e-23,1.000164943377963,1
41,9.385080117364802e-07,0.9998538578072456,6.195858606685671e-23,0.00014520368474280033,1.224415773193098e-24,1.0002894688614739,1
42,2.9211944332581273e-31,0.9999737923046783,1.0081848871874545e-07,2.610687683283308e-05,1.3351436865162104e-20,1.0000523145721543,1
43,1.4959282161269242e-16,0.9999140125351416,3.605849344097861e-20,8.59874648582419e-05,4.093645061761299e-24,1.0001719749297162,1
44,0.9988705512717556,0.0,0.001129448728244409,1.9657693288021007e-20,0.0,0.002258897456488818,0
45,0.5913676774946285,0.0,0.40863232250537146,2.1253053095980707e-282,0.0,0.8172646450107429,0
46,0.0036948514495960443,0.0,1.0885708710046175e-16,0.9963051485504039,5.046441482153958e-24,2.9889154456512115,3
47,0.046658339353825275,0.0,1.8909465464431335e-08,0.9533416417367093,3.2957679074014057e-33,2.8600249630290593,3
48,9.457950706858784e-07,0.9998025360939548,4.1773729762166695e-17,0.00019651811097466505,1.0746899096527321e-31,1.0003920904268788,1
49,1.6655378973804777e-05,0.9997387577180338,1.2265050524497745e-13,0.0002445869028697833,4.241977078368353e-34,1.0004725184268883,1
50,2.09661925153891e-06,0.9999041674741961,1.511462262040911e-14,9.373590653720924e-05,1.8333719258312656e-16,1.0001853751938385,1
51,0.9999996869769071,0.0,3.1272942604259216e-07,2.93667076010482e-10,0.0,6.263398533132157e-07,0
52,2.123282564748969e-24,0.9999494881557427,8.363403478222959e-31,5.051184425727738e-05,2.3808043909440265e-19,1.0001010236885146,1
53,8.521597518873602e-13,0.0,5.135301669279865e-35,0.9999999999991478,4.6318253776039933e-20,2.9999999999974434,3
54,2.4484925392241897e-10,0.9999343779685205,1.6541665929386968e-31,6.562178663030797e-05,4.58955859869834e-23,1.0001312433284113,1
55,0.43590965552244404,0.0,1.3282306470381164e-06,0.5640890162469089,1.4531263900243834e-61,1.6922697052020208,3
56,2.4927648760937265e-43,0.0,1.0,7.847902093515594e-91,0.0,2.0,2
57,4.085160312605019e-61,0.0,0.9060849474737587,0.09391505252624133,2.6036129032770417e-36,2.093915052526241,2
58,1.8493882326688032e-41,0.9999666831551258,2.1123189188590762e-11,3.331682375113176e-05,2.848719132218238e-19,1.0000666336686257,1
59,2.0204492695667293e-59,0.9999807007832926,1.8721379138184507e-09,1.9297344569537797e-05,2.4254925533988884e-21,1.000038596561277,1
60,7.095731254581742e-22,0.9999584752321196,5.146558818805478e-40,4.1524767880469263e-05,7.5485600744817635e-19,1.0000830495357609,1
61,1.448869888112612e-12,0.9999524811481723,1.4675048392691239e-18,4.7518850378935266e-05,1.3061223786608104e-21,1.000095037699309,1
62,9.414422894180325e-23,0.999947504259876,9.482572263158187e-08,5.24009144013122e-05,1.796155320242225e-23,1.0001048966545252,1
63,2.2335171657594643e-60,0.9999827799775032,7.824379258060807e-07,1.6437584570962466e-05,6.691706392978659e-20,1.0000336576070676,1
64,2.4495562966343587e-42,0.00016700067782085461,0.9998305185372754,2.4807849036652614e-06,1.4615233536149403e-59,1.9998354801070828,2
65,1.2339084183322114e-36,2.810604819187078e-11,0.9999999997809171,1.9097685725757247e-10,2.878057098974347e-81,2.0000000001628706,2
66,1.1699590875573536e-58,0.0,4.5766878527496744e-17,0.9999999999999976,2.515854121726276e-15,3.000000000000003,3
67,1.3540468117208955e-27,0.9999621023393994,3.2041766688744633e-43,3.7897660600566694e-05,2.7575119273743114e-21,1.0000757953212012,1
68,1.7072004364591942e-11,0.0,1.3598897001893007e-45,0.9999999999829271,9.839682085104667e-16,2.9999999999487854,3
