day,cluster,cluster0,cluster1,cluster2,cluster3,cluster4,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.2328767123287671,0.35342465753424657,0.043835616438356165,0.3150684931506849,0.0547945205479452,18.18705882352941,11.778823529411765,86.77999999999999,4.698564705882354,6.176823529411766,63.796470588235316,463.6858823529411,49.166773702422155,36.70137301038062,-38.25990588235294,-9.873362103806228,-11.450417577854672,-96.02886920415226,-42.73606505190312,36.70137301038062,31.70943391003459,-22.83748235294118,-1.1010480415224908,-4.326455501730105,-59.57678062283736,-30.905946020761245,-38.25990588235294,-22.83748235294118,113.84536470588233,32.56869482352941,18.74586588235294,141.05839999999986,54.739247058823565,-9.873362103806228,-1.1010480415224908,32.56869482352941,150.4269467869895,34.08661720553634,46.36060669896194,-74.28796496885815,-11.450417577854672,-4.326455501730105,18.74586588235294,34.08661720553634,27.61809932179931,33.85511820069205,-8.18904484429066,-96.02886920415226,-59.57678062283736,141.05839999999986,46.36060669896194,33.85511820069205,403.84151695501737,102.1283031141869,-42.73606505190312,-30.905946020761245,54.739247058823565,-74.28796496885815,-8.18904484429066,102.1283031141869,468.50121245674734
0,1,0.2328767123287671,0.35342465753424657,0.043835616438356165,0.3150684931506849,0.0547945205479452,27.44496124031008,13.904651162790696,61.09612403100774,0.5249612403100774,1.1632558139534883,7.793798449612404,551.7906976744188,70.97193197524187,57.354907157021856,-3.8572675920918207,0.5511428279550511,-2.0640378583017838,4.23151913947479,-18.752527492338217,57.354907157021856,55.57548224265366,-0.971532359834146,0.7534001802776273,0.03043446908238651,17.129718766901032,-23.567088516315152,-3.8572675920918207,-0.971532359834146,128.90843458926753,9.3866727179857,7.37008238687579,40.6784255753861,9.316863169280625,0.5511428279550511,0.7534001802776273,9.3866727179857,15.703991990745742,4.185465552550931,9.368957899164712,-0.2296212907878233,-2.0640378583017838,0.03043446908238651,7.37008238687579,4.185465552550931,5.647914981070852,6.88225274923382,2.8097434649359956,4.23151913947479,17.129718766901032,40.6784255753861,9.368957899164712,6.88225274923382,99.81329487410615,-19.205406526050155,-18.752527492338217,-23.567088516315152,9.316863169280625,-0.2296212907878233,2.8097434649359956,-19.205406526050155,397.74270416441334
0,2,0.2328767123287671,0.35342465753424657,0.043835616438356165,0.3150684931506849,0.0547945205479452,17.718749999999996,10.36875,82.325,3.551375,6.510625,55.0,353.0937500000001,35.7927734375,26.719335937499995,8.37078125,-5.927725781249997,-2.9327617187499975,-67.98124999999999,100.93386718749997,26.719335937499995,23.4546484375,12.875156250000007,1.4898492187499999,3.5655195312500005,-24.156250000000007,138.71480468749996,8.37078125,12.875156250000007,155.854375,33.075959375000004,45.24598437500001,208.44312499999998,151.71515625000006,-5.927725781249997,1.4898492187499999,33.075959375000004,25.548784109375,22.377440390624997,74.33491874999999,105.19686484374998,-2.9327617187499975,3.5655195312500005,45.24598437500001,22.377440390624997,28.144755859375003,96.76250000000002,130.17600390625,-67.98124999999999,-24.156250000000007,208.44312499999998,74.33491874999999,96.76250000000002,671.21125,420.421875,100.93386718749997,138.71480468749996,151.71515625000006,105.19686484374998,130.17600390625,420.421875,2731.9868359374987
0,3,0.2328767123287671,0.35342465753424657,0.043835616438356165,0.3150684931506849,0.0547945205479452,20.473913043478262,10.421739130434782,79.02956521739132,1.128608695652174,3.0438260869565212,35.67478260869565,511.1391304347827,61.3061020793951,46.68587145557654,-43.930359168241964,-5.837748468809073,-7.218726275992438,-68.03535349716446,-50.89454442344047,46.68587145557654,44.19057088846882,-24.270034026465023,-0.6831027977315685,0.1523689981096411,-11.9856257088847,-32.15928544423437,-43.930359168241964,-24.270034026465023,163.0704302457467,14.71644896030246,17.56182601134216,196.25274555765594,81.78066918714552,-5.837748468809073,-0.6831027977315685,14.71644896030246,16.66249656862005,9.089847410207936,39.382360567107746,11.894032703213616,-7.218726275992438,0.1523689981096411,17.56182601134216,9.089847410207936,18.816286230623824,50.503748657845,11.255928544423433,-68.03535349716446,-11.9856257088847,196.25274555765594,39.382360567107746,50.503748657845,561.859624952741,149.47907372400752,-50.89454442344047,-32.15928544423437,81.78066918714552,11.894032703213616,11.255928544423433,149.47907372400752,302.6077731568999
0,4,0.2328767123287671,0.35342465753424657,0.043835616438356165,0.3150684931506849,0.0547945205479452,18.51,7.44,77.03,0.015349999999999999,0.833,27.03,746.8599999999999,104.85090000000002,79.1876,-63.1043,0.18720649999999997,10.52912,-79.77730000000001,-58.15110000000002,79.1876,69.6124,-45.13669999999998,0.22049599999999997,12.253429999999998,-13.84669999999998,-23.586399999999998,-63.1043,-45.13669999999998,238.0721,-0.052720500000000094,-3.14874,245.00009999999992,5.846699999999997,0.18720649999999997,0.22049599999999997,-0.052720500000000094,0.004415827500000001,0.11507894999999999,0.4232545000000001,0.2170490000000001,10.52912,12.253429999999998,-3.14874,0.11507894999999999,6.245000999999999,16.88491,11.77862,-79.77730000000001,-13.84669999999998,245.00009999999992,0.4232545000000001,16.88491,964.9640999999999,69.28770000000002,-58.15110000000002,-23.586399999999998,5.846699999999997,0.2170490000000001,11.77862,69.28770000000002,979.1574000000003
1,0,0.22788752244398314,0.354590067863598,0.04615502929137096,0.31649917466416333,0.054868205736884265,18.21392425371655,11.886501318870787,88.24685279507761,6.035709969587104,6.6211288703954745,64.95896928710928,466.8351268529891,48.27588748274804,34.6022136749973,-38.406497737103265,-3.438855561854712,-12.409512723947612,-107.88058808525791,-34.85473895808834,34.6022136749973,28.919720813110633,-22.646048813707143,1.9383067839463548,-5.248882626945444,-65.6113661088938,-26.092514773693136,-38.406497737103265,-22.646048813707143,81.1264003651553,26.853761511832207,18.165244682386554,130.09501097656172,67.38934926533388,-3.438855561854712,1.9383067839463548,26.853761511832207,178.08636769333486,38.42026899784664,27.83531956602558,-9.80934054035044,-12.409512723947612,-5.248882626945444,18.165244682386554,38.42026899784664,29.392617514311805,37.37349703527369,10.010652705126844,-107.88058808525791,-65.6113661088938,130.09501097656172,27.83531956602558,37.37349703527369,423.68265222272305,90.32796601103443,-34.85473895808834,-26.092514773693136,67.38934926533388,-9.80934054035044,10.010652705126844,90.32796601103443,696.8007871625089
1,1,0.22788752244398314,0.354590067863598,0.04615502929137096,0.31649917466416333,0.054868205736884265,27.48827354930908,13.871710851458952,60.75147118755687,0.06938725656983082,0.977181397345744,7.3858195940256675,550.0547149449912,71.18283515004016,58.26023134330509,-3.663478957178654,-0.24325931918538707,-1.4075053703546925,7.3073144931654985,-16.28627034388475,58.26023134330509,56.70661667378245,-0.5966395002082535,-0.1376380689805029,-0.009786361106333881,17.600191212281345,-22.382763234173375,-3.663478957178654,-0.5966395002082535,119.59521853533046,0.36497708949915064,5.226498958016853,30.80846018051075,0.4621666482732006,-0.24325931918538707,-0.1376380689805029,0.36497708949915064,0.24190252806355347,0.3213842205755291,0.9716734902959863,0.8155093353826991,-1.4075053703546925,-0.009786361106333881,5.226498958016853,0.3213842205755291,3.9986538611454185,3.0594479674843256,4.367414466997034,7.3073144931654985,17.600191212281345,30.80846018051075,0.9716734902959863,3.0594479674843256,80.93617688726691,-33.25801017994931,-16.28627034388475,-22.382763234173375,0.4621666482732006,0.8155093353826991,4.367414466997034,-33.25801017994931,475.417423868459
1,2,0.22788752244398314,0.354590067863598,0.04615502929137096,0.31649917466416333,0.054868205736884265,17.69209772921062,10.41120024683016,81.68409098155921,3.401376957431403,6.411380445629369,54.39209807524186,357.9991268365771,38.39778612349356,28.475873708623258,8.604208492650736,-6.972057761803264,-4.887521692087089,-70.79272622610365,95.16615486244,28.475873708623258,24.642368522899687,11.979315719384063,0.20763838188688238,1.872549380872674,-28.07627075098374,138.26406855360057,8.604208492650736,11.979315719384063,162.90131630325672,33.02747806192079,45.24656754764403,212.2680006153095,90.60648519896898,-6.972057761803264,0.20763838188688238,33.02747806192079,23.70846727222237,21.71149996152029,74.05700198722494,91.1776141992659,-4.887521692087089,1.872549380872674,45.24656754764403,21.71149996152029,28.38444667047415,96.69008300597045,118.69191325478866,-70.79272622610365,-28.07627075098374,212.2680006153095,74.05700198722494,96.69008300597045,663.8940259208839,348.8017939750437,95.16615486244,138.26406855360057,90.60648519896898,91.1776141992659,118.69191325478866,348.8017939750437,3048.8052030814524
1,3,0.22788752244398314,0.354590067863598,0.04615502929137096,0.31649917466416333,0.054868205736884265,20.364548542233006,10.381769049384994,78.62158478067134,0.739112708468034,2.978455864210037,35.794722990886854,510.33851354445545,60.45750667678089,46.958552553539036,-38.675026453203294,-3.9540044349424135,-4.898436004956024,-57.30653300461326,-43.5164749754897,46.958552553539036,44.67896025004464,-26.111027723531425,-1.6060065424963668,1.0263269312228414,-10.312082548448169,-30.44674153322919,-38.675026453203294,-26.111027723531425,163.55121282798748,7.367101541315233,9.941259722907738,160.85062301566367,84.3790907629168,-3.9540044349424135,-1.6060065424963668,7.367101541315233,7.4862333404288375,5.138765713133488,18.08660082871523,12.452198862128235,-4.898436004956024,1.0263269312228414,9.941259722907738,5.138765713133488,16.651212716857867,34.35690991799394,5.7351367128871535,-57.30653300461326,-10.312082548448169,160.85062301566367,18.08660082871523,34.35690991799394,504.62047423755524,97.87079167424139,-43.5164749754897,-30.44674153322919,84.3790907629168,12.452198862128235,5.7351367128871535,97.87079167424139,418.3728903060849
1,4,0.22788752244398314,0.354590067863598,0.04615502929137096,0.31649917466416333,0.054868205736884265,18.534875793768364,7.456173877258816,77.00652091762824,0.015330531738569247,0.8319698197564854,27.001824555363406,746.6768303292181,105.21660879199318,79.41494454355974,-63.48929242461163,0.18658105585563375,10.494849578000599,-80.19253010968164,-61.43535993390836,79.41494454355974,69.73927886738838,-45.38397960407989,0.2199570426766453,12.223912833978789,-14.166533217878218,-25.739066973558923,-63.48929242461163,-45.38397960407989,238.19648433407974,-0.052280849971854775,-3.1242900469537846,245.17766252106045,9.008356959072696,0.18658105585563375,0.2199570426766453,-0.052280849971854775,0.0044102400241506756,0.11494402234802872,0.4231361027074675,0.21937197282648999,10.494849578000599,12.223912833978789,-3.1242900469537846,0.11494402234802872,6.237766678667185,16.887070768528528,11.900241139253962,-80.19253010968164,-14.166533217878218,245.17766252106045,0.4231361027074675,16.887070768528528,964.2893988920503,73.01020828262615,-61.43535993390836,-25.739066973558923,9.008356959072696,0.21937197282648999,11.900241139253962,73.01020828262615,1002.8230804827019
