day,cluster,cluster0,cluster1,temp_mu,windspeed_mu,precip_mu,cloudcover_mu,visibility_mu,sealevelpressure_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.5013698630136987,0.4986301369863014,15.287978142076499,14.421857923497273,3.179081967213113,52.52568306010925,9.383606557377046,1015.3912568306013,472.497267759563,43.79428170444028,25.117038729134933,-6.326354205858633,-85.74919943862163,2.638710024187046,-6.00343844247366,0.6886010331750769,25.117038729134933,66.54203589238264,4.234496022574573,-67.34799307235211,2.9903036818059685,-21.976967362417557,-39.59054137179374,-6.326354205858633,4.234496022574573,84.60093245776237,66.95586128280925,-2.5772166890620807,-29.212000922691093,-47.932281743258926,-85.74919943862163,-67.34799307235211,66.95586128280925,652.7375371017351,-14.08018005912389,-42.856933918600134,-47.14217026486306,2.638710024187046,2.9903036818059685,-2.5772166890620807,-14.08018005912389,1.6644307085908805,0.7694195108841752,-5.692285227985311,-6.00343844247366,-21.976967362417557,-29.212000922691093,-42.856933918600134,0.7694195108841752,63.84571590671565,56.36904714981034,0.6886010331750769,-39.59054137179374,-47.932281743258926,-47.14217026486306,-5.692285227985311,56.36904714981034,2323.920812206993
0,1,0.5013698630136987,0.4986301369863014,18.410439560439553,15.57362637362637,0.3969505494505494,12.852197802197797,9.935164835164837,1019.0873626373626,568.6538461538461,72.85851738920418,38.467692911484136,1.0085378788793624,-20.022907559473495,0.6346878396328947,-32.209813126434035,-115.10979289940833,38.467692911484136,52.58831542084296,-0.1525683371573478,-24.19752445356841,0.6851032483999545,-18.658575051322313,-97.34836010143694,1.0085378788793624,-0.1525683371573478,11.19422538766453,4.983967965825384,0.01174734331602465,-3.4710693062432125,-7.13478250211328,-20.022907559473495,-24.19752445356841,4.983967965825384,278.0815061586767,-1.49139596667069,-10.167362335466745,268.8504860524094,0.6346878396328947,0.6851032483999545,0.01174734331602465,-1.49139596667069,0.0857964014007969,-0.2370830817534122,-5.065464919695688,-32.209813126434035,-18.658575051322313,-3.4710693062432125,-10.167362335466745,-0.2370830817534122,38.410224912450204,55.89529585798772,-115.10979289940833,-97.34836010143694,-7.13478250211328,268.8504860524094,-5.065464919695688,55.89529585798772,4418.52567202029
1,0,0.39092314452654175,0.6090768554734579,13.703288669992121,13.543558535568746,4.4342522512938904,61.692578183640165,9.180239771322936,1014.7444337154501,473.92627800026145,29.246526880989506,21.832037098131263,1.5356612957626574,-37.17779184189013,2.3071251786336613,-3.0339877294067974,-6.180306081158607,21.832037098131263,67.16414179171377,9.579803099960932,-42.58107008794608,3.4475350770307074,-27.757214371609617,-68.950368686906,1.5356612957626574,9.579803099960932,115.8339824802427,35.706129740918364,-2.191464199066717,-37.685481507483644,-36.25844766898589,-37.17779184189013,-42.58107008794608,35.706129740918364,398.53749255180986,-10.045343487107223,-28.41846006669427,-89.14327238614149,2.3071251786336613,3.4475350770307074,-2.191464199066717,-10.045343487107223,2.024746832130492,0.3863000412919653,-10.0786850617349,-3.0339877294067974,-27.757214371609617,-37.685481507483644,-28.41846006669427,0.3863000412919653,70.24374580029264,63.39172039814747,-6.180306081158607,-68.950368686906,-36.25844766898589,-89.14327238614149,-10.0786850617349,63.39172039814747,2913.3733817089305
1,1,0.39092314452654175,0.6090768554734579,18.861328757420967,15.928488836136061,0.09584268887576054,14.162795608165487,9.96567491200234,1018.8322804913008,550.3001497015883,70.52650899080344,34.82233714664861,-0.1852992666598382,-18.12359085411213,0.33405004160790824,-32.86926264650633,-120.46604596462915,34.82233714664861,53.04028997741848,-0.05825654141134102,-22.360713653096358,0.3381193140055859,-17.614257074208197,-93.77826612280577,-0.1852992666598382,-0.05825654141134102,0.2782711510107152,0.9734508886332951,-0.0030675966532738488,0.011937870626668392,-2.3012592975792976,-18.12359085411213,-22.360713653096358,0.9734508886332951,272.0946620909797,-0.7517376510443892,-9.59586806867317,91.7438891684406,0.33405004160790824,0.3381193140055859,-0.0030675966532738488,-0.7517376510443892,0.02449932140581108,-0.2270650361758792,-4.045180496002931,-32.86926264650633,-17.614257074208197,0.011937870626668392,-9.59586806867317,-0.2270650361758792,37.99089696486893,75.30322265117623,-120.46604596462915,-93.77826612280577,-2.3012592975792976,91.7438891684406,-4.045180496002931,75.30322265117623,5175.226310856844
2,0,0.29405187796213433,0.7059481220378657,12.621186768220083,12.844385205559943,5.967050189766367,66.68117595702432,8.890178939857394,1014.3387042880087,481.1808714420399,23.378237079455914,19.469419401289517,8.924096174178676,-20.323548295242542,2.046902335493117,-5.101355146237839,-42.77314407177754,19.469419401289517,66.3058727631184,17.126203298644793,-25.800635866872177,3.994503862198462,-32.68531475894631,-102.46898130477295,8.924096174178676,17.126203298644793,145.02683066453682,15.225182064020224,-1.1338404248917822,-47.244129540831516,-88.67252392950193,-20.323548295242542,-25.800635866872177,15.225182064020224,382.5826777421045,-6.897409674238865,-38.88218069300738,-420.7457126475967,2.046902335493117,3.994503862198462,-1.1338404248917822,-6.897409674238865,2.381399252823627,-0.2726511946137831,-10.774764110614223,-5.101355146237839,-32.68531475894631,-47.244129540831516,-38.88218069300738,-0.2726511946137831,85.69234575395757,166.98141868414248,-42.77314407177754,-102.46898130477295,-88.67252392950193,-420.7457126475967,-10.774764110614223,166.98141868414248,3391.0317353976393
2,1,0.29405187796213433,0.7059481220378657,18.604267687022613,15.892455043595833,0.0527022905844176,18.60698009710376,9.978716713583056,1018.4403403671226,536.7982219933203,65.75356695023228,32.810394448177625,-0.16890884581522259,-25.867703253116577,0.16451113530310285,-28.018603608294153,-54.523071518877586,32.810394448177625,54.522341382259825,-0.06784112475871844,-27.2690189001036,0.19311609503684551,-17.341401390762922,-64.8246524159755,-0.16890884581522259,-0.06784112475871844,0.037592905607341034,0.21189373940096107,-9.143209063421605e-05,-0.027771285444540193,-0.15786939102166114,-25.867703253116577,-27.2690189001036,0.21189373940096107,378.4422157159859,-0.5415311730198721,-15.36989481809739,-233.06782607029243,0.16451113530310285,0.19311609503684551,-9.143209063421605e-05,-0.5415311730198721,0.010062771840881056,-0.09838261781893279,-2.1532067040707252,-28.018603608294153,-17.341401390762922,-0.027771285444540193,-15.36989481809739,-0.09838261781893279,36.67096188144276,68.74068630708688,-54.523071518877586,-64.8246524159755,-0.15786939102166114,-233.06782607029243,-2.1532067040707252,68.74068630708688,5723.6465392155005
3,0,0.2560510864638833,0.743948913536117,12.229583087839796,12.762932652305329,6.900188253827621,63.58554282604828,8.70948788719847,1014.2867715961652,488.3466515841552,24.452127327924604,20.876479031170703,12.924504920873405,-16.858205521287072,1.9278321282911601,-10.675617957885141,-74.03672096348716,20.876479031170703,68.16288406562627,20.25344312872418,-15.343425999328057,4.6225897190742895,-36.2934920509926,-155.1770721594085,12.924504920873405,20.25344312872418,159.9054834514882,36.203163678319896,-0.004273031312696411,-53.45430813793045,-148.29570904770134,-16.858205521287072,-15.343425999328057,36.203163678319896,534.4159893757667,-11.435950448806253,-75.97445348970844,-533.8498640584011,1.9278321282911601,4.6225897190742895,-0.004273031312696411,-11.435950448806253,2.498953406287673,-0.6300246056994415,-6.85411763876267,-10.675617957885141,-36.2934920509926,-53.45430813793045,-75.97445348970844,-0.6300246056994415,95.19438563756324,269.4407574762152,-74.03672096348716,-155.1770721594085,-148.29570904770134,-533.8498640584011,-6.85411763876267,269.4407574762152,4957.37636758156
3,1,0.2560510864638833,0.743948913536117,18.433434367186344,15.764794326706292,0.033640344930984806,22.128052138661054,9.985304320986101,1018.248703558895,531.49099046049,63.35316816206013,31.964854143004047,-0.04758640891780288,-41.18026908335506,0.0922873946206103,-24.375437454684132,-18.84607319439881,31.964854143004047,54.7701871082955,-0.018267743293769515,-39.81519179772247,0.11629651257116387,-16.44009374299786,-34.4655503841566,-0.04758640891780288,-0.018267743293769515,0.010429011000479686,0.20498703224333234,-5.577538584439018e-05,-0.10524159461197129,-0.08716424054756439,-41.18026908335506,-39.81519179772247,0.20498703224333234,531.1931355192651,-0.3629222158064861,-16.76798001259875,-491.8028457583214,0.0922873946206103,0.11629651257116387,-5.577538584439018e-05,-0.3629222158064861,0.004583144905304696,-0.03272792042962639,-1.1441124243799274,-24.375437454684132,-16.44009374299786,-0.10524159461197129,-16.76798001259875,-0.03272792042962639,36.579628663566645,58.37976710359258,-18.84607319439881,-34.4655503841566,-0.08716424054756439,-491.8028457583214,-1.1441124243799274,58.37976710359258,5451.898942535621
4,0,0.27302201129231557,0.7269779887076839,12.281666785059317,12.595173883244682,6.495937047628472,61.506266349251156,8.769579558458897,1014.4294221616267,496.7631360787732,26.684556379415234,21.16726597974017,11.823214211879844,-20.208196608723334,1.8969818970245866,-9.756090768892257,-77.54505165178229,21.16726597974017,66.0010133902697,20.08396776600861,-7.631567824884458,4.240828973091912,-35.14510177262228,-191.07115847506807,11.823214211879844,20.08396776600861,152.43660078936787,46.57408965005182,-0.3635332354958241,-51.0525541727123,-192.52018257356906,-20.208196608723334,-7.631567824884458,46.57408965005182,597.7928114510397,-13.078892869247344,-78.86376794484754,-669.103671344701,1.8969818970245866,4.240828973091912,-0.3635332354958241,-13.078892869247344,2.4011727445425946,-0.5251002990779736,0.3978468570174409,-9.756090768892257,-35.14510177262228,-51.0525541727123,-78.86376794484754,-0.5251002990779736,90.98620137725051,290.3617902731719,-77.54505165178229,-191.07115847506807,-192.52018257356906,-669.103671344701,0.3978468570174409,290.3617902731719,6390.048922110827
4,1,0.27302201129231557,0.7269779887076839,18.558699642549158,15.897874291801898,0.025163897081673922,21.94113628369184,9.992519719422829,1018.2876193247922,529.3372991284159,62.75040006359467,31.33421981177256,-0.009572038003078586,-40.07718313287593,0.03913657856240437,-25.212183614997645,-1.9298413804293473,31.33421981177256,54.65255449795033,0.005865022419419865,-40.21580019786961,0.055258297734682944,-16.77053804263665,-13.603574688028887,-0.009572038003078586,0.005865022419419865,0.005583628630053591,0.16308160030751884,7.693220993580692e-07,-0.07412666296515343,-0.09752915776474229,-40.07718313287593,-40.21580019786961,0.16308160030751884,530.2822283588698,-0.13627246655403094,-15.662538212277642,-556.833458120075,0.03913657856240437,0.055258297734682944,7.693220993580692e-07,-0.13627246655403094,0.0012543594634673388,-0.021926543468998028,-0.18735627823690368,-25.212183614997645,-16.77053804263665,-0.07412666296515343,-15.662538212277642,-0.021926543468998028,36.84062868175095,56.07269073077271,-1.9298413804293473,-13.603574688028887,-0.09752915776474229,-556.833458120075,-0.18735627823690368,56.07269073077271,5123.4440018936
