day,cluster0,cluster1,weighted_mean,max
0,1.0,0.0,0.0,0
1,0.00020429046383619253,0.9997957095361638,0.9997957095361638,1
2,0.9999999340175251,6.598247497078207e-08,6.598247497078207e-08,0
3,0.15614827775238074,0.8438517222476193,0.8438517222476193,1
4,1.0,0.0,0.0,0
5,1.0,0.0,0.0,0
6,1.0,3.800799839446513e-23,3.800799839446513e-23,0
7,1.0,5.389049186568667e-177,5.389049186568667e-177,0
8,1.0,0.0,0.0,0
9,0.0005514153578809927,0.999448584642119,0.999448584642119,1
10,0.9477582758532975,0.05224172414670248,0.05224172414670248,0
11,6.70110677286279e-06,0.9999932988932272,0.9999932988932272,1
12,0.9901690316991326,0.00983096830086738,0.00983096830086738,0
13,1.0,0.0,0.0,0
14,1.9016429690707486e-05,0.9999809835703093,0.9999809835703093,1
15,1.0,2.698728564245796e-231,2.698728564245796e-231,0
16,1.0,0.0,0.0,0
17,1.0,7.035041474057507e-18,7.035041474057507e-18,0
18,7.736432875091353e-06,0.9999922635671249,0.9999922635671249,1
19,1.0,0.0,0.0,0
20,1.0,0.0,0.0,0
21,7.4728112855023405e-06,0.9999925271887145,0.9999925271887145,1
22,1.4726467722272924e-05,0.9999852735322777,0.9999852735322777,1
23,1.0,4.269921659004564e-125,4.269921659004564e-125,0
24,2.441005410066308e-05,0.9999755899458993,0.9999755899458993,1
25,1.0,3.4087241386705624e-19,3.4087241386705624e-19,0
26,1.0,5.056056717915438e-47,5.056056717915438e-47,0
27,0.0002195607507360205,0.9997804392492641,0.9997804392492641,1
28,2.560796406387124e-05,0.9999743920359361,0.9999743920359361,1
29,0.002064557741332116,0.9979354422586678,0.9979354422586678,1
30,0.9999999999999722,2.773253392156171e-14,2.773253392156171e-14,0
31,4.175862369298301e-05,0.999958241376307,0.999958241376307,1
32,5.687645229331794e-05,0.9999431235477066,0.9999431235477066,1
33,1.0,3.10548899343529e-309,3.10548899343529e-309,0
34,0.002354618069760342,0.9976453819302395,0.9976453819302395,1
35,1.0,0.0,0.0,0
36,1.1619958760940831e-05,0.9999883800412389,0.9999883800412389,1
37,0.9999999934044617,6.5955382982727344e-09,6.5955382982727344e-09,0
38,5.863410298276169e-06,0.9999941365897017,0.9999941365897017,1
39,1.4430964607875837e-05,0.999985569035392,0.999985569035392,1
40,3.0360473139263246e-05,0.9999696395268607,0.9999696395268607,1
41,4.052260093439317e-05,0.9999594773990657,0.9999594773990657,1
42,2.379947018490228e-05,0.9999762005298151,0.9999762005298151,1
43,2.3495675908952585e-05,0.999976504324091,0.999976504324091,1
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,1.0,0.0,0.0,0
47,0.999658513850072,0.00034148614992801635,0.00034148614992801635,0
48,9.91649551230778e-05,0.9999008350448769,0.9999008350448769,1
49,0.00011845853804075696,0.9998815414619593,0.9998815414619593,1
50,3.560535112627146e-05,0.9999643946488738,0.9999643946488738,1
51,1.0,0.0,0.0,0
52,2.0256788426349666e-05,0.9999797432115737,0.9999797432115737,1
53,1.3768350023370384e-05,0.9999862316499766,0.9999862316499766,1
54,8.813568182746503e-06,0.9999911864318173,0.9999911864318173,1
