day,cluster0,cluster1,weighted_mean,max
0,0.027087447622156254,0.9729125523778438,0.9729125523778438,1
1,3.926247933810987e-06,0.9999960737520662,0.9999960737520662,1
2,0.9716320150419511,0.028367984958048913,0.028367984958048913,0
3,0.9999994885474246,5.114525753896083e-07,5.114525753896083e-07,0
4,1.0,0.0,0.0,0
5,1.0,0.0,0.0,0
6,1.0,2.463432374876455e-93,2.463432374876455e-93,0
7,1.0,0.0,0.0,0
8,1.0,0.0,0.0,0
9,0.02207007171986625,0.9779299282801337,0.9779299282801337,1
10,0.9999999999999996,3.303817170464328e-16,3.303817170464328e-16,0
11,8.159286840789314e-08,0.9999999184071315,0.9999999184071315,1
12,1.0,1.4888495752700014e-20,1.4888495752700014e-20,0
13,1.0,0.0,0.0,0
14,7.735176642234497e-07,0.9999992264823359,0.9999992264823359,1
15,3.253630782769673e-05,0.9999674636921723,0.9999674636921723,1
16,1.1611917001769034e-06,0.9999988388082998,0.9999988388082998,1
17,0.9999997191319,2.808680999466024e-07,2.808680999466024e-07,0
18,4.647051463752955e-06,0.9999953529485363,0.9999953529485363,1
19,1.0,0.0,0.0,0
20,1.8092120906722618e-05,0.9999819078790934,0.9999819078790934,1
21,8.518554191907976e-07,0.9999991481445808,0.9999991481445808,1
22,1.1202969949510815e-09,0.9999999988797029,0.9999999988797029,1
23,1.1977280402916131e-09,0.999999998802272,0.999999998802272,1
24,8.201996771384072e-09,0.9999999917980033,0.9999999917980033,1
25,5.812640333206461e-08,0.9999999418735966,0.9999999418735966,1
26,4.889705324598314e-08,0.9999999511029468,0.9999999511029468,1
27,1.229270711659238e-06,0.9999987707292883,0.9999987707292883,1
28,8.099575587240315e-08,0.9999999190042441,0.9999999190042441,1
29,7.429389605483162e-08,0.999999925706104,0.999999925706104,1
30,7.970637166552741e-09,0.9999999920293628,0.9999999920293628,1
31,3.4630141966976053e-07,0.9999996536985802,0.9999996536985802,1
32,1.7780995170370838e-08,0.9999999822190049,0.9999999822190049,1
33,5.193427171463109e-07,0.9999994806572827,0.9999994806572827,1
34,0.04477055065196291,0.9552294493480371,0.9552294493480371,1
35,1.0,0.0,0.0,0
36,3.2628061843662082e-06,0.9999967371938157,0.9999967371938157,1
37,1.0,4.28694317629146e-45,4.28694317629146e-45,0
38,1.9701336596975474e-05,0.9999802986634031,0.9999802986634031,1
39,7.227384426937949e-06,0.9999927726155731,0.9999927726155731,1
40,2.0311312731599615e-05,0.9999796886872684,0.9999796886872684,1
41,2.5683353833420135e-05,0.9999743166461665,0.9999743166461665,1
42,1.2440955683249581e-05,0.9999875590443168,0.9999875590443168,1
43,2.9418995586790528e-05,0.9999705810044132,0.9999705810044132,1
44,1.0,0.0,0.0,0
45,1.0,0.0,0.0,0
46,0.9999968095861743,3.1904138257011676e-06,3.1904138257011676e-06,0
47,0.037098298046290334,0.9629017019537096,0.9629017019537096,1
