day,cluster,cluster0,cluster1,cluster2,tempmax_mu,tempmin_mu,humidity_mu,precip_mu,precipcover_mu,cloudcover_mu,solarradiation_mu,sigma00,sigma01,sigma02,sigma03,sigma04,sigma05,sigma06,sigma10,sigma11,sigma12,sigma13,sigma14,sigma15,sigma16,sigma20,sigma21,sigma22,sigma23,sigma24,sigma25,sigma26,sigma30,sigma31,sigma32,sigma33,sigma34,sigma35,sigma36,sigma40,sigma41,sigma42,sigma43,sigma44,sigma45,sigma46,sigma50,sigma51,sigma52,sigma53,sigma54,sigma55,sigma56,sigma60,sigma61,sigma62,sigma63,sigma64,sigma65,sigma66
0,0,0.0547945205479452,0.3589041095890411,0.5863013698630137,18.51,7.44,77.03,0.015349999999999999,0.833,27.03,746.8599999999999,104.85090000000002,79.1876,-63.1043,0.18720649999999997,10.52912,-79.77730000000001,-58.15110000000002,79.1876,69.6124,-45.13669999999998,0.22049599999999997,12.253429999999998,-13.84669999999998,-23.586399999999998,-63.1043,-45.13669999999998,238.0721,-0.052720500000000094,-3.14874,245.00009999999992,5.846699999999997,0.18720649999999997,0.22049599999999997,-0.052720500000000094,0.004415827500000001,0.11507894999999999,0.4232545000000001,0.2170490000000001,10.52912,12.253429999999998,-3.14874,0.11507894999999999,6.245000999999999,16.88491,11.77862,-79.77730000000001,-13.84669999999998,245.00009999999992,0.4232545000000001,16.88491,964.9640999999999,69.28770000000002,-58.15110000000002,-23.586399999999998,5.846699999999997,0.2170490000000001,11.77862,69.28770000000002,979.1574000000003
0,1,0.0547945205479452,0.3589041095890411,0.5863013698630137,18.36030534351145,11.278625954198466,85.98244274809161,3.8103435114503803,5.884503816793894,59.89312977099237,457.90763358778645,50.63720296020043,36.80709049589186,-39.05642211992304,-9.563727585805026,-11.387561680554741,-102.13576889458658,-19.095956529339798,36.80709049589186,32.54641337917372,-20.72686381912476,-0.5715972379231973,-3.058025872618147,-48.79816211176506,-5.265943709574043,-39.05642211992304,-20.72686381912476,122.90037876580625,29.631076260124697,23.217163044111643,178.8961389196434,135.90631723093065,-9.563727585805026,-0.5715972379231973,29.631076260124697,105.68775552322117,28.152723185711817,55.791419153895475,-44.93986445428588,-11.387561680554741,-3.058025872618147,23.217163044111643,28.152723185711817,27.530169791970202,54.30303094225277,3.1949350853679928,-102.13576889458658,-48.79816211176506,178.8961389196434,55.791419153895475,54.30303094225277,532.6298001281975,212.59142649029778,-19.095956529339798,-5.265943709574043,135.90631723093065,-44.93986445428588,3.1949350853679928,212.59142649029778,2420.6785676825352
0,2,0.0547945205479452,0.3589041095890411,0.5863013698630137,24.8556074766355,12.531775700934574,67.28785046728972,0.7222196261682243,1.6749065420560743,16.657476635514012,537.5649532710279,76.93882369639263,58.98304611756485,-39.22876364748013,-2.343286979212158,-4.708712092759191,-46.73553257926458,25.428818019040975,58.98304611756485,54.815999650624505,-21.406810201764337,0.20918227356101007,-0.3545017032055203,-7.743975893091098,2.3895248493318144,-39.22876364748013,-21.406810201764337,198.0532168748362,12.763956406673078,13.161022229015634,158.44691326753434,-88.17743514717453,-2.343286979212158,0.20918227356101007,12.763956406673078,16.536142778867166,5.92138144575945,22.66632148877631,-0.4616885645034516,-4.708712092759191,-0.3545017032055203,13.161022229015634,5.92138144575945,9.853180131452536,22.192161913704254,-5.093159817451315,-46.73553257926458,-7.743975893091098,158.44691326753434,22.66632148877631,22.192161913704254,336.5660889597344,-139.29256507118524,25.428818019040975,2.3895248493318144,-88.17743514717453,-0.4616885645034516,-5.093159817451315,-139.29256507118524,636.1148932221153
1,0,0.05486938001511813,0.3504364984782653,0.5946941215066173,18.534134123152107,7.4555181473651055,77.00640402271077,0.015329067781955598,0.8318643034368378,27.00019278585975,746.6738551492369,105.21475955230291,79.41442358775066,-63.487429420468025,0.18658120126665642,10.494683620230585,-80.17729276074901,-61.32429297953758,79.41442358775066,69.73971119416153,-45.381943334661,0.2199573379684367,12.223806861764608,-14.152832382561941,-25.64115125891443,-63.487429420468025,-45.381943334661,238.1906006729251,-0.052286791051079785,-3.1248094961218635,245.16817449294103,9.029668286228217,0.18658120126665642,0.2199573379684367,-0.052286791051079785,0.004410124122621354,0.11493938768320898,0.4231341121703945,0.21960456563149516,10.494683620230585,12.223806861764608,-3.1248094961218635,0.11493938768320898,6.237428141864647,16.886680937670814,11.917263631935803,-80.17729276074901,-14.152832382561941,245.16817449294103,0.4231341121703945,16.886680937670814,964.2994645858203,73.25826740725135,-61.32429297953758,-25.64115125891443,9.029668286228217,0.21960456563149516,11.917263631935803,73.25826740725135,1003.195723555073
1,1,0.05486938001511813,0.3504364984782653,0.5946941215066173,18.32051144789393,11.532095651044152,87.1998095316935,4.866580925736013,6.54811804424787,62.27717312931837,462.3470553226924,46.63841408295105,33.497810002147816,-36.228214991665126,-5.603274595104106,-11.695179075421253,-103.19360385585553,-6.5282976649365665,33.497810002147816,28.66672144457151,-19.82568737658407,0.559466388279499,-4.282034111384494,-55.70852526595758,8.02470404514361,-36.228214991665126,-19.82568737658407,100.01772311205185,26.3994816484647,22.31808194308549,154.25526820019425,152.48549255712993,-5.603274595104106,0.559466388279499,26.3994816484647,127.14157978380798,30.53616502316548,37.40027458176933,11.622170867866032,-11.695179075421253,-4.282034111384494,22.31808194308549,30.53616502316548,29.283994283948818,45.606889079549774,28.739178917831147,-103.19360385585553,-55.70852526595758,154.25526820019425,37.40027458176933,45.606889079549774,479.22736866225586,219.30234589348692,-6.5282976649365665,8.02470404514361,152.48549255712993,11.622170867866032,28.739178917831147,219.30234589348692,2913.0682132081747
1,2,0.05486938001511813,0.3504364984782653,0.5946941215066173,24.78514494281542,12.36377921728388,66.8376260552828,0.14387013179492536,1.3440068966822853,15.869686625304928,533.8055472242436,79.19694286332452,61.66097982425031,-37.51649247298525,-0.9655669207369014,-2.3791202222291012,-40.751571684653484,39.61513763444171,61.66097982425031,57.113416728130794,-24.405655153363554,-0.45914201165349106,-0.03897689003946968,-10.206788908787232,9.691644463675663,-37.51649247298525,-24.405655153363554,187.56041982931498,0.8622348364606679,3.999273776282349,125.43359639011345,-112.5394290691725,-0.9655669207369014,-0.45914201165349106,0.8622348364606679,0.465138586151105,0.586996739698362,2.6900989456431685,-1.357840609673449,-2.3791202222291012,-0.03897689003946968,3.999273776282349,0.586996739698362,5.663282045194335,6.351556023139622,-7.63000294570811,-40.751571684653484,-10.206788908787232,125.43359639011345,2.6900989456431685,6.351556023139622,272.0194633081937,-197.58507183126582,39.61513763444171,9.691644463675663,-112.5394290691725,-1.357840609673449,-7.63000294570811,-197.58507183126582,852.1565473070904
2,0,0.05479960820445566,0.304528328145458,0.6406720636500861,18.512427914228763,7.4416346732206735,77.02724462104611,0.015348579040161587,0.8329230583837078,27.027096710467042,746.8459838656623,104.88812592836902,79.21090321573632,-63.140457692491196,0.1871518510679047,10.526120682744743,-79.8175294610859,-58.469597592495184,79.21090321573632,69.62590801061707,-45.15880321155332,0.2204504060755018,12.25092923098696,-13.875563483232106,-23.79943496910394,-63.140457692491196,-45.15880321155332,238.08415502467213,-0.05267322456106725,-3.1461458458209206,245.02298972248943,6.201679068731034,0.1871518510679047,0.2204504060755018,-0.05267322456106725,0.004415438208115813,0.11506943910962221,0.42325976800203896,0.21724232171143593,10.526120682744743,12.25092923098696,-3.1461458458209206,0.11506943910962221,6.244485252991416,16.885765549965516,11.789074144135583,-79.8175294610859,-13.875563483232106,245.02298972248943,0.42325976800203896,16.885765549965516,964.9344875886904,69.67436025953988,-58.469597592495184,-23.79943496910394,6.201679068731034,0.21724232171143593,11.789074144135583,69.67436025953988,981.1112721584872
2,1,0.05479960820445566,0.304528328145458,0.6406720636500861,17.356140863032905,11.056011321229496,88.06922932014662,5.746301299886384,7.477532798091728,65.08546922421083,461.3646667008044,39.433621118083984,28.479480056975586,-25.84717615824253,-1.2983693016619002,-8.360668999688693,-84.57167754798317,-17.014745509602495,28.479480056975586,24.589990927633867,-12.312406440186711,2.9682371779911185,-2.996749804134733,-44.12196427557495,6.583030226434473,-25.84717615824253,-12.312406440186711,96.86586486739158,23.69500396358957,20.610968453916975,142.9206362941665,162.8185142750217,-1.2983693016619002,2.9682371779911185,23.69500396358957,141.34687708176773,29.710988033662506,24.41686201619803,26.910790088193252,-8.360668999688693,-2.996749804134733,20.610968453916975,29.710988033662506,27.264211575796057,34.446148258906575,50.75157482971032,-84.57167754798317,-44.12196427557495,142.9206362941665,24.41686201619803,34.446148258906575,429.0560376931158,251.7534077661254,-17.014745509602495,6.583030226434473,162.8185142750217,26.910790088193252,50.75157482971032,251.7534077661254,3316.67190198178
2,2,0.05479960820445566,0.304528328145458,0.6406720636500861,24.781480062706553,12.531132300019406,67.88277084645942,0.06411200924524615,1.2749924115353872,17.859127750937695,529.160512734495,76.9262169852522,60.357867280211735,-39.392569814501485,-0.2608705972984927,-1.3764698334344423,-44.38566684423892,38.24052405542065,60.357867280211735,56.552278488237334,-23.894773188643875,-0.18367568435114442,0.5019940473260985,-9.831345727738505,-1.4378918009628192,-39.392569814501485,-23.894773188643875,194.20390422102514,0.1220294171083274,2.258934083136738,150.99445706057082,-158.46267851675643,-0.2608705972984927,-0.18367568435114442,0.1220294171083274,0.06445644735580802,0.22971892204459618,0.3281044219240644,0.2479864431251918,-1.3764698334344423,0.5019940473260985,2.258934083136738,0.22971892204459618,5.2426892710799935,3.22413546607941,-8.032805801035295,-44.38566684423892,-9.831345727738505,150.99445706057082,0.3281044219240644,3.22413546607941,333.419829064824,-293.2150678368681,38.24052405542065,-1.4378918009628192,-158.46267851675643,0.2479864431251918,-8.032805801035295,-293.2150678368681,1085.6885257529216
3,0,0.054781047166647334,0.2537461693061668,0.6914727835271861,18.511515148085252,7.441537831716823,77.02556087604586,0.015353767337032658,0.8332042034147215,27.02859069630456,746.8828781350916,104.88104625242022,79.20759930192087,-63.11143717033871,0.18722916481955762,10.530437083169486,-79.79992743845234,-58.343670716346814,79.20759930192087,69.62720266103588,-45.13383842744152,0.22052647409306012,12.255149961668167,-13.849714838158091,-23.763135684810063,-63.11143717033871,-45.13383842744152,238.07779453539067,-0.05266524756790404,-3.1458103532007486,245.05245929033362,6.316290184127816,0.18722916481955762,0.22052647409306012,-0.05266524756790404,0.0044168526854028315,0.11510404562463764,0.42337998113628195,0.21675044003644334,10.530437083169486,12.255149961668167,-3.1458103532007486,0.11510404562463764,6.2463607811704644,16.890224644765023,11.762401701898831,-79.79992743845234,-13.849714838158091,245.05245929033362,0.42337998113628195,16.890224644765023,965.2040267515724,69.48176240857691,-58.343670716346814,-23.763135684810063,6.316290184127816,0.21675044003644334,11.762401701898831,69.48176240857691,977.3068746101745
