day,cluster0,cluster1,cluster2,cluster3,weighted_mean,max
0,0.9998633111618437,0.0,6.606514930629285e-08,0.00013662277300700168,0.0004100004493196176,0
1,0.9998844461819832,0.0,4.96120436389019e-08,0.000115504205973033,0.0003466118420063768,0
2,0.0,0.0,1.0,3.8603681735761784e-122,2.0,2
3,0.0,0.0,1.0,0.0,2.0,2
4,0.0,0.0,1.0,1.2330726564361532e-21,2.0,2
5,0.0,0.0,1.7939544450482652e-05,0.9999820604555495,2.999982060455549,3
6,0.0,0.0,0.91640596014102,0.08359403985897992,2.08359403985898,2
7,0.0,0.0,1.0,5.134913041059333e-21,2.0,2
8,0.0,0.0,1.0,1.0500903472170563e-43,2.0,2
9,0.0,0.0,0.001331157183766969,0.998668842816233,2.9986688428162327,3
10,0.999992519275777,0.0,5.030942118118464e-10,7.480221128613143e-06,2.244166957426305e-05,0
11,0.9999950727261943,0.0,1.5640835463027727e-09,4.92570972206374e-06,1.4780257333283825e-05,0
12,0.999999664149824,0.0,9.785788933841448e-17,3.3585017586362937e-07,1.007550527786604e-06,0
13,0.9999989208620749,0.0,6.249221177682948e-16,1.079137924502795e-06,3.2374137747582295e-06,0
14,0.9999941262713171,0.0,1.9770637939540503e-11,5.873708912328078e-06,1.7621166278260115e-05,0
15,0.0,0.0,0.00157143969892595,0.9984285603010741,2.998428560301074,3
16,0.0,0.0,0.9669211322651454,0.0330788677348546,2.033078867734855,2
17,0.0,0.0,0.05025458875832193,0.949745411241678,2.9497454112416777,3
18,0.9999933450151345,0.0,4.777734057696981e-09,6.650207131407791e-06,1.996017686233877e-05,0
19,0.0,0.0,0.9998649746121997,0.000135025387800285,2.0001350253878,2
20,0.0,0.0,0.9999005245129633,9.947548703673111e-05,2.000099475487037,2
21,0.0,0.0,0.9999999954261096,4.57389030611974e-09,2.00000000457389,2
22,0.0,0.0,0.016348013591672365,0.9836519864083276,2.9836519864083275,3
23,0.9999938693354763,0.0,1.9379003233252188e-10,6.130470733789256e-06,1.839179978143243e-05,0
24,0.9999997586959066,0.0,1.7688009821647244e-17,2.413040932919178e-07,7.239122799111293e-07,0
25,0.9999941056261273,0.0,1.7213674720744583e-09,5.892652505117984e-06,1.76814002502981e-05,0
26,0.0,0.0,0.0040161081802985235,0.9959838918197015,2.9959838918197015,3
27,0.0,0.0,0.10451151638170492,0.895488483618295,2.895488483618295,3
28,0.0,0.0,0.002328848599537296,0.9976711514004627,2.9976711514004624,3
29,0.0,0.0,0.011097555800872062,0.988902444199128,2.988902444199128,3
30,0.0,0.0,1.0,4.463997010375233e-57,2.0,2
31,0.0,0.0,1.0,4.794957713014196e-20,2.0,2
32,0.0,1.71221628765e-312,0.9714503558966783,0.02854964410332168,2.0285496441033217,2
33,0.0,0.0,0.00010191451308214547,0.9998980854869178,2.9998980854869175,3
34,0.0,0.0,0.06114942721828707,0.9388505727817129,2.9388505727817127,3
35,0.0,0.0,0.11657192662090567,0.8834280733790943,2.8834280733790947,3
36,0.0,0.0,1.0,1.36561162251088e-225,2.0,2
37,0.0,0.0,0.9999998760653549,1.2393464504667783e-07,2.0000001239346448,2
38,0.0,0.0,0.2301242877574992,0.7698757122425008,2.769875712242501,3
39,0.9999660086775677,0.0,6.169595487847656e-10,3.39907054727234e-05,0.00010197335033726778,0
40,0.9999687520067525,0.0,9.141823946212708e-09,3.123885142352262e-05,9.37348379184603e-05,0
41,0.0,0.0,0.9584211748997593,0.04157882510024061,2.0415788251002405,2
42,0.999995406079424,0.0,7.857792506079838e-10,4.59313479682915e-06,1.3780975948988666e-05,0
43,0.9999991143877623,0.0,2.378767402737268e-14,8.856122139752484e-07,2.6568366895010934e-06,0
44,0.9999995056281903,0.0,1.1209523302261246e-10,4.942597144006425e-07,1.4830033336679727e-06,0
45,0.0,0.0,0.9998494503329656,0.00015054966703449856,2.0001505496670346,2
46,0.0,0.0,0.9999999995828223,4.171777477160796e-10,2.000000000417178,2
47,0.0,0.0,1.0,1.803027164264659e-77,2.0,2
48,0.0,2.727280129711844e-172,0.07692286868122819,0.9230771313187719,2.923077131318772,3
49,0.9999991074446059,0.0,3.1023578001759374e-10,8.922451584355356e-07,2.677355946866642e-06,0
50,0.0,5.398108474644538e-146,0.9496917921246146,0.05030820787538536,2.050308207875385,2
51,0.0,0.0,1.0,2.059000358259097e-21,2.0,2
52,0.0,0.0,0.3664445025863382,0.6335554974136618,2.6335554974136617,3
53,0.0,0.0,0.00018424736111087928,0.9998157526388892,2.9998157526388893,3
54,0.0,1.0798753476341654e-126,0.009177297751425225,0.9908227022485748,2.990822702248575,3
55,0.0,0.0,0.11652252452081582,0.8834774754791841,2.883477475479184,3
56,0.9999749867877855,0.0,1.035182638696017e-07,2.4909693950458137e-05,7.493611837911362e-05,0
57,0.9999996900912338,0.0,1.7029227555736492e-14,3.0990874903104076e-07,9.297262811515774e-07,0
58,0.999999976016015,0.0,8.238437387804011e-18,2.398398504826063e-08,7.195195516125876e-08,0
59,0.9999999895327824,0.0,4.2126121557975123e-16,1.0467217172733526e-08,3.140165236072301e-08,0
60,0.9999984152861523,0.0,6.754644954909883e-09,1.577959202644265e-06,4.747386897842614e-06,0
61,0.9999999900989912,0.0,1.140200669116041e-17,9.9010088631601e-09,2.9703026612284314e-08,0
62,0.9999998949113788,0.0,5.526845748072586e-15,1.0508861568059107e-07,3.152658580954647e-07,0
63,0.9999980988546066,0.0,7.699363687438834e-09,1.8934460298297494e-06,5.695736816864125e-06,0
64,0.9999997285581625,0.0,9.982284041971463e-11,2.7134201459220805e-07,8.142256894574636e-07,0
65,0.999999980132528,0.0,1.4735184960584924e-15,1.986747059061841e-08,5.960241471889223e-08,0
66,0.9999999897488457,0.0,2.2800686710822085e-17,1.02511542004994e-08,3.0753462647099574e-08,0
67,0.9999999928095655,0.0,1.6313432107498653e-18,7.190434438184452e-09,2.1571303317816042e-08,0
68,0.9999999927227446,0.0,1.1725726663451516e-19,7.277255346597102e-09,2.1831766040025822e-08,0
69,0.9999999999157398,2.717356916321719e-294,1.0487028709901082e-22,8.42601465444336e-11,2.5278043963351057e-10,0
70,0.9999999999128123,4.419124295177647e-67,1.687107683670408e-18,8.718762232333896e-11,2.6156287034423223e-10,0
71,0.9999999999353376,3.343041658376934e-120,1.359911296935101e-23,6.466244305388335e-11,1.9398732916167726e-10,0
72,0.0,0.0,0.002262062579562147,0.9977379374204378,2.9977379374204376,3
73,0.0,0.0,1.0,8.077801276576882e-103,2.0,2
74,0.9999739523457081,0.0,2.2051172279334524e-08,2.6025603119592164e-05,7.812091170333516e-05,0
75,0.9999439708284191,0.0,7.11322134117303e-07,5.531784944680453e-05,0.0001673761926086482,0
76,0.9999546890696267,0.0,9.479704046251454e-08,4.521613333280954e-05,0.00013583799407935364,0
77,0.0,0.0,4.3483826676845566e-05,0.9999565161733233,2.9999565161733233,3
78,0.9999999840797085,0.0,1.937521069064629e-18,1.5920291572354787e-08,4.776087472093941e-08,0
79,0.9999999941447753,0.0,1.4835837946126336e-19,5.8552247671152965e-09,1.7565674301642606e-08,0
80,0.9999999966794122,8.642794508470879e-262,2.6591396077970767e-21,3.3205877538078227e-09,9.961763261428787e-09,0
81,0.9999999935397876,2.757065949274584e-280,1.3104717774182136e-21,6.460212383973977e-09,1.938063715192455e-08,0
82,0.9999999816129821,0.0,5.1203643733144995e-21,1.8387017907856428e-08,5.516105372357953e-08,0
83,0.9999999814331471,0.0,4.2147551270619585e-20,1.856685295603065e-08,5.570055886817625e-08,0
84,0.9999999497462712,0.0,6.955209983584407e-19,5.0253728945701976e-08,1.5076118683849697e-07,0
85,0.9999992467073149,0.0,1.993211651458966e-16,7.532926849603699e-07,2.259878055279752e-06,0
86,0.9999993328898698,0.0,1.25356283256349e-16,6.671101300289878e-07,2.0013303903376757e-06,0
87,0.9999910098532206,6.166472740902139e-262,2.938617413910755e-10,8.989852917662854e-06,2.6970146476471348e-05,0
88,0.0,0.0,1.0,1.0065572481110631e-30,2.0,2
89,0.0,0.0,0.0008503683058140639,0.9991496316941859,2.999149631694186,3
90,0.0,0.0,1.0,7.507299649783605e-212,2.0,2
91,0.0,5.610382651345281e-216,0.9999253992549744,7.460074502556176e-05,2.0000746007450254,2
92,0.0,1.0449644295676222e-252,8.971685199276087e-08,0.999999910283148,2.999999910283148,3
93,0.9999990853230789,2.34119981627411e-171,9.893608091983849e-11,9.145779851128345e-07,2.743931827500343e-06,0
94,0.0,1.0771414755965372e-295,0.9997321241464966,0.0002678758535033258,2.000267875853503,2
95,0.0,0.0,0.021833671605976136,0.9781663283940238,2.978166328394024,3
96,0.0,0.0,1.0,5.605674623201212e-31,2.0,2
97,0.0,0.0,1.0,0.0,2.0,2
98,0.0,0.0,1.0,9.139924479222743e-172,2.0,2
99,0.0,0.0,0.0034761929052816013,0.9965238070947184,2.9965238070947184,3
100,0.9999997857207785,6.873011932114026e-37,8.127406230327702e-13,2.142784085592269e-07,6.428368511589268e-07,0
101,0.9999999251197833,4.8115130491198454e-272,1.5099897741100758e-13,7.488006573754568e-08,2.2464049921059186e-07,0
102,0.9999992949347642,0.0,7.436366394062292e-13,7.050644921600984e-07,2.115194963753574e-06,0
103,0.0,0.9999969696148983,2.872144154095306e-06,1.5824094764498633e-07,1.0000031886260494,1
104,0.0,0.0,0.0003639905298285593,0.9996360094701714,2.999636009470171,3
105,0.999995042489064,0.0,2.764604741664773e-12,4.95750817145452e-06,1.4872530043573044e-05,0
106,0.9999999022586089,6.585922794716267e-51,1.9224703753531064e-14,9.774137182776962e-08,2.9322415393271637e-07,0
107,0.9999999381109259,4.298249293118912e-80,8.483510042136366e-15,6.188906564381491e-08,1.8566721389846484e-07,0
108,0.9999994490221695,4.144089812191208e-28,3.5670211703093776e-12,5.509742635299645e-07,1.652929924632234e-06,0
109,0.9999998450266301,6.346017906064799e-22,3.773782732952502e-14,1.5497333222280392e-07,4.649200721440671e-07,0
110,0.99995725065732,0.0,9.193268622510478e-08,4.265740999376588e-05,0.00012815609535374786,0
111,0.9999924804469352,0.0,6.196409393704733e-11,7.519491100716308e-06,2.25585972303368e-05,0
112,0.9998960864255219,0.0,3.0992921347690313e-07,0.0001036036452645936,0.0003114307942207346,0
113,0.0,0.0,1.0,5.346703499391766e-284,2.0,2
114,0.0,0.0,0.03394771045735643,0.9660522895426435,2.9660522895426435,3
115,0.0,0.0,1.0,9.107974904709049e-238,2.0,2
116,0.0,0.0,1.0,5.1937776480568264e-27,2.0,2
117,0.999999155117072,2.721781268800779e-252,1.665855665886194e-13,8.448827613712802e-07,2.5346486172849736e-06,0
118,0.9999994496645285,1.4297061003125902e-307,8.694640340191928e-14,5.503353845134232e-07,1.6510063274330762e-06,0
119,0.0,1.0595345740341415e-54,0.00019711315279616898,0.9998028868472039,2.999802886847204,3
120,0.0,0.0,0.007345551646965741,0.9926544483530343,2.9926544483530346,3
121,0.0,2.9486755905782184e-142,3.212432374727371e-05,0.9999678756762527,2.9999678756762527,3
122,0.0,0.0,0.0007391291001192659,0.9992608708998807,2.9992608708998807,3
123,0.0,0.0,1.0,6.863173472190682e-139,2.0,2
124,0.0,5.103715985505633e-17,0.0026947304435989416,0.997305269556401,2.9973052695564006,3
125,0.0,2.958583435403833e-103,2.4373994464193304e-05,0.9999756260055358,2.9999756260055355,3
126,0.9999966167931459,3.489187055684316e-153,2.0620203759393835e-12,3.3832047921192835e-06,1.0149618500398603e-05,0
127,0.0,5.647392718915869e-118,7.572624510810649e-07,0.9999992427375489,2.999999242737549,3
128,2.9158405636209184e-160,0.0,1.3740995149046446e-06,0.999998625900485,2.999998625900485,3
129,0.9999913263303909,1.6954125136100523e-18,3.8244300526891344e-11,8.673631364668486e-06,2.602097058260821e-05,0
130,0.9999815832825938,0.0,1.3867725378047788e-11,1.8416703538537803e-05,5.525013835106416e-05,0
131,1.4900258147327498e-161,9.788053141763744e-70,8.743652045736254e-05,0.9999125634795426,2.9999125634795423,3
132,0.999953344164659,9.309173438867802e-64,8.149474635891546e-12,4.6655827191606695e-05,0.00013996749787376935,0
133,0.9999990735921651,0.0,4.463149064088918e-16,9.264078344022893e-07,2.7792235040994977e-06,0
134,0.9999972980076927,1.4029892577851984e-10,1.3842363690553436e-12,2.701850624102863e-06,8.105694939707106e-06,0
135,0.0,0.9999912837563469,8.716243653106843e-06,2.595688509747521e-22,1.000008716243653,1
136,0.0,0.0,1.1697258436931092e-10,0.9999999998830273,2.9999999998830273,3
137,0.9999701599823158,8.322522745719059e-118,7.375127221428778e-11,2.9839943933069516e-05,8.951997930175297e-05,0
138,0.0,0.9999999893226164,1.0677383662319567e-08,1.221400346703457e-74,1.0000000106773836,1
139,0.0,0.9999999996955337,3.0446634811692376e-10,9.297189460984172e-127,1.0000000003044665,1
140,0.0,8.932505831060483e-109,5.657214836764542e-05,0.9999434278516324,2.9999434278516324,3
141,0.9999632419930988,1.272238411688144e-77,9.674395210500277e-09,3.674833250593454e-05,0.00011026434630822461,0
142,0.0,1.4573581837694497e-180,0.1715637926327887,0.8284362073672114,2.8284362073672114,3
143,0.0,2.545618211728276e-121,0.3696365709635756,0.6303634290364243,2.630363429036424,3
144,0.0,3.0732970429124e-29,0.002418363496740944,0.9975816365032592,2.9975816365032593,3
145,0.999895258762548,6.912315635031806e-112,9.163807326463447e-09,0.00010473207364475971,0.000314214548548932,0
146,0.0,0.0,0.9999998202654621,1.7973453798898064e-07,2.000000179734538,2
147,0.9999917383248317,6.225174678689198e-243,4.295739429580406e-10,8.261245594305564e-06,2.4784595930802608e-05,0
148,0.0,0.0,0.0005309526621456988,0.9994690473378544,2.9994690473378545,3
149,0.9999980266388317,1.601605982243336e-191,5.40334960691983e-12,1.9733557648985657e-06,5.920078101394911e-06,0
150,0.0,5.676452276248886e-226,7.418639565938119e-07,0.9999992581360435,2.9999992581360435,3
151,0.0,0.0,1.586642906263635e-05,0.9999841335709374,2.9999841335709374,3
152,0.9999987154167862,1.4716755164401894e-45,3.637962303161178e-14,1.284583177331864e-06,3.853749604754838e-06,0
153,0.0,0.9999999993120234,6.879765021853711e-10,3.5989531168240274e-228,1.0000000006879763,1
154,0.0,0.0,0.20733840904313608,0.792661590956864,2.792661590956864,3
155,0.0,0.0,0.1469004379129169,0.8530995620870832,2.8530995620870834,3
156,0.9999052016088337,0.0,6.537870443814801e-07,9.414460412191913e-05,0.0002837413864545203,0
157,2.1732389899205156e-168,2.7743820374100757e-193,0.00027530356860715254,0.9997246964313928,2.9997246964313926,3
158,0.0,2.5895410256232408e-42,0.00029692749871470777,0.9997030725012853,2.9997030725012857,3
159,0.0,5.418591931375476e-70,7.696129475274398e-08,0.9999999230387052,2.999999923038705,3
160,0.9999964899839281,8.096801123546465e-143,1.422072092635367e-13,3.5100159297401564e-06,1.0530048073634889e-05,0
161,0.9999888982643015,4.317180916771754e-218,1.3162953266441848e-11,1.1101722535571788e-05,3.33051939326219e-05,0
162,0.9999919328233156,0.0,1.0506240951898983e-13,8.067176579377558e-06,2.4201529948257492e-05,0
163,0.0,2.887420716586442e-65,2.2450693430343004e-06,0.9999977549306569,2.9999977549306567,3
164,0.9999988639408881,9.811801323322383e-18,3.208639712476357e-15,1.1360591085628489e-06,3.408177332115638e-06,0
165,0.9999996560320044,4.886587388050447e-98,3.9530438762460975e-19,3.4396799569382984e-07,1.0319039870822803e-06,0
166,0.9999899201646861,6.386566253623593e-63,4.208308054790961e-12,1.0079831105514274e-05,3.023950173315893e-05,0
167,0.9999970135030269,5.776178013074905e-101,4.972136436220744e-14,2.986496923313167e-06,8.959490869382229e-06,0
168,0.9999993836600389,2.828418776909551e-157,8.895105342118045e-19,6.163399610768015e-07,1.8490198832321834e-06,0
169,0.9999977173971105,2.7858190732007234e-292,6.442945410619999e-19,2.2826028894824104e-06,6.84780866844852e-06,0
170,0.0,4.502870010167407e-205,6.635458594910831e-05,0.9999336454140508,2.999933645414051,3
171,0.9999996751105952,2.1710336894208666e-128,1.4843204375132157e-15,3.2488940332195743e-07,9.74668212934513e-07,0
172,0.0,2.469820452749779e-124,6.405724846304018e-05,0.999935942751537,2.999935942751537,3
173,2.6254124892512673e-166,0.0,1.5897186498025985e-08,0.9999999841028135,2.9999999841028138,3
174,0.0,0.0,1.0,5.5716773469329855e-289,2.0,2
175,0.0,3.3354838041184216e-21,6.70225692399498e-06,0.999993297743076,2.999993297743076,3
176,0.9999899310360835,1.098759613458396e-309,1.4633746763045806e-13,1.0068963770021213e-05,3.0206891602738575e-05,0
177,0.0,0.9999638963697167,4.890710501119268e-11,3.610358137622396e-05,1.0000722072116597,1
178,0.0,5.875298856875277e-18,2.7784084242069734e-05,0.999972215915758,2.9999722159157582,3
179,0.9999214831946039,0.0,1.2465273939636947e-07,7.839215265681132e-05,0.0002354257634492267,0
180,7.253647521266929e-167,1.176281169227691e-300,2.556161213157311e-05,0.9999744383878685,2.9999744383878686,3
181,0.0,0.0,1.0,6.249315172231984e-62,2.0,2
182,0.9999970454096504,0.0,4.568975919480145e-15,2.9545903451042465e-06,8.863771044450692e-06,0
183,0.9999978395193769,2.202157785966851e-154,8.571342573437249e-17,2.1604806229992453e-06,6.481441869169162e-06,0
184,0.9999550022827768,8.357082916308236e-17,3.7828937076256264e-10,4.499733893378778e-05,0.0001349927733801884,0
185,0.9999983925816937,5.78240797026824e-22,7.876466414314014e-17,1.6074183062405442e-06,4.822254918879162e-06,0
186,0.9999968485884996,0.0,3.1048093916163674e-12,3.1514083955621974e-06,9.454231396305376e-06,0
187,0.0,0.0,1.0,2.1005449320915952e-58,2.0,2
