day,cluster0,cluster1,cluster2,cluster3,cluster4,weighted_mean,max
0,1.0,9.933058551964008e-163,5.824450974576719e-76,0.0,2.197316886452952e-298,1.1648901949153437e-75,0
1,3.6042223676809664e-05,5.359432546546114e-73,5.378614876905385e-27,0.9999638824875653,7.528875791416682e-08,2.9998919486177273,3
2,0.9938467213500274,2.0640864615328587e-72,2.2770752104979594e-16,0.0,0.006153278649972379,0.02461311459988997,0
3,0.981383338314915,2.497748866796706e-56,5.955425048684352e-11,0.0,0.018616661625530717,0.07446664662123137,0
4,0.8670522137790466,1.7941815251552292e-295,0.0015123463772305228,0.0,0.13143543984372305,0.5287664521293532,0
5,0.04495409898447608,0.0,4.9920309940057406e-06,0.0,0.9550409089845299,3.8201736200001073,4
6,0.3170049888275,6.567647439316737e-74,3.271480829662967e-22,2.3387442439856173e-20,0.6829950111725,2.73198004469,4
7,0.8646922862736036,1.1045667565429949e-68,2.69102684161769e-43,2.794871661935732e-167,0.13530771372639638,0.5412308549055855,0
8,0.9795464362361457,0.0,1.2467817343562263e-10,0.0,0.020453563639176203,0.08181425480606115,0
9,1.1728681944671155e-05,7.874618335364262e-69,3.8262648660861134e-16,0.999963746747357,2.452457069791782e-05,2.9999893385248635,3
10,0.015605124614849449,1.185330129155546e-65,5.230600261990053e-22,0.6704778443770884,0.31391703100806223,3.267101657163514,3
11,1.387922387376551e-13,0.9998994645697971,8.699786429160277e-106,0.0001005291080546223,6.322009429362593e-09,1.0002010771819987,1
12,0.13960540043931358,6.4435850612831375e-62,6.533179535560082e-43,0.5736374818968393,0.2867571176638472,2.8679409163459066,3
13,0.6289118162375882,6.529148638677846e-223,8.670615393385464e-47,0.0,0.3710881837624118,1.4843527350496473,0
14,0.5823469157310052,6.519588262336092e-60,3.3175064239913893e-40,0.0,0.41765308426899483,1.6706123370759793,0
15,1.0,6.033843484597413e-84,1.1520655542895511e-36,0.0,1.6394965303592375e-25,6.5579861214599915e-25,0
16,1.0,1.5020650319214177e-83,1.4929868204847144e-58,0.0,3.1312898561838923e-58,1.5511133065705e-57,0
17,0.9964965296213534,1.137106224549529e-60,8.407135864771743e-46,0.0,0.0035034703786466343,0.014013881514586537,0
18,1.4845478136540774e-06,2.037670761155814e-60,1.2619591135156757e-51,0.9999981337496681,3.817025181840931e-07,2.999995928059077,3
19,0.9999999999940713,0.0,4.519160704615466e-30,0.0,5.928742224267942e-12,2.3714968897071768e-11,0
20,1.0,7.641025164654116e-104,3.1594568835174136e-45,0.0,3.859778209773058e-84,6.318913767034827e-45,0
21,0.5906991569960601,1.5153056093177852e-23,3.808704246800024e-67,0.0,0.4093008430039399,1.6372033720157595,0
22,3.2598783874377996e-14,0.9999999997292132,7.43519775439977e-130,0.0,2.7075430048871143e-10,1.0000000008122303,1
23,4.000098438482414e-11,0.999999999959999,4.333739756199089e-143,0.0,1.477954676457526e-25,0.999999999959999,1
24,9.249630493530364e-14,0.9999956902551171,1.201350181495921e-129,4.308300925488544e-06,1.4438649401784041e-09,1.0000086209333532,1
